11.casenumber,B17-04224,B17-04242
2.offendergender,***,M
4.victimtype,Inividual,Individual
6.motivation,nti-Black,Anti-Black
42.locationtype,Grocery Stroe,Grocery Store
25.victimgender,***,M
2.weekday,Saturdsay,Saturday
7.motivation,Anti-Males Homosexual,Anti-Male Homosexual
37.victimtype,Individul,Individual
6.offenderrace,***,W
9.victimtype,Indiivdual,Individual
10.offenderrace,hW,W
42.offense,Trheat/Intim,Threat/Intim
26.offenderrace,,W
23.motivation,Anti-lBack,Anti-Black
17.offendergender,***,M
3.datevalue,02/06/2016,03/14/2016
15.casenumber,B17-26312,B17-23612
40.locationtype,Prak,Park
8.locationtype,Sczhool,School
21.victimtype,Idividual,Individual
18.victimrace,yB,B
34.victims,5,1
17.victimtype,Indiviual,Individual
16.offense,Simple ssault,Simple Assault
12.weekday,Tuhesday,Tuesday
19.offenderrace,,W
18.weekday,Fiday,Friday
9.offendergender,eM,M
37.victimrace,sB,B
20.locationtype,estaurant,Restaurant
6.victimtype,Inidvidual,Individual
20.casenumber,B17-40955,B17-49055
31.datevalue,20/20/2020,02/20/2020
19.victimrace,vB,B
9.offenderrace,,W
1.casenumber,B16-33336,B16-04899
35.casenumber,B2-25655,B20-25655
6.victims,34,1
27.offendergender,***,M
36.victimrace,***,W
9.victims,8,1
2.victims,82,1
30.weekday,Frday,Friday
24.offense,Trheat/Intim,Threat/Intim
6.victimrace,rW,W
34.victimtype,Indiviual,Individual
29.weekday,Saturdya,Saturday
2.offenderrace,iW,W
15.victimtype,ndividual,Individual
41.victimtype,sIndividual,Individual
24.victims,53,1
6.locationtype,tPublic Bldg,Public Bldg
29.offendergender,cM,M
35.motivation,Anti-LGB+T,Anti-LGBT+
27.motivation,oAnti-Black,Anti-Black
29.motivation,Anti-lack,Anti-Black
2.victimtype,Indivzidual,Individual
39.offendergender,hM,M
6.offenders,66.0,1.0
6.offendergender,,M
4.datevalue,02/06/2016,04/18/2016
17.weekday,riday,Friday
26.weekday,Wednesdya,Wednesday
4.casenumber,B16-09812,B16-14685
9.weekday,rFiday,Friday
23.victims,54,1
38.victimgender,***,M
24.victimgender,***,M
16.victimtype,Indivyidual,Individual
38.offendergender,,M
23.victimtype,Indvidual,Individual
24.weekday,Fridaoy,Friday
6.weekday,Tuefsday,Tuesday
2.casenumber,B16-33336,B16-05230
19.motivation,Anti-Blakc,Anti-Black
