objectid,geoidonezero,totalcivilianpop,withhealthinsurance,nohealthinsurance,pctinsured,withinsuranceuoneeight,noinsuranceuoneeight,pctinsureduoneeight
1.0,2648371.0,23014,21364.0,1650,0.928304510298079,5789,123,0.979194857916103
2.0,2648380.0,7064,6716.0,348,0.950736126840317,1608,33,0.979890310786106
3.0,2648081.0,20565,18725.0,1840,0.910527595429127,3921,77,0.980740370185093
4.0,2648315.0,26833,25097.0,1736,0.935303544143406,5466,92,0.983447283195394
5.0,2648317.0,26511,23397.0,3114,0.882539323299762,5598,256,0.956269217628972
6.0,2648088.0,22766,20858.0,1908,0.916190810858297,4545,302,0.937693418609449
7.0,2648048.0,7373,6647.0,726,0.901532619015326,2073,88,0.959278111985192
8.0,2648236.0,30503,29119.0,1384,0.954627413697013,7487,164,0.978564893477977
9.0,2648383.0,12933,11703.0,1230,0.904894456042681,2962,74,0.97562582345191
10.0,2648335.0,22683,21393.0,1290,0.943129215712207,4464,83,0.981746206289861
11.0,2648320.0,4391,3601.0,790,0.820086540651332,806,131,0.860192102454643
12.0,2648165.0,6197,5606.0,591,0.904631273196708,1448,51,0.965977318212141
13.0,2648363.0,5333,4803.0,530,0.900618788674292,1134,62,0.948160535117057
14.0,2648073.0,32800,29879.0,2921,0.910945121951219,5339,181,0.967210144927536
15.0,2648083.0,23635,20777.0,2858,0.879077639094563,4970,298,0.943432042520881
16.0,2648213.0,26498,21438.0,5060,0.809042191863537,6902,297,0.958744270037505
17.0,2648216.0,5169,3842.0,1327,0.743277229638228,844,221,0.792488262910798
18.0,2648221.0,39764,33941.0,5823,0.853561009958757,8189,627,0.928879310344828
19.0,2648215.0,12512,10622.0,1890,0.848945012787724,3206,128,0.961607678464307
20.0,2648227.0,43480,35470.0,8010,0.815777368905244,11059,529,0.954349326889886
21.0,2648128.0,10874,10187.0,687,0.9368217767151,2878,25,0.991388219083707
22.0,2648195.0,29593,26992.0,2601,0.912107593011861,5160,187,0.965027118010099
23.0,2648192.0,25454,22912.0,2542,0.900133574290878,4849,236,0.953588987217306
24.0,2648230.0,16740,15908.0,832,0.950298685782557,4237,76,0.982378854625551
25.0,2648187.0,48017,44106.0,3911,0.918549680321553,11811,558,0.954887218045113
26.0,2648225.0,14545,12406.0,2139,0.852939154348573,3442,210,0.94249726177437
27.0,2648218.0,7761,6457.0,1304,0.831980414894988,2016,67,0.967834853576572
28.0,2648439.0,47656,44543.0,3113,0.934677690112473,11880,220,0.981818181818182
29.0,2648178.0,30231,28784.0,1447,0.952135225430849,7535,128,0.983296359128279
30.0,2648062.0,9219,8442.0,777,0.915717539863326,2239,140,0.941151744430433
31.0,2648036.0,21097,18643.0,2454,0.883680144096317,3989,202,0.951801479360534
32.0,2648312.0,32496,29877.0,2619,0.919405465288035,6416,196,0.970356926799758
33.0,2648043.0,14941,12705.0,2236,0.850344689110501,2767,109,0.962100139082058
34.0,2648309.0,29518,27891.0,1627,0.944881089504709,6171,111,0.98233046800382
35.0,2648301.0,14225,13837.0,388,0.972724077328647,3568,41,0.988639512330285
36.0,2648331.0,21604,20372.0,1232,0.942973523421589,4438,198,0.957290767903365
37.0,2648357.0,8823,7920.0,903,0.897653859231554,2161,35,0.984061930783242
38.0,2648356.0,8319,7653.0,666,0.919942300757303,1835,30,0.983914209115281
39.0,2648360.0,11708,10930.0,778,0.933549709600273,3312,72,0.978723404255319
40.0,2648328.0,24373,20755.0,3618,0.85155705083494,4899,323,0.938146304098047
41.0,2648205.0,37406,30126.0,7280,0.80537881623269,9898,610,0.941948991244766
42.0,2648214.0,20178,16613.0,3565,0.82332243036971,3658,221,0.94302655323537
43.0,2648146.0,37405,31857.0,5548,0.851677583210801,8720,321,0.9644950779781
44.0,2648101.0,27676,25705.0,1971,0.928783061136002,5680,78,0.986453629732546
45.0,2648193.0,14746,13576.0,1170,0.920656449206565,3458,76,0.978494623655914
46.0,2648223.0,24221,19521.0,4700,0.805953511415714,6146,299,0.953607447633825
47.0,2648217.0,7696,6088.0,1608,0.791060291060291,1694,72,0.959229898074745
48.0,2648180.0,61744,53475.0,8269,0.86607605597305,14268,651,0.956364367584959
49.0,2648185.0,47225,41828.0,5397,0.885717310746427,8924,126,0.986077348066298
50.0,2648208.0,9347,7686.0,1661,0.822295923825827,1868,42,0.978010471204188
51.0,2648096.0,3870,3535.0,335,0.91343669250646,694,0,1.0
52.0,2648313.0,33404,30332.0,3072,0.908034965872351,6941,194,0.97281009110021
53.0,2648091.0,30505,25496.0,5009,0.835797410260613,7352,331,0.956917870623454
54.0,2648316.0,26381,24001.0,2380,0.909783556347371,5769,332,0.945582691362072
55.0,2648047.0,39505,36496.0,3009,0.923832426275155,9578,201,0.979445751099294
56.0,2648045.0,24726,22400.0,2326,0.905928981638761,4573,157,0.966807610993658
57.0,2648397.0,0,0.0,0,0.719337328605943,0,0,1.0
58.0,2648340.0,25371,20820.0,4551,0.820621969965709,7173,308,0.958829033551664
59.0,2648220.0,22782,18960.0,3822,0.832235975770345,4060,179,0.957773059683888
60.0,2648329.0,24800,22524.0,2276,0.908225806451613,5007,145,0.971855590062112
61.0,2648076.0,25066,22625.0,2441,0.902617090880077,5272,247,0.955245515491937
62.0,2648393.0,16445,14437.0,2008,0.877896017026452,3818,248,0.9390063944909
63.0,2648359.0,8068,7321.0,747,0.907411998016857,2156,17,0.992176714219972
64.0,2648167.0,22159,20584.0,1575,0.928922785324247,4771,165,0.966572123176661
65.0,2648070.0,6310,6110.0,200,0.968304278922345,1641,34,0.979701492537313
66.0,2648207.0,21431,18014.0,3417,0.84055807008539,3861,226,0.944702715928554
67.0,2648174.0,31552,27088.0,4464,0.858519269776876,7768,299,0.962935415891905
68.0,2648188.0,41523,38154.0,3369,0.918864243913012,11407,256,0.978050244362514
69.0,2648126.0,47922,38707.0,9215,0.807708359417387,16083,956,0.943893420975409
70.0,2648228.0,52125,42704.0,9421,0.81926139088729,14724,921,0.941131351869607
71.0,2648219.0,47070,39069.0,8001,0.830019120458891,10507,594,0.946491307089451
72.0,2648203.0,24932,20283.0,4649,0.813532809241136,5186,222,0.958949704142012
73.0,2648138.0,10263,9945.0,318,0.96901490792166,2008,44,0.978557504873294
74.0,2648233.0,0,0.0,0,0.719337328605943,0,0,1.0
75.0,2648134.0,20739,19332.0,1407,0.932156806017648,4975,101,0.9801024428684
76.0,2648111.0,41977,37631.0,4346,0.896467112942802,9776,274,0.97273631840796
77.0,2648341.0,15731,13187.0,2544,0.838281101010743,3582,125,0.966280010790396
78.0,2648302.0,15408,14809.0,599,0.961124091381101,2982,47,0.984483327830967
79.0,2648304.0,16207,15462.0,745,0.954032208305053,3445,146,0.959342801448065
80.0,2648348.0,23000,21766.0,1234,0.946347826086957,6131,68,0.989030488788514
81.0,2648346.0,22937,21314.0,1623,0.929240964380695,5262,124,0.976977348681768
82.0,2648237.0,29622,24535.0,5087,0.828269529403821,6612,605,0.91617015380352
83.0,2648025.0,14525,13960.0,565,0.961101549053356,3654,37,0.989975616364129
84.0,2648017.0,11818,10502.0,1316,0.888644440683703,2041,29,0.985990338164251
85.0,2648005.0,5333,4967.0,366,0.931370710669417,1148,26,0.977853492333901
86.0,2648211.0,5691,4700.0,991,0.825865401511158,1563,119,0.929250891795482
87.0,2648120.0,7203,6234.0,969,0.865472719700125,2086,117,0.946890603722197
88.0,2648201.0,12344,10333.0,2011,0.837086843810758,1776,142,0.925964546402503
89.0,2648127.0,36748,31305.0,5443,0.851883095678676,8756,660,0.929906542056075
90.0,2648442.0,21220,19587.0,1633,0.923044297832234,5084,139,0.973386942370285
91.0,2648314.0,20650,18274.0,2376,0.884939467312349,4143,187,0.956812933025404
92.0,2648038.0,42062,38086.0,3976,0.905472873377395,6997,301,0.958755823513291
93.0,2648026.0,14434,13136.0,1298,0.910073437716503,2909,190,0.938689899967732
94.0,2648386.0,17641,16330.0,1311,0.925684485006519,3512,99,0.972583771808363
95.0,2648326.0,20475,17689.0,2786,0.863931623931624,3729,361,0.911735941320293
96.0,2648390.0,23363,21206.0,2157,0.907674528099987,4731,231,0.953446191051995
97.0,2648374.0,14863,14365.0,498,0.966493978335464,4372,23,0.994766780432309
98.0,2648377.0,15737,14098.0,1639,0.895850543305586,2906,133,0.956235603817045
99.0,2648342.0,17655,13790.0,3865,0.781081846502407,4877,296,0.942779818287261
100.0,2648327.0,22870,19862.0,3008,0.868473983384346,4541,300,0.938029332782483
101.0,2648367.0,4634,4266.0,368,0.920586965904186,1056,57,0.948787061994609
102.0,2648204.0,26550,21118.0,5432,0.795404896421846,6415,246,0.96306860831707
103.0,2648173.0,12647,11686.0,961,0.924013600063256,2985,42,0.986124876114965
104.0,2648141.0,25026,21440.0,3586,0.856709022616479,6882,419,0.942610601287495
105.0,2648229.0,9527,7959.0,1568,0.835415135929464,2465,52,0.979340484704013
106.0,2648184.0,17153,14919.0,2234,0.869760391768204,3904,96,0.976
107.0,2648243.0,0,0.0,0,0.719337328605943,0,0,1.0
108.0,2648186.0,35281,30351.0,4930,0.860264731725291,7795,512,0.938365234139882
109.0,2648226.0,4635,4094.0,541,0.883279395900755,184,0,1.0
110.0,2648462.0,13666,12252.0,1414,0.896531538123811,3202,237,0.931084617621402
111.0,2648428.0,4803,4381.0,422,0.912138246929003,1066,65,0.942528735632184
112.0,2648066.0,47276,40910.0,6366,0.865343937727388,10651,344,0.968713051386994
113.0,2648310.0,43349,36430.0,6919,0.840388474935985,8358,583,0.934794765686165
114.0,2648092.0,26651,23467.0,3184,0.880529811264118,5458,65,0.98823103385841
115.0,2648041.0,4542,4203.0,339,0.925363276089828,1133,22,0.980952380952381
116.0,2648051.0,16263,14860.0,1403,0.913730554018324,4562,71,0.984675156486078
117.0,2648164.0,9171,8503.0,668,0.927161705375641,2457,42,0.983193277310924
118.0,2648370.0,1880,1789.0,91,0.951595744680851,476,24,0.952
119.0,2648307.0,41102,37662.0,3440,0.916305775874653,9104,359,0.962062770791504
120.0,2648382.0,22097,20757.0,1340,0.939358283929945,5620,200,0.965635738831615
121.0,2648336.0,26039,23676.0,2363,0.909251507354353,5386,279,0.950750220653133
122.0,2648334.0,18255,16942.0,1313,0.928074500136949,3458,55,0.984343865641901
123.0,2648030.0,16441,12981.0,3460,0.789550513959005,3284,475,0.873636605480181
124.0,2648324.0,16935,16087.0,848,0.949926188367287,4005,60,0.985239852398524
125.0,2648362.0,15617,14424.0,1193,0.923608887750528,4028,25,0.993831729583025
126.0,2648350.0,7136,6348.0,788,0.88957399103139,1794,94,0.95021186440678
127.0,2648084.0,14566,13606.0,960,0.934093093505424,3134,158,0.952004860267315
128.0,2648072.0,15124,13812.0,1312,0.913250462840518,2985,247,0.923576732673267
129.0,2648009.0,20382,19426.0,956,0.953095868903935,5109,155,0.970554711246201
130.0,2648168.0,21788,20947.0,841,0.961400771066642,5339,44,0.991826119264351
131.0,2648170.0,39475,36693.0,2782,0.929525015832806,8635,201,0.977252150294251
132.0,2648224.0,44147,36476.0,7671,0.826239608580424,12178,650,0.949329591518553
133.0,2648209.0,33587,24630.0,8957,0.733319439068687,10471,430,0.960554077607559
134.0,2648212.0,36562,27887.0,8675,0.762731798041683,10528,712,0.936654804270463
135.0,2648239.0,35711,31174.0,4537,0.872952311612668,8088,422,0.950411280846063
136.0,2648430.0,36922,33561.0,3361,0.908970261632631,8766,287,0.968297801833646
137.0,2648093.0,22964,20163.0,2801,0.878026476223654,4105,355,0.920403587443946
138.0,2648042.0,28194,27041.0,1153,0.959104774065404,7424,16,0.997849462365591
139.0,2648080.0,22234,19850.0,2384,0.892776828281011,3982,166,0.959980713596914
140.0,2648095.0,5115,4870.0,245,0.952101661779081,1185,0,1.0
141.0,2648306.0,27836,26810.0,1026,0.963141255927576,7312,111,0.985046477165566
142.0,2648071.0,29877,25748.0,4129,0.861800046858788,5531,280,0.951815522285321
143.0,2648375.0,22222,20789.0,1433,0.935514355143551,5506,109,0.980587711487088
144.0,2648067.0,25318,22982.0,2336,0.907733628248677,3700,156,0.95954356846473
145.0,2648034.0,13968,11995.0,1973,0.858748568155785,2673,94,0.966028189374774
146.0,2648033.0,15932,14200.0,1732,0.891287973889028,3005,82,0.973436993845157
147.0,2648075.0,21063,18709.0,2354,0.888240041779424,3866,172,0.957404655770183
148.0,2648085.0,24296,22230.0,2066,0.914965426407639,5803,237,0.960761589403973
149.0,2648322.0,32144,29215.0,2929,0.908878795420607,6873,510,0.930922389272653
150.0,2648069.0,2544,2403.0,141,0.944575471698113,451,0,1.0
151.0,2648206.0,19168,15355.0,3813,0.801074707846411,4241,154,0.964960182025028
152.0,2648135.0,27347,24053.0,3294,0.879548030862617,5663,222,0.962276975361087
153.0,2648150.0,26741,24762.0,1979,0.925993792303953,5644,172,0.970426409903714
154.0,2648152.0,30882,28484.0,2398,0.922349588757205,5838,244,0.959881617888852
155.0,2648242.0,0,0.0,0,0.719337328605943,0,0,1.0
156.0,2648238.0,30636,25158.0,5478,0.821190755973365,7322,275,0.963801500592339
157.0,2648122.0,10636,9116.0,1520,0.857089131252351,2726,145,0.94949494949495
158.0,2648021.0,32481,28446.0,4035,0.875773529140113,8407,140,0.983619983619984
159.0,2648035.0,34236,29550.0,4686,0.863126533473537,7049,466,0.937990685296075
160.0,2648044.0,53977,51070.0,2907,0.946143727884099,15154,199,0.987038363837686
161.0,2648094.0,18429,16615.0,1814,0.901568180584948,4345,181,0.960008837825895
162.0,2648089.0,30578,25269.0,5309,0.826378442017137,7876,491,0.941317079000837
163.0,2648065.0,10692,9658.0,1034,0.903292181069959,2136,35,0.98387839705205
164.0,2648050.0,1823,1598.0,225,0.876577070762479,277,74,0.789173789173789
165.0,2648015.0,8080,7028.0,1052,0.86980198019802,1730,155,0.917771883289125
166.0,2648082.0,16719,15292.0,1427,0.914648005263473,3365,93,0.973105841526894
167.0,2648323.0,17482,16668.0,814,0.953437821759524,4125,69,0.983547925608011
168.0,2648098.0,19432,18213.0,1219,0.937268423219432,4178,220,0.949977262391996
169.0,2648381.0,12859,11715.0,1144,0.911035072711719,2839,64,0.977953840854289
170.0,2648234.0,34719,27434.0,7285,0.790172528010599,8076,776,0.912336195210122
171.0,2648210.0,31871,22926.0,8945,0.719337328605943,10706,869,0.924924406047516
