643.stublabel,Under 18 years,400% or more
1965.age,Undezr 18 years,Under 18 years
1403.indicatorvalue,Health conditions among children under akge 18,Health conditions among children under age 18
1465.stubname,Raec,Race
835.age,Ungder 18 years,Under 18 years
395.age,5-17 yvears,5-17 years
635.panelnum,1.0,2
394.stublabelnum,59.2,1.2
2534.panel,Ear infections among perslons under 18 years,Ear infections among persons under 18 years
2111.unit,"Percent of children, crde","Percent of children, crude"
52.stublabelnum,59.21,1.21
764.panelnum,1.0,3
295.panel,Current asthma among perszons under 18 years,Current asthma among persons under 18 years
157.stubnamenum,81,3
1701.unit,"Percent of children, crde","Percent of children, crude"
741.age,10-7 years,10-17 years
1072.stublabelnum,53.1,2.1
336.stubnamenum,1.0,6
2585.age,Under 1c8 years,Under 18 years
1799.panel,Skin allergy among persons nuder 18 years,Skin allergy among persons under 18 years
1349.stublabelnum,88.0,0.0
310.stubnamenum,1.0,6
874.stublabel,Under 18 years,Not Hispanic or Latino: All races
1102.stubname,ace,Race
2550.unit,"Percent of chidlren, crude","Percent of children, crude"
2152.yearvalue,212-2014,2012-2014
919.stubnamenum,2.0,5
1740.unit,"Percent of childcren, crude","Percent of children, crude"
911.stubnamenum,0.0,5
1426.stubname,Sx,Sex
2186.panelnum,52,7
656.age,Undere 18 years,Under 18 years
778.yearnum,1.0,8
34.stublabel,Under 18 years,5-17 years
1376.stubnamenum,89,1
1772.yearnum,107,8
1663.indicatorvalue,Health conditions among hildren under age 18,Health conditions among children under age 18
349.stubnamenum,1.0,6
1995.panel,Skin allergy among persons udner 18 years,Skin allergy among persons under 18 years
609.panelnum,1.0,2
848.yearvalue,1997-1999,2010-2012
2110.panelnum,81,7
1273.unitnum,0,1
1097.stublabelnum,5.1,3.1
2409.stubname,Aqge,Age
1688.panelnum,35,5
276.age,Under 18 yars,Under 18 years
2514.yearnum,82,8
958.stubnamenum,3.0,5
867.panelnum,1.0,3
1292.indicatorvalue,Health conditions among chidlren under age 18,Health conditions among children under age 18
1294.yearvalue,007-2009,2007-2009
2677.yearvalue,2003-200t5,2003-2005
1863.unit,"Percent of children, crdue","Percent of children, crude"
2344.stubname,Health insurance status at th time of interview,Health insurance status at the time of interview
1812.age,Under 1i8 years,Under 18 years
1404.stubnamenum,50,1
2724.stubname,Health isnurance status at the time of interview,Health insurance status at the time of interview
403.panelnum,1.0,2
991.stubname,eHalth insurance status at the time of interview,Health insurance status at the time of interview
963.stubnamenum,1.0,5
1108.stublabel,Black or African Ameican only,Black or African American only
950.stubnamenum,1.0,5
734.stublabel,Under 18 years,10-17 years
2685.panel,Earinfections among persons under 18 years,Ear infections among persons under 18 years
2560.panel,Ear infections amongz persons under 18 years,Ear infections among persons under 18 years
2111.age,10-17 yeas,10-17 years
166.stublabel,Under 18 years,Native Hawaiian or Other Pacific Islander only
2457.age,10-1k7 years,10-17 years
532.panelnum,1.0,2
2086.indicatorvalue,Health conditions among chdildren under age 18,Health conditions among children under age 18
2422.stubnamenum,64,1
569.yearvalue,2010-2012,2007-2009
2415.stubname,jAge,Age
734.yearnum,4.0,6
2409.age,-04 years,0-4 years
2252.stubnamenum,102,4
2409.panelnum,26,8
1464.panelnum,42,5
726.stublabelnum,100.21,1.21
1503.age,Udner 18 years,Under 18 years
643.stubnamenum,1.0,5
945.stubnamenum,3.0,5
408.flagvalue,,*
335.panel,Current astham among persons under 18 years,Current asthma among persons under 18 years
1839.age,Under 18 yeas,Under 18 years
738.panelnum,1.0,3
2045.yearvalue,997-1999,1997-1999
136.stublabelnum,1.21,3.3
1189.stublabel,Hispanic or Ltaino: All races,Hispanic or Latino: All races
574.panelnum,1.0,2
189.stubname,Hispanic originand race,Hispanic origin and race
554.indicatorvalue,Health conditions among children under age 81,Health conditions among children under age 18
1305.yearvalue,2000-002,2000-2002
357.yearvalue,d2006-2008,2006-2008
2070.age,0-4 yaers,0-4 years
2717.yearvalue,1997-1999***,1997-1999
503.stublabel,Under 18 years,Asian only
846.stubnamenum,85,3
353.stublabel,10-17 years,Uninsured
903.yearnum,8.0,7
325.unitnum,0,1
177.yearvalue,2013-2015,2008-2010
1385.age,51-7 years,5-17 years
2676.stubnamenum,72,5
713.stubname,gAe,Age
1023.stubname,Agxe,Age
2446.panelnum,60,8
851.panelnum,1.0,3
1281.yearnum,62,6
1528.panelnum,50,5
1103.stubname,Racue,Race
1081.age,nder 18 years,Under 18 years
1778.stublabelnum,99.1,2.1
131.panel,Current asthma among persons under 18 yeas,Current asthma among persons under 18 years
1365.stubname,xAge,Age
1728.yearnum,68,6
1410.stubnamenum,40,1
1741.stubname,qAge,Age
548.panelnum,1.0,2
642.stublabel,5-9 years,400% or more
383.stublabel,10-17 years,5-17 years
1517.stubnamenum,65,3
360.indicatorvalue,Health conditions among children under age18,Health conditions among children under age 18
2325.yearvalue,1997-1999***,1997-1999
1393.stubnamenum,39,1
1576.panelnum,80,5
1003.stubnamenum,46,6
192.panel,Current asthma among personsu nder 18 years,Current asthma among persons under 18 years
1296.stubname,Health insurnace status at the time of interview,Health insurance status at the time of interview
2635.yearvalue,003-2005,2003-2005
2456.age,10-17 yeras,10-17 years
334.panel,Current asthma among persons under 18 yeaars,Current asthma among persons under 18 years
2533.stubname,Racze,Race
977.panel,ADHD among persjons under 18 years,ADHD among persons under 18 years
2650.yearvalue,2006-200r8,2006-2008
966.age,nUder 18 years,Under 18 years
1817.stubname,ace,Race
1585.yearvalue,2000-2020,2000-2002
2593.panel,Ear infectinos among persons under 18 years,Ear infections among persons under 18 years
72.yearnum,2.0,13
639.yearvalue,2009-2011,2007-2009
1612.panelnum,67,5
2659.stublabel,100-%199%,100%-199%
1792.indicatorvalue,Health conditionsamong children under age 18,Health conditions among children under age 18
1774.stubname,eSx,Sex
2595.stublabel,ot Hispanic or Latino: All races,Not Hispanic or Latino: All races
1737.stubname,Agge,Age
347.yearvalue,1997-1999,2010-2012
1721.stublabelnum,65.1,1.1
915.stublabel,10-17 years,Below 100%
435.stubnamenum,3.0,2
925.unit,"Percent of childre, crude","Percent of children, crude"
556.stublabelnum,1.21,4.2
171.stublabelnum,0.0,3.5
954.panelnum,1.0,3
2026.stubname,Health insurance status at the timve of interview,Health insurance status at the time of interview
468.yearvalue,200r0-2002,2000-2002
716.stubname,Abge,Age
2074.yearvalue,000-2002,2000-2002
1895.stublabel,Not Hispanic orLatino: All races,Not Hispanic or Latino: All races
1340.yearnum,39,8
1127.age,Under 18 jyears,Under 18 years
299.stublabel,0-4 years,Insured
406.stublabelnum,38.21,1.21
178.unitnum,0,1
278.yearnum,4.0,9
2589.age,Undeor 18 years,Under 18 years
1615.unit,"Percent of children, cude","Percent of children, crude"
840.yearnum,2.0,14
2202.stubname,Raec,Race
149.flagvalue,,*
67.stublabel,0-4 years,10-17 years
146.stubnamenum,1.0,3
1771.stubname,Sx,Sex
272.yearnum,2.0,3
330.yearnum,1.0,5
