246.raceethnicity,"Blback, non-Hispanic ","Black, non-Hispanic "
122.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
152.sexraceethnicity,Total - Male,"Total - Male, Black, non-Hispanic "
151.sex,qMale,Male
228.sex,Feale,Female
160.sexraceethnicity,Total ,"Total - Male, Hispanic"
311.raceethnicity,"Two or omre races, non-Hispanic","Two or more races, non-Hispanic"
69.sexraceethnicity,Total - Male,Total - Hispanic
305.sex,Fmale,Female
141.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
139.sex,ale,Male
308.noteonpercent,Data not availabl.e,Data not available.
283.raceethnicity,"Pacific Islanedr, non-Hispanic","Pacific Islander, non-Hispanic"
277.sex,Femlae,Female
75.sexraceethnicity,Total - Male,Total - Hispanic
218.raceethnicity,"Two or more races, non-Hisapnic","Two or more races, non-Hispanic"
73.sexraceethnicity,Total - Male,Total - Hispanic
80.sexraceethnicity,Total - Male,"Total - Asian, non-Hispanic"
256.sex,Fmemale,Female
147.sexraceethnicity,Total - Male,"Total - Male, Black, non-Hispanic "
245.sex,Femle,Female
289.sex,Fmeale,Female
119.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
308.sex,Fmeale,Female
150.sexraceethnicity,Total - Male,"Total - Male, Black, non-Hispanic "
151.sexraceethnicity,Total ,"Total - Male, Black, non-Hispanic "
247.sex,Fmeale,Female
286.sex,Femle,Female
138.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
63.sexraceethnicity,Total ,"Total - Black, non-Hispanic "
212.sexraceethnicity,Total - Female,"Total - Male, Two or more races, non-Hispanic"
157.sexraceethnicity,Total ,"Total - Male, Hispanic"
116.sex,Feale,Female
74.noteonpercent,Data not avalable.,Data not available.
285.noteonpercent,Reporting standards nort met.,Reporting standards not met.
170.sexraceethnicity,Total ,"Total - Male, Asian, non-Hispanic"
223.noteonpercent,Data enot available.,Data not available.
166.sexraceethnicity,Total ,"Total - Male, Hispanic"
228.raceethnicity,"White, non-Hispanizc","White, non-Hispanic"
39.sex,emale,Female
244.sex,Feamle,Female
291.raceethnicity,"America Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
131.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
195.sexraceethnicity,Total ,"Total - Male, Pacific Islander, non-Hispanic"
218.sex,aMle,Male
156.sexraceethnicity,Total ,"Total - Male, Black, non-Hispanic "
277.raceethnicity,"Pacific Islander, tnon-Hispanic","Pacific Islander, non-Hispanic"
18.sex,ale,Male
197.noteonpercent,Data nots available.,Data not available.
106.raceethnicity,"American Indiana/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
113.noteonpercent,Data nota vailable.,Data not available.
124.sexraceethnicity,Total - Female,"Total - Two or more races, non-Hispanic"
137.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
82.sexraceethnicity,Total ,"Total - Asian, non-Hispanic"
74.sexraceethnicity,Total - Male,Total - Hispanic
203.sex,Mael,Male
308.raceethnicity,"Two or more races, non-Hispangic","Two or more races, non-Hispanic"
34.sex,Femae,Female
186.sexraceethnicity,Total ,"Total - Male, Pacific Islander, non-Hispanic"
224.raceethnicity,"White, non-Hispanixc","White, non-Hispanic"
310.sex,Femae,Female
