objectid,datevalue,countvalue
1.0,03/27/2020 10:00:00 AM,25.0
2.0,03/28/2020 10:00:00 AM,32.0
3.0,03/29/2020 10:00:00 AM,39.0
4.0,03/30/2020 10:00:00 AM,43.0
5.0,03/31/2020 10:00:00 AM,53.0
6.0,04/01/2020 10:00:00 AM,69.0
7.0,04/02/2020 10:00:00 AM,81.0
8.0,04/03/2020 10:00:00 AM,159.0
9.0,04/04/2020 10:00:00 AM,159.0
10.0,04/05/2020 10:00:00 AM,159.0
11.0,04/06/2020 10:00:00 AM,184.0
12.0,04/07/2020 10:00:00 AM,288.0
13.0,04/08/2020 10:00:00 AM,365.0
14.0,04/09/2020 10:00:00 AM,376.0
15.0,04/10/2020 10:00:00 AM,397.0
16.0,04/11/2020 10:00:00 AM,431.0
17.0,04/12/2020 10:00:00 AM,456.0
18.0,04/13/2020 10:00:00 AM,603.0
19.0,04/14/2020 10:00:00 AM,607.0
20.0,04/15/2020 10:00:00 AM,607.0
21.0,04/16/2020 10:00:00 AM,736.0
22.0,04/17/2020 10:00:00 AM,736.0
23.0,04/18/2020 10:00:00 AM,771.0
24.0,04/19/2020 10:00:00 AM,914.0
25.0,04/20/2020 10:00:00 AM,917.0
26.0,04/21/2020 10:00:00 AM,930.0
27.0,04/22/2020 10:00:00 AM,981.0
28.0,04/23/2020 10:00:00 AM,1040.0
29.0,04/24/2020 10:00:00 AM,1108.0
30.0,04/25/2020 10:00:00 AM,1165.0
31.0,04/26/2020 10:00:00 AM,1177.0
32.0,04/27/2020 10:00:00 AM,1263.0
33.0,04/28/2020 10:00:00 AM,1295.0
34.0,04/29/2020 10:00:00 AM,1361.0
35.0,04/30/2020 10:00:00 AM,1432.0
36.0,05/01/2020 10:00:00 AM,1517.0
37.0,05/02/2020 10:00:00 AM,1590.0
38.0,05/03/2020 10:00:00 AM,1666.0
39.0,05/04/2020 10:00:00 AM,1695.0
40.0,05/05/2020 10:00:00 AM,1810.0
41.0,05/06/2020 10:00:00 AM,1903.0
42.0,05/07/2020 10:00:00 AM,2029.0
43.0,05/08/2020 10:00:00 AM,2041.0
44.0,05/09/2020 10:00:00 AM,2159.0
45.0,05/10/2020 10:00:00 AM,2293.0
46.0,05/11/2020 10:00:00 AM,2298.0
47.0,05/12/2020 10:00:00 AM,2394.0
48.0,05/13/2020 10:00:00 AM,2456.0
49.0,05/14/2020 10:00:00 AM,2569.0
50.0,05/15/2020 10:00:00 AM,2685.0
51.0,05/16/2020 10:00:00 AM,2806.0
52.0,05/17/2020 10:00:00 AM,2816.0
53.0,05/18/2020 10:00:00 AM,2817.0
54.0,05/19/2020 10:00:00 AM,2868.0
