yearvalue(long),monthvalue,newvalue(long),used(long),totalsalesnew(long),totalsalesused(long)
2002,JAN,31106,49927,755015820.0,386481929.0
2002,FEB,27520,50982,917339608.0,361353242.0
2002,MAR,34225,58794,805666244.0,419385387.0
2002,PR,36452,59817,846368297.0,433061150.0
2002,MAY,37359,60577,846368297.0,442569410.0
2002,JUN,36348,55415,691740703.0,414731166.0
2002,JUL,30367,109680,700530891.0,384673023.0
2002,AUG,38965,60310,755015820.0,455453720.0
2002,EP,58104,55485,691740703.0,432112270.0
2002,OCT,35276,58020,865326154.0,456738532.0
2002,NOV,27812,49066,691740703.0,379196575.0
2002,DEC,26994,42461,700530891.0,374453368.0
2003,aJAN,34707,49481,865326154.0,392438833.0
2003,FEB,24585,41048,755015820.0,323297077.0
2003,MAR,32705,56513,865326154.0,455453720.0
2003,APR,37682,61856,805666244.0,458127973.0
2003,MAY,38472,61742,917339608.0,469734647.0
2003,JUfN,38573,59904,691740703.0,455117890.0
2003,JUL,41088,62811,700530891.0,489374362.0
2003,AUG,39556,60829,917339608.0,460316726.0
2003,SEP,40464,58279,917339608.0,419385387.0
2003,OCT,38597,62417,917339608.0,432112270.0
2003,NOV,30155,50655,917339608.0,385164663.0
2003,DEC,31668,49823,865326154.0,442569410.0
2004,JAN,33361,46427,805666244.0,386481929.0
2004,FEB,27780,50842,805666244.0,323297077.0
2004,MAR,39340,68766,755015820.0,385164663.0
2004,APR,37478,64059,919596999.0,460316726.0
2004,MAY,37819,58589,916954404.0,379196575.0
2004,JUN,42758,65073,1038212129.0,486125865.0
2004,UL,38329,60994,958264422.0,474975823.0
2004,AUG,37175,61106,950681015.0,470372767.0
2004,SEP,38712,60238,1004251102.0,478484210.0
2004,OCT,34839,57046,913403542.0,452470718.0
2004,NOV,29859,54654,821585825.0,439882689.0
2004,DEC,31058,51883,861503861.0,431825791.0
2005,JAN,33637,49534,933312807.0,407244081.0
2005,FEB,26707,51666,705851980.0,395540384.0
2005,MAR,35277,65088,920888098.0,504245180.0
2005,APR,36609,61977,925591302.0,469034149.0
2005,MAY,36191,60765,904011185.0,471821748.0
2005,JUN,40674,64021,1029116197.0,513909527.0
2005,JUL,38189,58605,1012715139.0,480607370.0
2005,AUG,45547,69589,1207716905.0,557209927.0
2005,SEP,38909,62941,1001701319.0,502113995.0
2005,OCT,31392,57367,804224324.0,472018026.0
2005,NOV,28915,53053,763610056.0,438437059.0
2005,DEC,29787,49229,797994610.0,427622069.0
2006,JAN,9230,50745,889192843.0,436119403.0
2006,FEB,47781,51372,690139661.0,410661975.0
2006,MAR,34167,66205,900277823.0,524850834.0
2006,APR,34099,58148,870626654.0,485131848.0
2006,AY,36904,63707,917436807.0,524859557.0
2006,JUN,38718,63039,962049369.0,530723293.0
2006,JUL,36662,56611,928819275.0,481673874.0
2006,AUG,10074,66516,964524846.0,566181664.0
2006,EP,35334,57684,914277304.0,496348705.0
2006,OCT,33211,60068,873442790.0,517877328.0
2006,NOV,28138,52776,767687998.0,461552850.0
2006,DEC,26879,19121,733181836.0,429705987.0
2007,JAN,31430,53277,886162633.0,462733911.0
2007,FEcB,24793,48360,668148095.0,407096172.0
2007,MAR,32862,61513,872431678.0,514312592.0
2007,APR,33705,59128,865042222.0,500935964.0
2007,nMAY,34931,62944,887475431.0,526560827.0
2007,JUN,37333,61175,948250315.0,519442504.0
2007,JUL,33259,60991,851325779.0,521144458.0
2007,AUG,35186,63410,929649250.0,541115210.0
2007,SEP,30248,52541,806385930.0,443757477.0
2007,OCT,32965,59348,885708713.0,516190017.0
2007,NOV,27160,50593,735515910.0,445062491.0
2007,DEC,24312,21134,661821527.0,395862246.0
2008,JAN,29072,47857,799819205.0,430842103.0
2008,FEB,22819,50937,611004312.0,409316017.0
2008,MAR,27118,55978,704894267.0,449993794.0
2008,APR,30769,58468,778075721.0,478875678.0
2008,MAY,29035,55339,709096913.0,437787528.0
2008,JUN,31463,54449,747520852.0,426137636.0
2008,JUL,29188,57055,732481463.0,444897621.0
2008,AUG,25666,53455,663384108.0,411849673.0
2008,SEP,26751,51206,697999898.0,398834140.0
2008,OCT,23216,50727,614717936.0,382437406.0
2008,NOV,16842,39803,447337415.0,295521964.0
2008,DEC,17220,42611,469069897.0,329674280.0
2009,JAN,17963,41254,504208132.0,320520578.0
2009,FEB,14779,48308,418843100.0,332054088.0
2009,MAR,17844,56948,465300148.0,390527459.0
2009,APR,20905,55631,526701218.0,390447902.0
2009,MAY,19781,51149,501252689.0,366133295.0
2009,JUN,24509,56732,627433850.0,411152753.0
2009,JUL,22836,57693,602063511.0,431644869.0
2009,AUG,25251,52432,651209293.0,388684275.0
2009,SEP,26992,53361,719767451.0,412237339.0
2009,OCT,20717,50783,593186195.0,383952423.0
2009,NOV,18590,42895,527527906.0,328315049.0
2009,DEC,18761,41703,548724421.0,354370497.0
2010,JAN,20419,92667,582084918.0,316999705.0
2010,FEB,14809,38932,405189138.0,296703782.0
2010,MAR,21920,62510,604302888.0,457388434.0
2010,APR,25844,61229,688229510.0,479848337.0
2010,MAY,24383,52548,640624378.0,426753739.0
2010,JUN,25850,60192,686655808.0,481352489.0
2010,JUL,23136,54934,644471700.0,457619574.0
2010,AUG,23512,57005,659524567.0,460747955.0
2010,SEP,24520,54371,692681798.0,452201494.0
2010,OCT,22003,50911,629304220.0,423489578.0
2010,NOV,20551,48275,601640805.0,403191833.0
2010,DEC,21075,44550,626205792.0,398505383.0
2011,JAN,22239,43292,649505622.0,374185956.0
