108.statevalue,LF,FL
59.fipstwo,f02290,f06111
15.statecounty,AZ_Apache,AZ_La Paz
282.county,Vgio ,Vigo 
67.fips,6081.0,8019
235.county,Vermilino ,Vermilion 
38.fips,2180.0,6059
259.county,LaGarnge ,LaGrange 
50.statecounty,AZ_Mohave,CA_Santa Clara
94.fipstwo,f04013,f09005
128.statecounty,AR_Randolph,IA_Benton
177.statefips,69,19
382.statevalue,E,ME
291.statecounty,KS_Decatru,KS_Decatur
933.county,Halle ,Hale 
221.statefips,107,17
123.statecounty,AK_Yukon-Koyukuk Census Area,GA_Macon
123.fipstwo,f06039,f13193
649.statevalue,pNJ,NJ
976.statecounty,TX_Zvaala,TX_Zavala
98.statecounty,FL_Columbia,CT_Tolland
603.statecounty,E_Hamilton,NE_Hamilton
115.fipstwo,f04027,f12095
824.county,Blai ,Blair 
586.county,Cumging ,Cuming 
218.fipstwo,f11707,f17107
130.statecounty,CA_Glenn,IA_Bremer
535.fipstwo,3f7067,f37067
54.statevalue,A,CA
77.statecounty,AZ_Apache,CO_Larimer
33.statefips,4.0,6
97.statefips,5.0,9
79.statecounty,AK_Aleutians West Census Area,CO_Logan
256.fipstwo,f1y8077,f18077
198.statefips,44,16
80.fips,4012.0,8087
43.fipstwo,f02240,f06069
227.statefips,88,17
93.fipstwo,f02180,f09003
1001.statecounty,WA_Clallma,WA_Clallam
14.fipstwo,f05121,f04011
231.statefips,82,17
827.statecounty,A_Butler,PA_Butler
143.statecounty,CO_Archuleta,IA_Dubuque
111.statecounty,CA_Sacramento,FL_Lake
98.fipstwo,f02020,f09013
813.county,Sheman ,Sherman 
509.statevalue,TM,MT
881.statevalue,C,SC
694.statevalue,gNY,NY
232.county,Selby ,Shelby 
132.statecounty,AK_Fairbanks North Star Borough,IA_Buena Vista
946.county,nox ,Knox 
684.statecounty,NVN_ye,NV_Nye
1069.fipstwo,fm55125,f55125
39.statefips,9.0,6
941.statevalue,X,TX
119.fipstwo,f04003,f12127
498.statecounty,MT_Cscade,MT_Cascade
356.statevalue,jMA,MA
819.statevalue,uPA,PA
114.fips,4019.0,12086
966.fipstwo,f8451,f48451
85.statecounty,CA_Napa,CO_Rio Grande
145.statefips,76,19
151.statecounty,AR_Randolph,IA_Humboldt
918.fipstwo,f4815,f48115
635.county,Thayerr ,Thayer 
972.statevalue,X,TX
938.statecounty,X_Hidalgo,TX_Hidalgo
303.statecounty,KS_Harpre,KS_Harper
234.statecounty,ILTazewell,IL_Tazewell
329.fipstwo,f2015i7,f20157
18.statecounty,AK_Anchorage Municipality,AZ_Pima
57.fipstwo,f02090,f06103
142.statevalue,A,IA
176.statevalue,A,IA
216.statefips,91,17
53.statefips,4.0,6
538.statevalue,C,NC
104.fips,2016.0,12009
