125.noteonearnings,Reporting standards not met (too fwe cases for a reliable estimate).,Reporting standards not met (too few cases for a reliable estimate).
174.sex,Mvale,Male
75.characteristic,Total - Female,Total - Hispanic
173.sex,Malfe,Male
240.sex,Femael,Female
236.noteonearnings,Reporting standards not met(too few cases for a reliable estimate).,Reporting standards not met (too few cases for a reliable estimate).
97.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
40.noteonearnings,Reporting standards not met (too few cases for ca reliable estimate).,Reporting standards not met (too few cases for a reliable estimate).
56.noteoncount,Reporting standards not met (too fe cases for a reliable estimate).,Reporting standards not met (too few cases for a reliable estimate).
103.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
230.noteonearnings,Reporting standards not met (too few cases for a reliable estimwate).,Reporting standards not met (too few cases for a reliable estimate).
285.raceethnicity,"Pacific Islander, non-Hspanic","Pacific Islander, non-Hispanic"
48.characteristic,Total ,"Total - White, non-Hispanic"
220.noteonearnings,Reporting standards not met (too ew cases for a reliable estimate).,Reporting standards not met (too few cases for a reliable estimate).
269.sex,Femalle,Female
271.raceethnicity,"Asian,j non-Hispanic","Asian, non-Hispanic"
272.noteonearnings,Reporting standards not met (too few casse for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
186.characteristic,"Total - Male, Pacific Islander non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
230.raceethnicity,"White, non-Hispnaic","White, non-Hispanic"
74.characteristic,Total - Female,Total - Hispanic
277.noteonearnings,Reporting standards not met (too few cases for a relible estimate).,Reporting standards not met (too few cases for a reliable estimate).
299.noteonearnings,Reporting standards not met (too few cases for a reliable estimtae).,Reporting standards not met (too few cases for a reliable estimate).
239.raceethnicity,"Blvack, non-Hispanic ","Black, non-Hispanic "
19.sex,Mae,Male
297.sex,uFemale,Female
134.characteristic,Total ,"Total - Male, White, non-Hispanic"
234.raceethnicity,"White, non-Hispnic","White, non-Hispanic"
61.noteonearnings,Reporting standards not met (too few casmes for a reliable estimate).,Reporting standards not met (too few cases for a reliable estimate).
303.raceethnicity,"Two or mjore races, non-Hispanic","Two or more races, non-Hispanic"
299.sex,Feale,Female
91.characteristic,Total ,"Total - Asian, non-Hispanic"
237.noteonearnings,Reporting standards not met (too few cases fr a reliable estimate).,Reporting standards not met (too few cases for a reliable estimate).
113.characteristic,"Total - Asian, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
289.sex,Femle,Female
312.noteonearnings,Repotring standards not met (too few cases for a reliable estimate).,Reporting standards not met (too few cases for a reliable estimate).
279.raceethnicity,"Pacgific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
310.raceethnicity,"Two ore more races, non-Hispanic","Two or more races, non-Hispanic"
120.characteristic,Total ,"Total - Two or more races, non-Hispanic"
200.sex,aMle,Male
201.sex,Mlae,Male
17.noteonearnings,Reporting standards not met (toofew cases for a reliable estimate).,Reporting standards not met (too few cases for a reliable estimate).
123.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
11.sex,Fmale,Female
2.sex,emale,Female
86.noteoncount,Reporting standards not met (too few cases for a reliable estimate).,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
224.noteonearnings,Reporting standards not met (too few cases fo ra reliable estimate).,Reporting standards not met (too few cases for a reliable estimate).
68.sex,Femalse,Female
22.characteristic,"Total - Black, non-Hispanic ",Total - Male
268.raceethnicity,"Asian, non-iHspanic","Asian, non-Hispanic"
33.sex,emale,Female
310.sex,Fmeale,Female
121.characteristic,Total ,"Total - Two or more races, non-Hispanic"
212.noteonearnings,Reporting standards not met (too few casces for a reliable estimate).,Reporting standards not met (too few cases for a reliable estimate).
203.sex,Mael,Male
208.raceethnicity,"Amercan Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
228.raceethnicity,"White, non-iHspanic","White, non-Hispanic"
36.sex,Femacle,Female
34.sex,Femae,Female
30.characteristic,"Total - Black, non-Hispanic ",Total - Female
165.raceethnicity,Hispanci,Hispanic
52.noteonearnings,Reporting standards not met (too few cases for a reliajble estimate).,Reporting standards not met (too few cases for a reliable estimate).
246.sex,Fmale,Female
87.noteoncount,Reporting standards not met (too few cases for a reliable estimate).,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
305.raceethnicity,"Two or more races,f non-Hispanic","Two or more races, non-Hispanic"
57.characteristic,Total ,"Total - Black, non-Hispanic "
4.sex,Femae,Female
176.raceethnicity,"Asian, non-Hspanic","Asian, non-Hispanic"
