characteristic,sex,raceethnicity,yearvalue,score,standarderroronscore,noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,112.0,1.9,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,118.0,1.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,118.0,1.0,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,115.0,2.3,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,122.0,1.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,120.0,1.3,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,108.0,2.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,110.0,1.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,113.0,1.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,120.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,127.0,1.3,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2013,127.0,1.3,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,96.0,2.9,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,94.0,2.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,98.0,1.9,Data not available.
Total - Hispanic,Female,Hispanic,2005,99.0,3.2,Data not available.
Total - Hispanic,Female,Hispanic,2006,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispanic,2007,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispanic,2008,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispanic,2009,105.0,1.9,Data not available.
Total - Hispanic,Female,Hispanic,2010,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispanic,2011,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispanic,2012,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispanic,2013,106.0,2.4,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,137.0,7.0,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,122.0,7.8,Data for 2005 and 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,125.0,6.3,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2005,122.0,2.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,131.0,1.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,130.0,1.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2005,98.0,3.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,96.0,3.5,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2013,100.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2006,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2008,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2009,109.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2010,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2011,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2012,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2013,108.0,2.7,Data not available.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,116.0,3.5,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,120.0,2.0,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2013,123.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,92.0,3.5,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2013,95.0,3.0,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,Hispanic,2006,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2007,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2008,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2009,100.0,2.6,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2010,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2011,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2012,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2013,103.0,3.6,Data not available.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
