characteristic,sex,raceethnicity,yearvalue,score,standarderroronscore,noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,149.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,152.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,152.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,150.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,154.0,0.9,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,154.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,147.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,151.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,151.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,156.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,160.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2013,161.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,126.0,1.1,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2005,132.0,1.3,Data not available.
Total - Hispanic,Female,Hispanic,2006,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2007,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2008,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2009,137.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2010,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2011,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2012,131.0,0.8,Data not available.
Total - Hispanic,Female,Hispanic,2013,140.0,0.8,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,161.0,2.0,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,175.0,2.9,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,173.0,1.4,Data for 2005 and 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,131.0,0.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,131.0,0.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,131.0,0.8,Data not available.
