139.characteristic,Total ,"Total - Two or more races, non-Hispanic"
315.raceethnicity,"American Indian/Alaska Native, non-sHispanic","American Indian/Alaska Native, non-Hispanic"
306.raceethnicity,"Pacifi cIslander, non-Hispanic","Pacific Islander, non-Hispanic"
257.characteristic,Total - Male,"Total - Female, Black, non-Hispanic "
50.sex,emale,Female
302.sex,Fmale,Female
27.sex,ale,Male
234.noteonscore,Data not avialable.,Data not available.
171.sex,Mlae,Male
234.raceethnicity,"Two or more races, non-Hipsanic","Two or more races, non-Hispanic"
160.characteristic,Total ,"Total - Male, Black, non-Hispanic "
48.characteristic,Total ,"Total - White, non-Hispanic"
38.sex,Femlae,Female
43.characteristic,Total ,"Total - White, non-Hispanic"
330.sex,Fmeale,Female
333.noteonscore,Dta not available.,Data not available.
247.characteristic,Total - Male,"Total - Female, White, non-Hispanic"
80.sex,Femalpe,Female
143.characteristic,Total ,"Total - Male, White, non-Hispanic"
111.noteonscore,Datan ot available.,Data not available.
336.raceethnicity,"tTwo or more races, non-Hispanic","Two or more races, non-Hispanic"
126.raceethnicity,"American Indian/Alaska Natie, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
327.sex,eFemale,Female
321.raceethnicity,"Ameican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
326.raceethnicity,"Two or moreraces, non-Hispanic","Two or more races, non-Hispanic"
123.raceethnicity,"American Indian/Aaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
273.characteristic,Total ,"Total - Female, Hispanic"
222.raceethnicity,"American Indian/Alaska Native, nn-Hispanic","American Indian/Alaska Native, non-Hispanic"
272.noteonscore,Data no available.,Data not available.
54.noteonscore,Data not avaiable.,Data not available.
264.characteristic,Total ,"Total - Female, Black, non-Hispanic "
121.raceethnicity,"American Indian/Alaska Native, non-Hispanlic","American Indian/Alaska Native, non-Hispanic"
230.sex,Malxe,Male
10.sex,Fmeale,Female
24.sex,eMale,Male
