6.sex,eFmale,Female
98.sexraceethnicity,Total - Male,"Total - Asian, non-Hispanic"
334.raceethnicity,"Two or more races, non-Hisapnic","Two or more races, non-Hispanic"
304.sex,Faemale,Female
106.sexraceethnicity,Total ,"Total - Pacific Islander, non-Hispanic"
150.noteonscore,Data nota vailable.,Data not available.
286.raceethnicity,"Asiant, non-Hispanic","Asian, non-Hispanic"
250.sex,Femael,Female
79.sexraceethnicity,Total ,Total - Hispanic
312.sex,Femaole,Female
220.raceethnicity,"Ameircan Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
122.sexraceethnicity,Total - Male,"Total - American Indian/Alaska Native, non-Hispanic"
187.raceethnicity,Asian non-Hispanic,"Asian, non-Hispanic"
189.sex,fMale,Male
144.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
76.sexraceethnicity,Total ,Total - Hispanic
117.sex,eFmale,Female
27.sex,ale,Male
293.sex,emale,Female
276.raceethnicity,Hispvanic,Hispanic
272.sex,Femlae,Female
280.raceethnicity,Hiispanic,Hispanic
44.sexraceethnicity,Total - Male,"Total - White, non-Hispanic"
73.sexraceethnicity,Total - Male,Total - Hispanic
64.noteonscore,Data not azvailable.,Data not available.
54.sexraceethnicity,Total ,"Total - White, non-Hispanic"
259.raceethnicity,"Black, nonH-ispanic ","Black, non-Hispanic "
236.noteonscore,Data not avaliable.,Data not available.
63.sexraceethnicity,Total - Female,"Total - Black, non-Hispanic "
84.sex,Femlae,Female
134.sex,Fmale,Female
329.sex,Feamle,Female
137.sexraceethnicity,Total - Female,"Total - Two or more races, non-Hispanic"
299.raceethnicity,"Pacific Islander, non-Hispanci","Pacific Islander, non-Hispanic"
147.sexraceethnicity,Total - Male,"Total - Male, White, non-Hispanic"
248.sex,Fmeale,Female
116.raceethnicity,"American Indian/Alaska Native ,non-Hispanic","American Indian/Alaska Native, non-Hispanic"
39.sex,Femalze,Female
32.sexraceethnicity,"Total - Black, non-Hispanic ",Total - Female
316.sex,Femael,Female
