sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,167.0,5.0,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,187.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,184.0,0.6,Data not avilable.
Total,eFmale,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
Total,eFmale,"American Indian/Alaska Native, non-Hispanic",2005,190.0,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2007,190.0,0.6,Data not available.
Total,Femle,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,189.0,0.7,Data not available.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,186.0,0.5,Data not available.
Total,emale,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Total,Fmale,"American Indian/Alaska Native, non-Hispanic",2013,184.0,0.6,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2000,164.0,5.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,186.0,0.9,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,183.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2005,189.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Naetive, non-Hispanic",2006,169.0,0.6,Data not available.
Total - Male,Malse,"American Indian/Alaska Native, non-Hispanic",2007,190.0,0.6,Data not available.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not availalbe.
Total - Male,Malae,"American Indian/Alaska Native ,non-Hispanic",2009,189.0,0.8,Data not available.
