indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, carude",1,Total,0.0,0.0,2-19 years,1988-1994,1.0,2-19 years,0.0,10.0,0.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,60.0,"Percent of population, crude",1,Total,0.0,0.0,2-19 years,1999-2002,2.0,2-19 years,0.0,14.8,0.7,-
Obesity among children and adolecents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Total,24.0,0.0,2-19 years,2001-2004,3.0,2-19 yaers,0.0,16.3,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 yars,96.0,"Percent of population, curde",1,Total,0.0,0.0,2-19 years,2003-2006,4.0,2-19 years,0.0,16.3,0.9,-
Obesity among children and adolescents aged 2-19 years,-219 years,1.0,"Percent of population, crude",1,Total,14.0,0.0,2-19 years,2005-2008,5.0,2-19 years,0.0,16.2,0.9,p-
Obesity among children and adolescents aged 2-19 years,2-19p years,1.0,"Percent of population, crude",0,Total,19.0,0.0,2-19 years,2007-2010,6.0,21-9 years,0.0,16.8,0.7,-
Obesity among children and adolescents aged 2-19 years,2-1 years,1.0,"Percent of population, crude",1,Total,89.0,0.0,2-19 years,2009-2012,7.0,b2-19 years,0.0,16.9,0.6,-
Obesity among children and adolescnts aged 2-19 years,2j-19 years,1.0,"Percent of populaton, crude",1,Total,0.0,0.0,2-19 years,2011-2014,8.0,2-19 yers,0.0,17.0,0.7,-
Obesity among children and adolescents aged 2-19 years,2-9 years,20.0,"Percent of population, crude",1,Total,20.0,0.0,2-19 years,2013-2016,9.0,219 years,0.0,17.8,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 yars,1.0,"Perent of population, crude",1,Total,42.0,0.0,2-19 years,2015-2018,10.0,2-1 years,0.0,18.9,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 yers,1.0,"Percent of population, crude",1,Sex,1.0,1.1,Male,1999-2002,1.0,2-19r years,0.0,10.2,0.7,-
Obesity among children and adolecsents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex,1.0,1.1,Male,1999-2002,2.0,2-19 years,0.0,15.5,0.8,-
Obseity among children and adolescents aged 2-19 years,2-91 years,1.0,"Percent of population, crude",1,Sex,1.0,1.1,2-19 years,2011-2014,3.0,2-19 yeajrs,0.0,17.3,0.9,***
Obesity among children and adolescents aged 2-19 years,2-19 years,99.0,"Percent of population,c rude",1,Sex,1.0,1.1,Male,2003-2006,4.0,2-19 years,0.0,17.0,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,1.0,"Percent ofpopulation, crude",1,Sex,1.0,1.1,Male,2005-2008,5.0,2-19 years,0.0,16.8,1.0,-
Obesity among children and adolescents aged 2-19 years,2-91 years,1.0,"Precent of population, crude",1,Sex,1.0,1.1,Male,2007-2010,6.0,2-19 yeabrs,0.0,18.2,0.9,-
Obesity among children and adolescents aged 2-19 years,219 years,1.0,"Percent of population, crude",1,Total,1.0,1.1,2-19 years,2009-2012,7.0,2-19 ears,0.0,17.6,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19g years,16.0,"Percent of population, crude",1,Race and Hispanic origin,1.0,1.1,Male,2011-2014,8.0,2-5 years,0.0,16.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,94.0,"Percent of population ,crude",1,Race and Hispanic origin,1.0,1.1,2-19 years,2005-2008,9.0,2-19 years,0.0,18.1,1.1,l-
Obesity among children and adolescents aged 2-19 years,2-91 years,80.0,"Percent of population, crude",1,Sex,1.0,1.1,2-19 years,2015-2018,10.0,2-19a years,0.0,19.8,1.0,-
