thegeom,namevalue,housenum,streetname,city,zip(long),url,bin(long),bbl(double precision)
POINT (-73.96011580264039 40.7680770104762),Grand Central Station,450,LEXINGTON AVENUE,New ork,10017,http://www.usps.com/,1085671,1012800090.0
POINT (-73.99084058306957 40.757113096402534),Port Authority Convenience,625,8 AVENUE,New York,10018,http://www.usps.com/,1083268,1010320029.0
POINT (-73.96011580264039 40.7680770104762),Ansonia Station,223,WEST 38 STREET,New York,10018,http://www.usps.com/,1014478,1007880026.0
POINT (-73.98646898020364 40.76383429701581),Radio City Station,322,WEST 52 STREET,New York,10019,http://www.usps.com/,1025213,1010420044.0
POINT (-73.96011580264039 40.7680770104762),Columbia University,610,5 AVENUE,New York,10020,http://www.usps.com/,1082656,1012650050.0
POINT (-73.96011580264039 40.7680770104762),Lenox Hill Station,217,EAST 70 SzTREET,New Yokr,10021,http://www.usps.com/,1043922,1014250013.0
POINT (-73.96011580264039 40.7680770104762),FDR Station,909,3 AVENUE,New York,10022,http://www.usps.com/,1038570,1013280001.0
POINT (-73.9833044821534 40.76964200971967),FDR Station,27,WEST 60 STREET,New York,10023,http://www.usps.com/,1084277,1011130008.0
POINT (-73.99084058306957 40.757113096402534),Ansonia Station,78,COLUMBUS AVENUE,New York,10023,http://www.usps.com/,1084564,1011397503.0
POINT (-73.96011580264039 40.7680770104762),Planetarium Station,127,WEST 83 STREET,New York,10024,http://www.usps.com/,1032118,1012140019.0
POINT (-73.96011580264039 40.7680770104762),Columbia University,534,WeEST 112 STREET,New York,10025,http://www.usps.com/,0,1018830054.0
POINT (-73.96011580264039 40.7680770104762),Park West Finance,700,COLUMBUS AVENUE,New York,10025,http://www.usps.com/,1032562,1012250029.0
POINT (-73.99084058306957 40.757113096402534),FDR Station,215,WEST 104 STREET,New York,10025,http://www.usps.com/,1056587,1018760022.0
POINT (-73.95420102848708 40.803615433219576),Planetarium Station,232,WEST 116 STREET,New York,10026,http://www.usps.com/,1055244,1018310049.0
POINT (-73.98646898020364 40.76383429701581),Manhattanville,365,WEST 125 STREET,New York,10027,http://www.usps.com/,1059307,1019520005.0
POINT (-73.99084058306957 40.757113096402534),Gracie,229,EAST 85 STREET,New York,10028,http://www.usps.com/,1048767,1015310016.0
POINT (-73.95420102848708 40.803615433219576),Planetarium Station,1j53,EAST 110 STREET,New York,10029,http://www.usps.com/,1052179,1016380024.0
POINT (-73.94255263001938 40.81921252473922),Radio City Station,17,WEST 140 STREET,New York,10030,http://www.usps.com/,1060407,1020260017.0
POINT (-73.98646898020364 40.76383429701581),Park West Finance,521,WEST 146 STREET,New York,10031,http://www.usps.com/,1061961,1020780017.0
POINT (-73.94400466032515 40.8342630777308),Gracie,556,WEST 158 STREET,New York,10032,http://www.usps.com/,1084192,1021160001.0
POINT (-73.9833044821534 40.76964200971967),Radio City Station,511,WEST 165 STREET,New York,10032,http://www.usps.com/***,1085733,1021230045.0
POINT (-73.99084058306957 40.757113096402534),Manhattanville,555,WEST 180 STREET,New York,10033,http://www.usps.com/,1081876,1021530081.0
POINT (-73.96011580264039 40.7680770104762),Planetarium Station,90,VERMILYEA AVENUE,Nwe York,10034,thtp://www.usps.com/,1064904,1022340025.0
POINT (-73.94400466032515 40.8342630777308),Lenox Hill Station,1t67,EAST 124 STREET,New York,10035,http://www.usps.com/,1054464,1017730027.0
POINT (-73.95420102848708 40.803615433219576),Gracie,23,WEST 43 STREET,New York,10036,http://www.usps.com/,1034206,1012590019.0
POINT (-73.95420102848708 40.803615433219576),FDR Station,580,5 AVENUE,New York,10036,http://wwwt.usps.com/,1034484,1012630034.0
POINT (-73.94255263001938 40.81921252473922),Gracie,340,WEST 42 STREET,New York,10036,http://www.usps.com/,1024927,1010320054.0
POINT (-73.9857369375728 40.748443489207226),Radio City Station,2266,5 AVENUE,New York,10037,http://www.usps.com/,1053920,1017350040.0
POINT (-73.96011580264039 40.7680770104762),Port Authority Convenience,1,PECK SLIP,New Yrok,10038,http://www.usps.com/,1001363,1001060009.0
POINT (-73.94400466032515 40.8342630777308),Grand Central Station,99,MAOMBS PLACE,New York,10039,http://www.usps.com/,1060622,1020390045.0
POINT (-73.96011580264039 40.7680770104762),Port Authority Convenience,4558,BROADWAY,New wYork,10040,http://www.usps.com/,1064061,1021700103.0
POINT (-73.98646898020364 40.76383429701581),Columbia University,694,MAIN STREET,New York,10044,http://www.usps.com/,1083211,1013730001.0
POINT (-73.96011580264039 40.7680770104762),Ansonia Station,1483,YORK AVENUE,New York,10075,ttp://www.usps.com/,1076320,1014737502.0
POINT (-73.9857369375728 40.748443489207226),Planetarium Station,19,WEST 33 STREET,Nw York,10118,http://www.usps.com/,1015862,1008350041.0
POINT (-73.9857369375728 40.748443489207226),Ansonia Station,1617,3 AVENUE,New York,10128,http://www.usps.com/,1086170,1015367501.0
POINT (-73.95420102848708 40.803615433219576),Columbia University,860,MELROSE AVENUE,Bronx,10451,http://www.usps.com/,2001490,2023820001.0
POINT (-73.98646898020364 40.76383429701581),Bronx General Post Office,558,GRAND CONCOURSE,Brnx,10451,htptp://www.usps.com/,2002459,2024430400.0
POINT (-73.99084058306957 40.757113096402534),Stadium,901,GERARD AVENUE,Bronx,10452,http://www.usps.com/,0,4004560001.0
POINT (-73.99084058306957 40.757113096402534),University Heights,1541,SHAKESPEARE AVENUE,Bronx,10452,http://www.usps.com/,2008741,2028730103.0
POINT (-73.9203526885767 40.838765002220256),Highbridge,1315,INWOOD AVENUE,Bronx,10452,http://www.usps.com/,2008418,2028640076.0
POINT (-73.90770998433186 40.85294544220294),Morris Heights,2024,JEROME AVENUE,Bronx,10453,http://www.usps.com/,2008267,2028540036.0
POINT (-73.9180838873192 40.80820362226942),Mott Haven,517,EAST 139 STREET,Bronx,10454,http://www.usps.com/,2096088,2022670069.0
POINT (-73.90504861785949 40.812644218411165),Oak oint,39,EAST 149 STREET,Bronx,10455,http://www.usps.com/,2004899,2026740017.0
POINT (-73.9121848540668 40.81633321928944),Hub,633,SAINT ANNS AVENUE,Bronx,10455,http://www.usps.com/,2001151,2023590130.0
