rxdevice,fileid,txdevice,starttime,endtime,valuevalue
291,24812.0,9167,276266376154934,276266676055141.0,255
291,24814.0,-2917,276297276172696,276297576073022.0,255
291,24817.0,1042,276387276146401,276387576062486.0,255
291,24824.0,-19432,276465876186768,276466176086601.0,255
291,24825.0,8884,276524076117184,276524376016804.0,255
291,24832.0,12747,276712476154539,276712776054431.0,255
291,24836.0,-9578,276786276154240,276786576054094.0,255
291,24837.0,25149,276807576180806,276807876097228.0,255
291,24840.0,-9437,276871176143341,276871476076359.0,255
291,24841.0,30740,276902376173424,276902676073996.0,255
291,24842.0,9882,276905076189763,276905376089894.0,255
291,24845.0,4244,276991776165653,276992076065658.0,255
291,24846.0,25884,277046076112879,277046376011948.0,255
291,24848.0,-16427,277077576115421,277077876031133.0,255
291,24849.0,25704,277087776120136,277088076019619.0,255
291,24850.0,21651,277105776156255,277106076056089.0,255
291,24851.0,29929,277128876140941,277129176056224.0,255
291,24854.0,-1322,277300776152599,277301076052613.0,255
291,24855.0,22360,277322976141651,277323276041700.0,255
291,24860.0,-26389,277422276120980,277422576021761.0,255
291,24860.0,-14186,277421976121168,277422276020987.0,255
291,24863.0,6613,277475976171669,277476276071822.0,255
291,24868.0,-7659,277564476155444,277564776055062.0,255
291,24871.0,-28559,277761876155317,277762176055058.0,255
291,24871.0,-18655,277762176155104,277762476055040.0,255
291,24871.0,-8109,277762776154921,277763076055191.0,255
291,24871.0,8715,277762476155055,277762776054868.0,255
291,24872.0,-27389,278111376173785,278111676073896.0,255
291,24872.0,-15860,278112276174364,278112576074002.0,255
291,24872.0,-15818,278111076173845,278111376073772.0,255
291,24872.0,-7627,278111976173763,278112276074352.0,255
291,24872.0,-7590,278110776173817,278111076073989.0,255
291,24872.0,22502,278111676173899,278111976073767.0,255
291,24875.0,9486,278165676185824,278165976038274.0,255
291,24875.0,26911,278165976138286,278166276038262.0,255
291,24879.0,-8944,278254776155986,278255076056032.0,255
291,24884.0,7052,278375976156003,278376276055805.0,255
291,24891.0,-7748,278509476115473,278509776015417.0,255
291,24892.0,17992,278528976175120,278529276008998.0,255
291,24893.0,-5799,278600076104027,278600376003917.0,255
291,24894.0,-17793,278629176152752,278629476053031.0,255
291,24894.0,-14867,278629476153033,278629776053482.0,255
291,24896.0,27777,278684376164152,278684676064046.0,255
291,24897.0,-22763,278685276199324,278685576099861.0,255
291,24897.0,-7289,278685876199732,278686176099886.0,255
291,24897.0,7201,278685576199348,278685876099755.0,255
291,24899.0,-11115,278717376168391,278717676068437.0,255
291,24902.0,3575,278774076122370,278774376037724.0,255
291,24903.0,-24283,278796876146496,278797176046233.0,255
1064,866291.0,-15483,277251266060337,277251565936918.0,255
1064,866293.0,-12837,277257566099942,277257865976298.0,255
1064,866299.0,-28162,277341266037436,277341565914134.0,255
1064,866299.0,-5412,277340666037444,277340965914154.0,255
1064,866299.0,3873,277340966037546,277341265914161.0,255
1064,866299.0,14839,277341566037809,277341865914144.0,255
1064,866329.0,2628,277596866107593,277597165983831.0,255
1064,866330.0,-5248,277601966078331,277602265954924.0,255
1064,866331.0,31201,277653266074553,277653565951295.0,255
1064,866338.0,-26896,277733666117502,277733965993486.0,255
1064,866338.0,28809,277733966117257,277734265993498.0,255
1064,866339.0,-25478,277740266085585,277740565962259.0,255
1064,866339.0,6691,277740566085630,277740865962257.0,255
1064,866339.0,31012,277739966085788,277740265962222.0,255
1064,866345.0,-32270,277763966084035,277764265960465.0,255
1064,866347.0,8974,277779866057781,277780165934108.0,255
1064,866347.0,27712,277780166057538,277780465934103.0,255
1111,68617.0,11297,276175176157090,276175476057366.0,255
1111,68617.0,22316,276174876157102,276175176057082.0,255
1111,68618.0,-17609,276209676163340,276209976063191.0,255
1111,68618.0,-9147,276209976163181,276210276063550.0,255
1111,68619.0,-1709,276261576159581,276261876059776.0,255
1111,68619.0,17859,276261276159935,276261576059582.0,255
1111,68621.0,-9254,276298476174493,276298776074568.0,255
1111,68621.0,6434,276298176174603,276298476074510.0,255
1111,68622.0,-2867,276299676173835,276299976073848.0,255
1111,68623.0,24976,276347976160352,276348276060593.0,255
1111,68624.0,-26558,276383376198104,276383676098591.0,255
1111,68624.0,-4950,276383676198617,276383976098339.0,255
1111,68624.0,7870,276383976198339,276384276098170.0,255
1111,68627.0,-3890,276434376139976,276434676055642.0,255
1111,68628.0,-17741,276473676139252,276473976054971.0,255
1111,68629.0,-31844,276479376176746,276479676076721.0,255
1111,68629.0,-28156,276478176176829,276478476077093.0,255
1111,68629.0,-26323,276479976176715,276480276077031.0,255
1111,68629.0,-23125,276475776182646,276476076082610.0,255
1111,68629.0,-21325,276476676199656,276476976099897.0,255
1111,68629.0,-18701,276481176176773,276481476076837.0,255
1111,68629.0,-17393,276480876176684,276481176076767.0,255
1111,68629.0,-15176,276478476177104,276478776077037.0,255
1111,68629.0,-10416,276480576176693,276480876076684.0,255
1111,68629.0,-6816,276477276116234,276477576046770.0,255
1111,68629.0,677,276478776176973,276479076076829.0,255
1111,68629.0,2350,276477576146770,276477876076856.0,255
1111,68629.0,2522,276476376199659,276476676099656.0,255
1111,68629.0,3069,276482076176736,276482376076779.0,255
1111,68629.0,3393,276476076182671,276476376099695.0,255
1111,68629.0,10626,276481776177320,276482076076781.0,255
1111,68629.0,18585,276477876176754,276478176076852.0,255
1111,68629.0,19099,276481476177251,276481776077268.0,255
1111,68629.0,19484,276479076176811,276479376076815.0,255
1111,68629.0,19837,276476976200307,276477276016229.0,255
1111,68629.0,30805,276480276176942,276480576076778.0,255
1111,68629.0,30891,276479676176725,276479976076769.0,255
1111,68665.0,-26022,276832776181379,276833076080299.0,255
1111,68665.0,-23960,276832476180342,276832776080955.0,255
1111,68666.0,-29319,276866676116343,276866976015975.0,255
1111,68666.0,17687,276866976116034,276867276015928.0,255
1111,68667.0,-21626,276901476196655,276901776097086.0,255
1111,68667.0,7615,276901176196667,276901476096658.0,255
1111,68667.0,28050,276901776196744,276902076096352.0,255
1111,68668.0,-1895,276907476115545,276907776015666.0,255
1111,68668.0,25503,276907176115243,276907476015546.0,255
1111,68669.0,-31843,276952176172096,276952476005958.0,255
1111,68669.0,1590,276951876155641,276952176072124.0,255
1111,68670.0,-7605,276989976176983,276990276009688.0,255
1111,68670.0,5994,276990276109732,276990576009728.0,255
1111,68671.0,-9059,277038576150665,277038876050561.0,255
1111,68672.0,-2903,277070676196903,277070976096978.0,255
1111,68672.0,2182,277070376196764,277070676096562.0,255
1111,68672.0,12215,277070076196540,277070376096765.0,255
1111,68673.0,4150,277082376197031,277082676097028.0,255
1111,68673.0,8035,277082076196575,277082376096991.0,255
1111,68673.0,8483,277082676197050,277082976096965.0,255
1111,68673.0,9409,277081776196672,277082076096289.0,255
1111,68675.0,1807,277125276117857,277125576017960.0,255
1111,68675.0,9419,277125576117953,277125876033753.0,255
1111,68676.0,12855,277160676163065,277160976063405.0,255
1111,68685.0,-2916,277644276185014,277644576081641.0,255
1111,68685.0,14106,277644576181626,277644876081833.0,255
1111,68686.0,30560,277685976120586,277686276020474.0,255
1111,68688.0,-32382,277730676179399,277730976079508.0,255
1111,68688.0,23858,277730976179475,277731276079514.0,255
1111,68689.0,23767,277763376143699,277763676043542.0,255
1111,68691.0,-16618,277932876172438,277933176003946.0,255
1111,68691.0,-10767,277932576153783,277932876072437.0,255
1111,68692.0,1289,277941576136802,277941876036537.0,255
1111,68692.0,2432,277941276136657,277941576036799.0,255
1111,68692.0,18294,277940976136618,277941276036583.0,255
1111,68694.0,-12104,278023476151227,278023776051283.0,255
1111,68694.0,-116,278023776151315,278024076051307.0,255
1111,68695.0,8370,278076276159457,278076576059701.0,255
1111,68695.0,14333,278076576159701,278076876059657.0,255
1111,68696.0,3742,278110476187345,278110776087396.0,255
1111,68698.0,9345,278162976165754,278163276065384.0,255
1111,68698.0,29436,278163276165387,278163576065577.0,255
1111,68700.0,-1535,278246976179896,278247276080009.0,255
1111,68700.0,-1045,278247276180035,278247576079822.0,255
1111,68701.0,-10358,278276976136966,278277276037230.0,255
1111,68701.0,9284,278277276137265,278277576052611.0,255
1111,68702.0,-14815,278279676182520,278279976082693.0,255
1111,68702.0,24717,278280276182736,278280576082399.0,255
1111,68702.0,27366,278279976182699,278280276082720.0,255
1111,68703.0,-16038,278286576143817,278286876044061.0,255
1111,68703.0,-15505,278286876144032,278287176043750.0,255
1111,68703.0,-1606,278287176143728,278287476043795.0,255
1111,68704.0,-16672,278291076181676,278291376081928.0,255
1111,68704.0,18507,278290776181809,278291076081713.0,255
1111,68704.0,18993,278291376182317,278291676082142.0,255
1111,68705.0,-30474,278334276132978,278334576033522.0,255
1111,68706.0,-9134,278368476172927,278368776088450.0,255
1111,68706.0,18084,278368176173066,278368476072965.0,255
1111,68710.0,-30180,278380476185471,278380776085870.0,255
1111,68710.0,-24573,278379876185523,278380176085466.0,255
1111,68710.0,-5467,278379276185585,278379576085663.0,255
1111,68710.0,-5312,278378676185390,278378976085783.0,255
1111,68710.0,1506,278380176185379,278380476085945.0,255
1111,68710.0,20501,278379576185687,278379876085499.0,255
1111,68710.0,23563,278378976185702,278379276085560.0,255
1111,68710.0,27544,278378376185563,278378676085394.0,255
1111,68721.0,-21321,278545176161881,278545476062143.0,255
1111,68721.0,-8029,278544876146568,278545176061871.0,255
1111,68721.0,-7297,278545476162147,278545776077405.0,255
1111,68721.0,-2425,278545776177436,278546076077395.0,255
1111,68721.0,2387,278546076177405,278546376093905.0,255
1111,68721.0,8680,278546376193887,278546676041361.0,255
1111,68721.0,14313,278544276146790,278544576046558.0,255
1111,68721.0,32205,278544576146568,278544876046565.0,255
1111,68723.0,-229,278595876149429,278596176049202.0,255
1111,68723.0,26004,278595576133234,278595876049441.0,255
1111,68724.0,15995,278629776156120,278630076055934.0,255
1111,68724.0,20263,278630076155938,278630376056570.0,255
1111,68725.0,1111,278681376134184,278681676034122.0,255
1111,68725.0,30314,278681076176320,278681376034186.0,255
1111,68728.0,-31363,278716476194954,278716776094976.0,255
1111,68728.0,-16879,278716176194939,278716476094946.0,255
1111,68729.0,13434,278767476112451,278767776029192.0,255
1111,68729.0,30869,278767776129181,278768076029525.0,255
1112,53964.0,-32748,276173976121220,276174276021229.0,255
1112,53964.0,-29086,276174276121240,276174576021114.0,255
1112,53964.0,-23055,276174576121177,276174876021024.0,255
1112,53964.0,-5706,276174876120999,276175176021093.0,255
1112,53964.0,10479,276175176121161,276175476021473.0,255
1112,53968.0,-32542,276260676155659,276260976055621.0,255
1112,53968.0,-28962,276261876155443,276262176055696.0,255
1112,53968.0,-17393,276261576155659,276261876055439.0,255
1112,53968.0,10566,276261276155497,276261576055652.0,255
1112,53968.0,32065,276260976155614,276261276055490.0,255
1112,53969.0,865,276295776190322,276296076091229.0,255
1112,53971.0,-30967,276302976178090,276303276077940.0,255
1112,53971.0,-28888,276302376161338,276302676061438.0,255
1112,53971.0,-16942,276302076161493,276302376061340.0,255
1112,53971.0,-4293,276302676161433,276302976078091.0,255
1112,53972.0,-28299,276347076173813,276347376073443.0,255
1112,53972.0,10670,276347376173451,276347676073500.0,255
1112,53972.0,21972,276347976173521,276348276073879.0,255
1112,53972.0,25999,276347676173542,276347976073486.0,255
1112,53973.0,-8253,276372876132897,276373176032673.0,255
1112,53973.0,535,276372576133136,276372876032913.0,255
1112,53973.0,12346,276373476132654,276373776033126.0,255
1112,53973.0,24866,276373176132654,276373476032644.0,255
1112,53977.0,5352,276435276147219,276435576047019.0,255
1112,53977.0,10543,276433476147276,276433776047242.0,255
1112,53977.0,11961,276432876147317,276433176047077.0,255
1112,53977.0,23334,276434076146961,276434376047210.0,255
1112,53977.0,25676,276433176147077,276433476047273.0,255
1112,53977.0,29346,276435576147025,276435876046922.0,255
1112,53977.0,31078,276433776147222,276434076046977.0,255
1112,53978.0,-17076,276446976189253,276447276089724.0,255
1112,53978.0,24621,276446676189701,276446976089301.0,255
1112,53985.0,-20273,276564276118879,276564576018776.0,255
1112,53985.0,-17221,276564576118784,276564876018727.0,255
1112,53985.0,-10323,276564876118733,276565176019104.0,255
1112,53997.0,-7008,276779376111605,276779676027964.0,255
1112,53997.0,332,276779976127470,276780276043563.0,255
1112,53997.0,5736,276780276143571,276780576043839.0,255
1112,53997.0,17593,276779676127747,276779976027472.0,255
1112,53997.0,30244,276779076111607,276779376011580.0,255
1112,53998.0,-20934,276809376164625,276809676064338.0,255
1112,53999.0,-26404,276814776136985,276815076037084.0,255
1112,53999.0,-14328,276814476120852,276814776036994.0,255
1112,53999.0,-11480,276814176120700,276814476020857.0,255
1112,53999.0,-4407,276815076137086,276815376037436.0,255
1112,53999.0,1912,276815676152291,276815976052155.0,255
1112,53999.0,22128,276815376137448,276815676052296.0,255
1112,54001.0,-19968,276866376152254,276866676052109.0,255
1112,54001.0,-6824,276865776116274,276866076052285.0,255
1112,54001.0,-5698,276866076152291,276866376052246.0,255
1112,54001.0,3992,276866676152103,276866976052379.0,255
1112,54002.0,1411,276952176195152,276952476011094.0,255
1112,54002.0,7099,276952476111087,276952776058713.0,255
1112,54002.0,24381,276951876194505,276952176095150.0,255
1112,54005.0,1679,277039476159189,277039776059097.0,255
1112,54005.0,5705,277038576159148,277038876059064.0,255
1112,54005.0,7281,277039776159089,277040076059572.0,255
1112,54005.0,12469,277039176159059,277039476059189.0,255
1112,54005.0,26850,277038876159076,277039176059059.0,255
1112,54006.0,-26467,277073076155443,277073376055418.0,255
1112,54006.0,17252,277072776155626,277073076055472.0,255
1112,54008.0,-31287,277079976149100,277080276049035.0,255
1112,54008.0,29109,277080276149041,277080576049273.0,255
1112,54008.0,30830,277080576149257,277080876049057.0,255
1112,54008.0,31184,277080876148941,277081176049172.0,255
1112,54015.0,-20251,277138176110148,277138476009792.0,255
1112,54015.0,25822,277138476109790,277138776009674.0,255
1112,54034.0,383,277384176105023,277384476004952.0,255
1112,54034.0,21901,277384476105592,277384776005724.0,255
1112,54034.0,31855,277383876105924,277384176005027.0,255
