rainseason,monthvalue,rainbarrels(long),residentialsmallcisterns(long),mediumcisterns(long),largecisterns(long)
2016/2017,Jul 2018,8.0,60.0,1,0
2015/2016,Jul 2018,8733.0,60.0,0,0
2014/2015,Jul 2018,73.0,60.0,0,0
2016/2017,Mar 2017,311.0,15.0,2,1
2017/2018,Jul 2018,12.0,2.0,0,0
2017/2018,Jul 2018,14.0,60.0,0,1
2015/2016,Dec 2017,4131.0,3.0,0,0
2017/2018,Dec 2017,16.0,3.0,1,0
2017/2018,Dec 2017,19.0,60.0,0,0
2017/2018,Jul 2018,14.0,24.0,1,0
2014/2015,Mar 2017,141.0,60.0,0,0
2017/2018,Mar 2017,14.0,31.0,0,0
2013/2014,Dec 2013,0.0,0.0,0,0
2015/2016,Jul 2018,257.0,0.0,0,0
2015/2016,Jan 2016,341.0,0.0,14,0
2014/2015,Mar 2015,305.0,0.0,68,0
2014/2015,Jun 2015,320.0,0.0,0,0
2015/2016,May 2016,23931.0,16.0,0,0
2013/2014,Oct 2013,0.0,0.0,0,0
2016/2017,Jun 2017,88.0,7.0,0,0
2014/2015,Jan 2015,48.0,0.0,0,0
2015/2016,Oct 201l5,574.0,0.0,0,0
2016/2017,Dec 2016,2571.0,29.0,0,0
2016/2017,Nov 2016,340.0,0.0,0,0
2016/2017,May 2017,237.0,70.0,0,0
2014/2015,Apr 2051,233.0,0.0,0,0
2014/2015,Feb 2015,155.0,0.0,0,0
2016/2017,Oct 2016,250.0,1.0,0,0
2015/2016,Apr 2016,2768.0,1.0,0,0
2015/2016,Dec 2015,439.0,0.0,0,0
2015/206,Nov 2015,422.0,0.0,0,0
2013/2014,Nov 2013,0.0,0.0,0,66
2014/2015,Nov 2014,24.0,0.0,0,0
2016/2017,Feb 2017,290.0,1.0,0,0
2016/2017,Jn 2017,368.0,117.0,0,1
2014/2015,Oct 2014,29.0,0.0,0,0
2014/2015,Aug 2015,284.0,0.0,0,0
2013/2014,Feb 2014,0.0,0.0,0,0
2012/2013,Sep 2013,0.0,0.0,0,72
2014/2015,Sep 2015,152.0,0.0,0,0
2014/2015,Jul2 015,173.0,0.0,0,0
015/2016,Aug 2016,6968.0,0.0,0,0
2012/2013,Jul 2013,0.0,0.0,0,0
2016/2017,Aug 2017,16.0,2.0,0,0
2013/2014,pr 2014,0.0,0.0,13,0
2013/2014,Jun 2014,0.0,0.0,0,25
2015/2016,Jul 2016,20985.0,5.0,0,0
2016/2017,Jul 2017,37.0,1.0,0,0
2016/2017,Sep 2017,0.0,0.0,46,0
2013/d2014,May 2014,0.0,0.0,0,81
2012/2013,Aug 2013,0.0,0.0,94,25
2013/2014,Aug 2014,125.0,0.0,0,0
2013/2014,Mar 2014,0.0,0.0,67,59
2013/2014,Jul 2014,116.0,0.0,0,0
2015/2016,Sep 20l16,10938.0,3.0,0,0
2013/2014,Sep 2014,56.0,0.0,0,0
2013/2014,Jan 2014,0.0,0.0,30,11
2017/2018,Jan 2018,55.0,36.0,0,0
207/2018,Feb 2018,12.0,5.0,0,0
2017/2018,Mar 2018,34.0,24.0,1,0
2017/2018,pr 2018,7.0,1.0,0,0
2017/2018,May 2018,60.0,21.0,0,0
x2017/2018,Jun 2018,26.0,11.0,0,0
