200.sex,Mlae,Male
293.raceethnicity,"American Indian/Alaska Ntaive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
214.raceethnicity,"Two or more races, nton-Hispanic","Two or more races, non-Hispanic"
227.sex,Femalde,Female
50.sexraceethnicity,Total - Male,"Total - White, non-Hispanic"
252.raceethnicity,Hispnaic,Hispanic
169.sexraceethnicity,Total - Female,"Total - Male, Hispanic"
229.sex,Femwale,Female
228.sex,Feale,Female
259.sex,Feale,Female
231.raceethnicity,"White, nojn-Hispanic","White, non-Hispanic"
98.sexraceethnicity,Total ,"Total - Pacific Islander, non-Hispanic"
160.sexraceethnicity,Total ,"Total - Male, Hispanic"
51.noteonpercentage,Data not availablpe.,Data not available.
111.raceethnicity,"American Indian/Alaska Native, on-Hispanic","American Indian/Alaska Native, non-Hispanic"
202.sex,Magle,Male
298.raceethnicity,"American Indian/Alaska Native, non-Hisanic","American Indian/Alaska Native, non-Hispanic"
253.raceethnicity,Hispanc,Hispanic
69.sexraceethnicity,Total - Male,Total - Hispanic
286.raceethnicity,"Pacific Islander, non-Hispanci","Pacific Islander, non-Hispanic"
219.sex,Mlae,Male
192.raceethnicity,"Pacific Islander,non-Hispanic","Pacific Islander, non-Hispanic"
144.sexraceethnicity,Total ,"Total - Male, Black, non-Hispanic "
257.sex,Femalbe,Female
116.sexraceethnicity,"Total - White, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
125.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
128.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
239.sex,eFmale,Female
190.sex,tMale,Male
108.sex,Femagle,Female
52.raceethnicity,"White, nno-Hispanic","White, non-Hispanic"
281.raceethnicity,"Pacific Islander, non-Hipanic","Pacific Islander, non-Hispanic"
203.sex,Mle,Male
73.sexraceethnicity,Total - Male,Total - Hispanic
99.sexraceethnicity,Total - Male,"Total - Pacific Islander, non-Hispanic"
265.raceethnicity,"Asian, non-Hiscpanic","Asian, non-Hispanic"
54.sexraceethnicity,Total ,"Total - Black, non-Hispanic "
68.sexraceethnicity,Total - Male,Total - Hispanic
213.raceethnicity,"Two owr more races, non-Hispanic","Two or more races, non-Hispanic"
176.raceethnicity,"Asaian, non-Hispanic","Asian, non-Hispanic"
182.raceethnicity,"Asian, non-Hisanic","Asian, non-Hispanic"
103.sexraceethnicity,Total - Female,"Total - Pacific Islander, non-Hispanic"
298.sex,Femle,Female
8.sex,hFemale,Female
31.sex,Femalle,Female
256.sex,Femlae,Female
74.noteonpercentage,Data notavailable.,Data not available.
203.raceethnicity,"American Indian/Alafska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
147.sexraceethnicity,Total - Male,"Total - Male, Black, non-Hispanic "
179.raceethnicity,"Asian, non-Hispaniwc","Asian, non-Hispanic"
115.noteonpercentage,Datanot available.,Data not available.
245.sex,Femle,Female
309.sex,Feamle,Female
192.sex,Mavle,Male
119.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
52.noteonpercentage,Data not availalbe.,Data not available.
227.raceethnicity,"Whtie, non-Hispanic","White, non-Hispanic"
124.sexraceethnicity,Total - Male,"Total - Two or more races, non-Hispanic"
150.sexraceethnicity,Total - Male,"Total - Male, Black, non-Hispanic "
292.sex,eFmale,Female
249.noteonpercentage,Dat not available.,Data not available.
221.noteonpercentage,Dwata not available.,Data not available.
273.raceethnicity,"Asin, non-Hispanic","Asian, non-Hispanic"
247.raceethnicity,"Black, non-Hipanic ","Black, non-Hispanic "
138.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
84.noteonpercentage,ata not available.,Data not available.
265.sex,Feale,Female
140.sexraceethnicity,Total - Female,"Total - Male, White, non-Hispanic"
151.sexraceethnicity,Total - Female,"Total - Male, Black, non-Hispanic "
272.sex,Femyale,Female
254.sex,Femael,Female
157.sexraceethnicity,Total ,"Total - Male, Hispanic"
44.sexraceethnicity,Total ,"Total - White, non-Hispanic"
228.raceethnicity,"Whit, non-Hispanic","White, non-Hispanic"
207.raceethnicity,"American Indian/Alaska Native, nno-Hispanic","American Indian/Alaska Native, non-Hispanic"
259.raceethnicity,Hispansic,Hispanic
170.sexraceethnicity,Total ,"Total - Male, Asian, non-Hispanic"
166.sexraceethnicity,Total ,"Total - Male, Hispanic"
92.sexraceethnicity,Total ,"Total - Pacific Islander, non-Hispanic"
278.sex,Fmeale,Female
106.sex,Femae,Female
166.raceethnicity,Hilspanic,Hispanic
220.sex,ale,Male
129.sexraceethnicity,"Total - Male, Asian, non-Hispanic","Total - Two or more races, non-Hispanic"
122.sexraceethnicity,Total - Hispanic,"Total - Two or more races, non-Hispanic"
283.sex,Feamle,Female
156.sexraceethnicity,Total ,"Total - Male, Black, non-Hispanic "
194.sex,aMle,Male
207.sex,aMle,Male
238.sex,Femael,Female
110.sex,Fmeale,Female
270.raceethnicity,"Asian, nn-Hispanic","Asian, non-Hispanic"
115.sex,gFemale,Female
82.sexraceethnicity,Total ,"Total - Asian, non-Hispanic"
127.noteonpercentage,Data not availale.,Data not available.
45.sexraceethnicity,Total ,"Total - White, non-Hispanic"
311.sex,Femgale,Female
255.raceethnicity,ispanic,Hispanic
145.sexraceethnicity,Total - Female,"Total - Male, Black, non-Hispanic "
297.raceethnicity,"Ameribcan Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
4.sex,emale,Female
245.raceethnicity,"Blackl, non-Hispanic ","Black, non-Hispanic "
76.sexraceethnicity,Total - Female,Total - Hispanic
244.sex,eFmale,Female
272.raceethnicity,"Asian, cnon-Hispanic","Asian, non-Hispanic"
284.raceethnicity,"Pacific Islander, onn-Hispanic","Pacific Islander, non-Hispanic"
177.raceethnicity,"Asian, no-nHispanic","Asian, non-Hispanic"
178.raceethnicity,"Asian, non-Hispanci","Asian, non-Hispanic"
232.raceethnicity,"Whiite, non-Hispanic","White, non-Hispanic"
117.sexraceethnicity,"Total - Asian, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
310.raceethnicity,"Two or more races, nn-Hispanic","Two or more races, non-Hispanic"
182.sex,ale,Male
131.sexraceethnicity,Total - Male,"Total - Male, White, non-Hispanic"
51.sex,Fdemale,Female
143.sexraceethnicity,Total - Male,"Total - Male, White, non-Hispanic"
243.sex,Fmale,Female
185.raceethnicity,"Pacific Ilander, non-Hispanic","Pacific Islander, non-Hispanic"
161.sexraceethnicity,Total ,"Total - Male, Hispanic"
234.raceethnicity,"White, non-Hisanic","White, non-Hispanic"
246.raceethnicity,"Balck, non-Hispanic ","Black, non-Hispanic "
227.noteonpercentage,Deata not available.,Data not available.
120.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
180.sex,Mael,Male
123.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
281.sex,Feamle,Female
312.raceethnicity,"Two or more raecs, non-Hispanic","Two or more races, non-Hispanic"
24.sex,Mael,Male
264.sex,xFemale,Female
268.sex,Femvale,Female
311.raceethnicity,"Twoo r more races, non-Hispanic","Two or more races, non-Hispanic"
5.sex,Femzale,Female
127.sexraceethnicity,Total - Female,"Total - Two or more races, non-Hispanic"
257.raceethnicity,Hisanic,Hispanic
148.sexraceethnicity,Total ,"Total - Male, Black, non-Hispanic "
60.noteonpercentage,Data not availablel.,Data not available.
18.sex,bMale,Male
211.raceethnicity,Two or more races non-Hispanic,"Two or more races, non-Hispanic"
55.sexraceethnicity,Total - Male,"Total - Black, non-Hispanic "
188.raceethnicity,Pacific Islander non-Hispanic,"Pacific Islander, non-Hispanic"
63.sex,eFmale,Female
67.sexraceethnicity,Total - Male,Total - Hispanic
199.raceethnicity,"American Indian/Alaska Nativ,e non-Hispanic","American Indian/Alaska Native, non-Hispanic"
40.sexraceethnicity,Total ,"Total - White, non-Hispanic"
121.sexraceethnicity,Total - Male,"Total - Two or more races, non-Hispanic"
135.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
275.raceethnicity,"Pacific Islander, non-Hispjanic","Pacific Islander, non-Hispanic"
86.sexraceethnicity,Total - Female,"Total - Asian, non-Hispanic"
168.sexraceethnicity,Total ,"Total - Male, Hispanic"
37.raceethnicity,"American Indian/Alaska Native, non-Hispnic","American Indian/Alaska Native, non-Hispanic"
112.sexraceethnicity,Total - Hispanic,"Total - American Indian/Alaska Native, non-Hispanic"
22.sex,Mae,Male
109.raceethnicity,"Americna Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
268.raceethnicity,"Asian, nonH-ispanic","Asian, non-Hispanic"
47.sexraceethnicity,Total - Male,"Total - White, non-Hispanic"
97.sexraceethnicity,Total - Male,"Total - Pacific Islander, non-Hispanic"
108.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
308.raceethnicity,"Two or more raceas, non-Hispanic","Two or more races, non-Hispanic"
53.noteonpercentage,Data not availalbe.,Data not available.
242.sex,Fgemale,Female
252.sex,Femalge,Female
139.noteonpercentage,Data not vailable.,Data not available.
293.sex,Femae,Female
297.sex,Femle,Female
163.sexraceethnicity,Total ,"Total - Male, Hispanic"
217.sex,Mael,Male
299.raceethnicity,"American Indin/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
95.sexraceethnicity,Total ,"Total - Pacific Islander, non-Hispanic"
304.raceethnicity,"Two or more rcaes, non-Hispanic","Two or more races, non-Hispanic"
221.raceethnicity,"Two o more races, non-Hispanic","Two or more races, non-Hispanic"
296.sex,gFemale,Female
102.noteonpercentage,Data nota vailable.,Data not available.
7.sex,emale,Female
251.sex,Feemale,Female
266.raceethnicity,"Asian, nonh-Hispanic","Asian, non-Hispanic"
250.raceethnicity,Hispaninc,Hispanic
308.sex,Femaale,Female
185.sex,ale,Male
309.raceethnicity,"Two or more race, non-Hispanic","Two or more races, non-Hispanic"
32.sex,emale,Female
225.raceethnicity,"White, nno-Hispanic","White, non-Hispanic"
191.raceethnicity,"Pacific Islander, nn-Hispanic","Pacific Islander, non-Hispanic"
269.raceethnicity,"Asian, non-Hipsanic","Asian, non-Hispanic"
260.raceethnicity,Hipsanic,Hispanic
114.sex,Femalle,Female
158.sexraceethnicity,Total - Male,"Total - Male, Hispanic"
152.sexraceethnicity,Total ,"Total - Male, Black, non-Hispanic "
87.sexraceethnicity,Total ,"Total - Asian, non-Hispanic"
195.raceethnicity,"Pacific Islanedr, non-Hispanic","Pacific Islander, non-Hispanic"
114.raceethnicity,"American Indian/Alask aNative, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
172.noteonpercentage,Data notavailable.,Data not available.
136.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
57.sexraceethnicity,Total - Male,"Total - Black, non-Hispanic "
54.noteonpercentage,Data not availale.,Data not available.
203.noteonpercentage,Repotring standards not met.,Reporting standards not met.
225.sex,Femle,Female
254.raceethnicity,Histpanic,Hispanic
130.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
133.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
81.sexraceethnicity,Total ,"Total - Asian, non-Hispanic"
194.raceethnicity,"Pacific Isander, non-Hispanic","Pacific Islander, non-Hispanic"
139.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
84.sexraceethnicity,Total ,"Total - Asian, non-Hispanic"
155.sexraceethnicity,Total ,"Total - Male, Black, non-Hispanic "
231.sex,Fmale,Female
141.sexraceethnicity,Total - Male,"Total - Male, White, non-Hispanic"
116.sex,eFmale,Female
271.raceethnicity,"Asian, non-Hispnic","Asian, non-Hispanic"
159.sexraceethnicity,"Total - Pacific Islander, non-Hispanic","Total - Male, Hispanic"
277.sex,Femkale,Female
