1823.fipstwo,31011,f31011
3058.countytwo,Garfiled ,Garfield 
96.fips,2105.0,1133
971.countytwo,Rawlinsh ,Rawlins 
841.statecounty,IN_Jeffersn,IN_Jefferson
249.county,Anchorage Municipality,Yuba 
2672.fipstwo,f48112,f48121
829.statevalue,dIN,IN
2582.statevalue,NT,TN
1896.statevalue,E,NE
582.statecounty,I_ADallas,IA_Dallas
2622.county,Bastrlop ,Bastrop 
1164.fipstwo,f22809,f22089
2042.fipstwo,f36110,f36101
24.county,North Slope Borough,Southeast Fairbanks Census Area
2548.county,Hamblren ,Hamblen 
2875.countytwo,Garfiheld ,Garfield 
2473.statevalue,DS,SD
3181.fipstwo,f50449,f54049
898.fipstwo,f02007,f20007
328.fipstwo,f02230,f12005
631.statefips,44,19
1811.county,Stusman ,Stutsman 
393.statecounty,AL_Choctaw,GA_Appling
612.county,Kossutjh ,Kossuth 
3015.countytwo,Stauton city,Staunton city
418.statevalue,jGA,GA
1952.statecounty,NM_Guadlaupe,NM_Guadalupe
85.fipstwo,f01015,f01111
2525.countytwo,Carorll ,Carroll 
234.statecounty,AK_Anchorage Municipality,CA_Santa Clara
2534.countytwo,Cuumberland ,Cumberland 
2773.countytwo,McMulln ,McMullen 
212.fips,5017.0,6041
336.fipstwo,f02050,f12021
38.fips,2060.0,1017
1281.statevalue,I,MI
3018.statevalue,A,VA
308.county,Sedgwickz ,Sedgwick 
1510.statecounty,MO_te. Genevieve,MO_Ste. Genevieve
48.countytwo,eCoosa ,Coosa 
1790.fipstwo,f83051,f38051
884.statevalue,N,IN
459.statefips,46,13
1439.fipstwo,f29603,f29063
477.statefips,113,13
1188.fipstwo,2f5009,f25009
232.fipstwo,f02122,f06081
192.fips,2050.0,6001
322.county,Dillingham Census Area,District of Columbia
3167.countytwo,Fayete ,Fayette 
2486.fipstwo,f46c073,f46073
2728.countytwo,Hutnchinson ,Hutchinson 
465.statevalue,wGA,GA
2779.countytwo,Mitcell ,Mitchell 
1147.fipstwo,f2209,f22059
2099.fipstwo,f39019,f39091
438.statevalue,GrA,GA
159.statefips,2.0,5
246.statefips,2.0,6
502.statefips,77,13
3037.countytwo,sEsex ,Essex 
67.statefips,2.0,1
1859.fipstwo,tf31083,f31083
1010.statevalue,Y,KY
3064.statevalue,AW,WA
2819.county,Scurr y,Scurry 
2903.statevalue,yVA,VA
47.fips,2013.0,1035
2552.countytwo,aHrdin ,Hardin 
2250.fipstwo,f41603,f41063
104.county,Aleutians West Census Area,Carroll 
1264.statevalue,uMI,MI
1921.statecounty,NJ_Atlanitc,NJ_Atlantic
2696.countytwo,Gara ,Garza 
3218.countytwo,Crok ,Crook 
523.statefips,41,13
2072.fipstwo,fq39037,f39037
1778.statevalue,NiD,ND
2263.county,Bucs ,Bucks 
90.statecounty,AK_Lake and Peninsula Borough,AL_Talladega
362.fipstwo,f02164,f12075
1297.statevalue,I,MI
239.statecounty,AK_Aleutians East Borough,CA_Solano
2444.statecounty,SC_Richlnad,SC_Richland
378.statevalue,yFL,FL
1479.fipstwo,f2143,f29143
1326.fipstwo,f20711,f27011
140.fips,2090.0,5087
3213.countytwo,lbany ,Albany 
106.county,Kenai Peninsula Borough,Clark 
2622.fipstwo,f8021,f48021
530.statefips,110,13
3170.countytwo,Gerenbrier ,Greenbrier 
464.statefips,90,13
1323.countytwo,jBecker ,Becker 
205.fips,2050.0,6027
485.statefips,70,13
691.statevalue,DI,ID
151.statecounty,AK_Anchorage Municipality,AR_Pike
610.statefips,98,19
1588.county,Scottk ,Scott 
2159.fipstwo,f40053,f40035
153.fips,2198.0,5113
138.fips,2050.0,5083
494.statevalue,A,GA
1440.county,Detn ,Dent 
618.county,Madson ,Madison 
2174.statevalue,KO,OK
2968.county,iLouisa ,Louisa 
2507.statevalue,mSD,SD
748.fipstwo,f17p095,f17095
1346.statevalue,NM,MN
3065.fipstwo,ef53037,f53037
2436.fipstwo,f4063,f45063
3088.statecounty,WI_Barrno,WI_Barron
1575.fipstwo,f2097,f28097
1723.fipstwo,f37111***,f37111
2011.countytwo,Green e,Greene 
2851.county,Wewbb ,Webb 
2905.county,Bavth ,Bath 
555.county,Kaawao ,Kalawao 
427.countytwo,oClquitt ,Colquitt 
659.county,Banock ,Bannock 
397.statecounty,AK_Valdez-Cordova Census Area,GA_Baldwin
3201.county,Roan e,Roane 
3129.fipstwo,f5085,f55085
518.statefips,16,13
2670.statecounty,TX_jDeaf Smith,TX_Deaf Smith
102.fips,2110.0,5011
2654.county,Colin ,Collin 
1268.fipstwo,26061,f26061
1108.statecounty,KY_Tajylor,KY_Taylor
652.statefips,69,19
211.statevalue,CwA,CA
164.statecounty,AK_Sitka City and Borough,AR_St. Francis
399.fips,2020.0,13013
107.statecounty,AK_Bethel Census Area,AR_Clay
60.fipstwo,f01119,f01061
1430.statecounty,MOClark,MO_Clark
