fullstreetname,streetname,streettype,postdirection
01ST ST,01ST,ST,NORTH
02ND AVE,02ND,AVE,NORTH
02ND ST,02ND,ST,NORTH
02ND TI ST,02ND TI,ST,NORTH
03RD AVE,03RD,AVE,NORTH
03RD ST,03RD,ST,NORTH
03RD TI ST,03RD TI,ST,NORTH
04TH AVE,04TH,AVE,NORTH
04TH ST,04TH,ST,NORTH
04TH TI ST,04TH TI,ST,NORTH
05TH AVE,05TH,AVE,NORTH
05TH ST,05TH,ST,NORTH
05TH TI ST,05TH TI,ST,NORTH
06TH AVE,06TH,AVE,NORTH
06TH ST,06TH,ST,NORTH
06TH HP AVE,06TH HP,AVE,NORTH
06TH TI ST,06TH TI,ST,NORTH
07TH AVE,07TH,AVE,NORTH
07TH ST,07TH,ST,NORTH
08TH AVE,08TH,AVE,NORTH
08TH ST,08TH,ST,NORTH
08TH TI ST,08TH TI,ST,NORTH
09TH AVE,09TH,AVE,NORTH
09TH ST,09TH,ST,NORTH
09TH TI ST,09TH TI,ST,NORTH
10TH AVE,10TH,AVE,NORTH
10TH ST,10TH,ST,NORTH
10TH TI ST,10TH TI,ST,NORTH
11TH AVE,11TH,AVE,NORTH
11TH ST,11TH,ST,NORTH
11TH TI ST,11TH TI,ST,NORTH
12TH AVE,12TH,AVE,NORTH
12TH ST,12TH,ST,NORTH
12TH TI ST,12TH TI,ST,NORTH
13TH ST,13TH,ST,NORTH
13TH TI ST,13TH TI,ST,NORTH
14TH AVE,14TH,AVE,NORTH
14TH ST,14TH,ST,NORTH
14TH TI ST,14TH TI,ST,NORTH
15TH AVE,15TH,AVE,NORTH
15TH ST,15TH,ST,NORTH
16TH AVE,16TH,AVE,NORTH
16TH ST,16TH,ST,NORTH
17TH AVE,17TH,AVE,NORTH
17TH ST,17TH,ST,NORTH
18TH AVE,18TH,AVE,NORTH
18TH ST,18TH,ST,NORTH
19TH AVE,19TH,AVE,NORTH
19TH ST,19TH,ST,NORTH
20TH AVE,20TH,AVE,NORTH
20TH ST,20TH,ST,NORTH
21ST AVE,21ST,AVE,NORTH
21ST ST,21ST,ST,NORTH
22ND AVE,22ND,AVE,NORTH
22ND ST,22ND,ST,NORTH
23RD AVE,23RD,AVE,NORTH
23RD ST,23RD,ST,NORTH
24TH AVE,24TH,AVE,NORTH
24TH ST,24TH,ST,NORTH
25TH AVE,25TH,AVE,NORTH
SAM JORDANS WAY,SAM JORDANS,WAY,NORTH
25TH ST,25TH,ST,NORTH
26TH AVE,26TH,AVE,NORTH
26TH ST,26TH,ST,NORTH
27TH AVE,27TH,AVE,NORTH
27TH ST,27TH,ST,NORTH
28TH AVE,28TH,AVE,NORTH
28TH ST,28TH,ST,NORTH
29TH AVE,29TH,AVE,NORTH
29TH ST,29TH,ST,NORTH
30TH AVE,30TH,AVE,NORTH
30TH ST,30TH,ST,NORTH
31ST AVE,31ST,AVE,NORTH
31ST ST,31ST,ST,NORTH
32ND AVE,32ND,AVE,NORTH
33RD AVE,33RD,AVE,NORTH
34TH AVE,34TH,AVE,NORTH
35TH AVE,35TH,AVE,NORTH
36TH AVE,36TH,AVE,NORTH
37TH AVE,37TH,AVE,NORTH
38TH AVE,38TH,AVE,NORTH
39TH AVE,39TH,AVE,NORTH
40TH AVE,40TH,AVE,NORTH
41ST AVE,41ST,AVE,NORTH
42ND AVE,42ND,AVE,NORTH
43RD AVE,43RD,AVE,NORTH
44TH AVE,44TH,AVE,NORTH
45TH AVE,45TH,AVE,NORTH
46TH AVE,46TH,AVE,NORTH
47TH AVE,47TH,AVE,NORTH
48TH AVE,48TH,AVE,NORTH
A ST,A,ST,NORTH
ABBEY ST,ABBEY,ST,NORTH
TONI STONE XING,TONI STONE,XING,NORTH
ACACIA ST,ACACIA,ST,NORTH
ACADIA ST,ACADIA,ST,NORTH
