512.fullstreetname,02ND TI ST,CHILTON AVE
180.fullstreetname,03RD ST,ARGENT ALY
241.postdirection,ONRTH,NORTH
479.streettype,TS,ST
1995.streetname,RIO cVERDE,RIO VERDE
1744.fullstreetname,NORWICHST,NORWICH ST
453.fullstreetname,03RD TI ST,CARNELIAN WAY
318.fullstreetname,ARDATH CT,BEVERLY ST
1664.fullstreetname,MORELL ST,MORRELL ST
1919.postdirection,ORTH,NORTH
1313.streettype,WYA,WAY
144.fullstreetname,07TH AVE,AMBER DR
210.fullstreetname,21ST AVE,AVENUE B
236.fullstreetname,04TH ST,BALHI CT
1482.streetname,MAARTHUR,MACARTHUR
689.fullstreetname,06TH AVE,DEL MONTE ST
356.fullstreetname,12TH AVE,BOYD ST
458.fullstreetname,02ND ST,CARRIZAL ST
697.fullstreetname,02ND AVE,DELMAR ST
529.fullstreetname,08TH ST,CLARENDON AVE
526.fullstreetname,07TH AVE,CLARA ST
613.fullstreetname,03RD ST,COTTER ST
2548.postdirection,kNORTH,NORTH
327.fullstreetname,02ND AVE,BLACK PL
656.fullstreetname,03RD AVE,CYRIL MAGNIN ST
635.fullstreetname,03RD TI ST,CRISP RD
965.streetname,ATEVIEW,GATEVIEW
350.fullstreetname,06TH AVE,BOUTWELL ST
159.fullstreetname,04TH ST,ANTHONY ST
440.fullstreetname,02ND TI ST,CANDLESTICK COVE WAY
1782.streetname,REILLY,OREILLY
808.streetname,EMzMA,EMMA
710.postdirection,oNORTH,NORTH
1150.streetname,HOLYzOKE,HOLYOKE
170.postdirection,ORTH,NORTH
1345.fullstreetname,LA BIC AWAY,LA BICA WAY
314.fullstreetname,03RD AVE,BERTITA ST
371.streettype,T,ST
2635.fullstreetname,YROK ST,YORK ST
2576.streettype,RD,DR
2247.streetname,STnILWELL,STILWELL
416.fullstreetname,02ND TI ST,C ST
325.fullstreetname,07TH AVE,BISHOP ST
125.streettype,TS,ST
642.fullstreetname,07TH AVE,CROWN TER
1493.fullstreetname,MAIDENL N,MAIDEN LN
2529.postdirection,ORTH,NORTH
1900.fullstreetname,PORTOAL ST,PORTOLA ST
2089.streetname,SAN JACITO,SAN JACINTO
667.fullstreetname,07TH AVE,DARTMOUTH ST
2387.fullstreetname,UNNAMDE 024,UNNAMED 024
2614.streettype,AVwE,AVE
979.streetname,ENEVA,GENEVA
459.fullstreetname,03RD ST,CARROLL AVE
331.fullstreetname,06TH TI ST,BLAKE ST
904.fullstreetname,FORT MASON1 0,FORT MASON 10
676.fullstreetname,02ND ST,DE BOOM ST
102.streettype,T,ST
128.fullstreetname,07TH ST,ALMA ST
490.fullstreetname,06TH ST,CESAR CHAVEZ ON RAMP
77.fullstreetname,08TH TI ST,34TH AVE
503.fullstreetname,02ND AVE,CHATTANOOGA ST
2594.streettype,AEV,AVE
254.streettype,cRD,RD
1442.postdirection,NORHT,NORTH
812.fullstreetname,ENCLsINE CT,ENCLINE CT
285.fullstreetname,03RD TI ST,BEIDEMAN ST
526.postdirection,ORTH,NORTH
396.fullstreetname,07TH ST,BUCARELI DR
254.fullstreetname,06TH AVE,BATTERY BLANEY RD
506.fullstreetname,07TH AVE,CHERRY ST
50.postdirection,ORTH,NORTH
545.fullstreetname,02ND TI ST,CLINTON PARK
1025.fullstreetname,GORHAM TS,GORHAM ST
2071.postdirection,NpORTH,NORTH
48.fullstreetname,02ND AVE,19TH AVE
220.fullstreetname,07TH ST,AVERY ST
969.postdirection,zNORTH,NORTH
2603.fullstreetname,INFIELD ST,WINFIELD ST
435.fullstreetname,02ND TI ST,CAMPTON PL
179.streetname,ARELLNAO,ARELLANO
1317.streettype,T,ST
1797.fullstreetname,OTTER COVE ETR,OTTER COVE TER
2639.streettype,TS,ST
1941.streettype,AVaE,AVE
556.fullstreetname,06TH AVE,COLE ST
1932.postdirection,NOdRTH,NORTH
2110.streettype,cAVE,AVE
2687.streettype,VE,AVE
2673.fullstreetname,WARRIOS WAY,WARRIORS WAY
1778.streetname,OBREN,ORBEN
516.fullstreetname,04TH ST,CHRISTOPHER DR
729.streettype,nAVE,AVE
935.postdirection,ONRTH,NORTH
415.fullstreetname,02ND AVE,BYXBEE ST
2511.streetname,VINqE,VINE
1411.fullstreetname,LEXINGTON TS,LEXINGTON ST
2092.postdirection,NORHT,NORTH
1805.fullstreetname,PAGE TS,PAGE ST
506.streettype,T,ST
939.fullstreetname,FIREDELL ST,FRIEDELL ST
1621.streettype,AE,AVE
1462.fullstreetname,ULU ALY,LULU ALY
430.fullstreetname,03RD AVE,CAMEO WAY
507.streetname,CjHESLEY,CHESLEY
478.fullstreetname,CENTURY PL,CAYUGA AVE
101.fullstreetname,02ND AVE,ADA CT
894.streettype,TdER,TER
753.postdirection,NROTH,NORTH
1032.postdirection,NORgTH,NORTH
2277.postdirection,NROTH,NORTH
475.fullstreetname,03RD AVE,CASTRO ST
2239.streettype,D,RD
270.postdirection,NOTH,NORTH
1500.streettype,LP,PL
374.fullstreetname,CENTURY PL,BROAD ST
696.fullstreetname,06TH ST,DELLBROOK AVE
2189.streetname,SIMONS,SIMONDS
391.fullstreetname,21ST AVE,BRUNSWICK ST
1429.streettype,oTER,TER
539.fullstreetname,AMES ST,CLEARY CT
301.fullstreetname,01ST ST,BEPLER ST
383.postdirection,NORTbH,NORTH
2111.postdirection,NRTH,NORTH
934.streetname,FREEMNA,FREEMAN
262.fullstreetname,AMHERST ST,BATTERY WAGNER RD
204.postdirection,kNORTH,NORTH
1458.streettype,hST,ST
1543.fullstreetname,MASONIC AE,MASONIC AVE
2372.streettype,LY,ALY
1096.streetname,HAVENSIED,HAVENSIDE
994.streettype,VE,AVE
402.streettype,SbT,ST
224.fullstreetname,01ST ST,AVON WAY
2426.streettype,bST,ST
77.postdirection,NORHT,NORTH
604.fullstreetname,COLONIAL WAY,CORONADO ST
2477.fullstreetname,VALcMAR TER,VALMAR TER
1874.streetname,PIrNTO,PINTO
2070.postdirection,uNORTH,NORTH
850.streettype,T,ST
2009.fullstreetname,ROBINON DR,ROBINSON DR
2489.streetname,VvASSAR,VASSAR
682.fullstreetname,07TH AVE,DE WOLF ST
467.fullstreetname,03RD AVE,CASHMERE ST
120.fullstreetname,06TH ST,ALEMANY BLVD
1886.postdirection,rNORTH,NORTH
1317.postdirection,NhORTH,NORTH
1320.postdirection,NbORTH,NORTH
1130.fullstreetname,HILLCRES CT,HILLCREST CT
455.fullstreetname,06TH AVE,CARPENTER CT
2531.streettype,T,ST
332.postdirection,ORTH,NORTH
271.fullstreetname,03RD ST,BAYVIEW CIR
295.fullstreetname,01ST ST,BELMONT AVE
288.fullstreetname,01ST ST,BELGRAVE AVE
167.fullstreetname,02ND ST,APPLETON ST
2645.postdirection,iNORTH,NORTH
2190.postdirection,kNORTH,NORTH
317.fullstreetname,07TH AVE,BEULAH ST
490.streettype,eRAMP,RAMP
283.postdirection,NOTH,NORTH
335.fullstreetname,02ND ST,BLATCHFORD LN
282.fullstreetname,02ND AVE,BEDFORD PL
2632.fullstreetname,YERBA BUEiNA LN,YERBA BUENA LN
150.postdirection,NOjRTH,NORTH
912.streetname,FOR TMASON 20,FORT MASON 20
292.fullstreetname,AMES ST,BELLE AVE
1968.postdirection,NORHT,NORTH
1603.streettype,dST,ST
744.fullstreetname,06TH AVE,DRUMM ST
149.fullstreetname,07TH AVE,AMITY ALY
1013.fullstreetname,GOETITNGEN ST,GOETTINGEN ST
970.postdirection,NqORTH,NORTH
193.fullstreetname,03RD TI ST,ASHBURTON PL
1348.postdirection,NORTeH,NORTH
632.fullstreetname,02ND AVE,CRESTLINE DR
2619.streetname,WjORCESTER,WORCESTER
636.fullstreetname,02ND TI ST,CRISSY FIELD AVE
288.streettype,qAVE,AVE
600.fullstreetname,SAM JORDANS WAY,CORDOVA ST
223.streettype,vLN,LN
2133.fullstreetname,SCOTT LY,SCOTT ALY
85.streettype,qAVE,AVE
1620.fullstreetname,MIRAOLMA DR,MIRALOMA DR
754.streettype,T,ST
1400.postdirection,NOTRH,NORTH
174.postdirection,NROTH,NORTH
987.postdirection,NORH,NORTH
2413.streettype,TS,ST
651.fullstreetname,04TH ST,CUSTER AVE
72.fullstreetname,06TH HP AVE,30TH ST
602.fullstreetname,07TH AVE,CORONA ST
743.fullstreetname,DRAK ST,DRAKE ST
183.postdirection,NOTH,NORTH
553.fullstreetname,07TH ST,COCHRANE ST
649.fullstreetname,02ND AVE,CURTIS ST
1075.fullstreetname,HeARE ST,HARE ST
2208.postdirection,ORTH,NORTH
1167.postdirection,NdORTH,NORTH
718.postdirection,NORHT,NORTH
338.fullstreetname,02ND ST,BLUXOME ST
544.fullstreetname,06TH HP AVE,CLIFFORD TER
501.fullstreetname,01ST ST,CHASE CT
49.postdirection,NOTRH,NORTH
1862.postdirection,NOgRTH,NORTH
687.fullstreetname,05TH ST,DEEMS RD
2459.postdirection,NROTH,NORTH
2433.postdirection,NOTH,NORTH
1146.streettype,AE,AVE
740.fullstreetname,03RD ST,DOW PL
995.postdirection,ONRTH,NORTH
337.fullstreetname,06TH ST,BLISS RD
809.fullstreetname,gEMMETT CT,EMMETT CT
454.fullstreetname,06TH TI ST,CAROLINA ST
1090.streettype,T,ST
735.fullstreetname,05TH TI ST,DORMAN AVE
1697.streettype,T,ST
2565.postdirection,NORfTH,NORTH
2401.postdirection,NORcTH,NORTH
1908.postdirection,NRTH,NORTH
102.postdirection,NRTH,NORTH
1146.postdirection,NRTH,NORTH
2605.streetname,WINSTcON,WINSTON
87.fullstreetname,02ND TI ST,44TH AVE
402.fullstreetname,02ND TI ST,BURGOYNE ST
437.fullstreetname,02ND ST,CAMPUS WAY
156.fullstreetname,07TH AVE,ANNAPOLIS TER
1092.streetname,ASTINGS,HASTINGS
228.fullstreetname,12TH AVE,BADEN ST
340.fullstreetname,07TH ST,BOALT ST
564.fullstreetname,03RD TI ST,COLLINGWOOD ST
1358.streetname,LKE MERCED HILL,LAKE MERCED HILL
28.fullstreetname,06TH HP AVE,10TH TI ST
119.fullstreetname,08TH ST,ALDER ST
701.fullstreetname,06TH HP AVE,DERBY ST
892.streettype,ShT,ST
266.fullstreetname,02ND ST,BAY SHORE BLVD OFF RAMP
1105.fullstreetname,EALY AVE,HEALY AVE
924.streettype,TS,ST
239.fullstreetname,05TH TI ST,BANBURY DR
1789.postdirection,NROTH,NORTH
2491.fullstreetname,VELASCO AEV,VELASCO AVE
1616.streettype,T,ST
1457.streetname,LYOLA,LOYOLA
298.fullstreetname,02ND ST,BENGAL ALY
1218.streetname,INAC,INCA
1832.postdirection,NORTuH,NORTH
2098.streetname,SANMIGUEL,SAN MIGUEL
2216.postdirection,NORH,NORTH
531.fullstreetname,06TH TI ST,CLARKE LN
2481.postdirection,NOTH,NORTH
912.fullstreetname,FORT MASON 02,FORT MASON 20
1784.streetname,ORIABA,ORIZABA
1148.postdirection,NpORTH,NORTH
1994.streetname,ROI,RIO
1045.fullstreetname,GRENWOOD AVE,GREENWOOD AVE
1113.streetname,HENRY ADAS,HENRY ADAMS
2328.postdirection,NvORTH,NORTH
524.fullstreetname,04TH ST,CITYVIEW WAY
2262.streettype,TS,ST
2092.fullstreetname,SAN JrOSE AV ON RAMP,SAN JOSE AV ON RAMP
427.fullstreetname,05TH ST,CAMBON DR
134.fullstreetname,05TH TI ST,ALTA MAR WAY
771.postdirection,NuORTH,NORTH
477.fullstreetname,BONIFACIO ST,CATHERINE CT
980.fullstreetname,GENNESSE EST,GENNESSEE ST
1400.fullstreetname,LENDRU MCT,LENDRUM CT
580.fullstreetname,08TH ST,CONGO ST
2312.streetname,HTERESA,THERESA
1201.fullstreetname,I-820 SOUTHBOUND,I-280 SOUTHBOUND
1866.postdirection,NORHT,NORTH
606.fullstreetname,05TH TI ST,CORTLAND AVE
1775.streettype,AuLY,ALY
618.fullstreetname,02ND TI ST,COWLES ST
2607.streetname,WINTHROoP,WINTHROP
279.fullstreetname,02ND TI ST,BEAUMONT AVE
891.fullstreetname,FOERSTER TS,FOERSTER ST
2150.streetname,SRVICE,SERVICE
361.fullstreetname,05TH ST,BRANNAN ST
1731.fullstreetname,NORMANDIE TRE,NORMANDIE TER
103.streettype,T,ST
2103.streetname,SANHCEZ,SANCHEZ
1686.streetname,MYRaA,MYRA
706.fullstreetname,03RD TI ST,DEWITT RD
641.fullstreetname,ANDERSON ST,CROWN CT
2085.streetname,SANDIEGO,SAN DIEGO
893.postdirection,NORTgH,NORTH
1987.fullstreetname,RICO AY,RICO WAY
1075.streettype,SwT,ST
