1125.address,z2655 Iberville St,2655 Iberville St
1716.locationvalue,"(29.9298825295208, -90.0755864593125)","(29.9899942842273, -90.0597221831155)"
1384.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9637068256816, -90.0364250990244)"
893.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9493122561847, -90.0518109049116)"
2314.namevalue,644 Vermillion Blvd,5644 Vermillion Blvd
225.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9385695056354, -90.1272062719899)"
240.locationvalue,"(29.9647071287253, -90.0837190697134)","(29.9476617333656, -90.0733686742093)"
914.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9666740535176, -90.0662870213134)"
987.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9535820444642, -90.1197398987066)"
1117.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9456691337585, -90.0715143008607)"
1849.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9312107808917, -90.0859413358407)"
1018.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9183588582702, -90.0945476455778)"
1422.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9508223709029, -90.0721823664217)"
367.namevalue,1040 Ancnunciation St,1040 Annunciation St
534.namevalue,4017 uIberville St,4017 Iberville St
1025.locationvalue,"(29.9327405195896, -90.0727472007548)","(30.049620639912, -89.9830712859124)"
1017.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9636867493439, -90.0362268613571)"
1826.address,1805 Stw Roch Ave,1805 St Roch Ave
1388.type,Short erm Rental Commercial Owner,Short Term Rental Commercial Owner
1556.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9280162615835, -90.0934302440832)"
1671.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9169268110321, -90.1064823421574)"
285.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9433648441732, -90.1023446016246)"
322.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9320454496435, -90.0740529902451)"
648.type,Short Term Rental Commercial Ownre,Short Term Rental Commercial Owner
406.address,833 Baronne St Appt 2A,833 Baronne St Apt 2A
1635.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9726193237222, -90.0793433656701)"
2399.locationvalue,"(29.9660006349088, -90.0661b555952913)","(29.9660006349088, -90.0661555952913)"
