namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
516 S Dorgenois St,516 S Dorgenois St,Short Term Rental Commercial Owner,2.0,5.0,11/11/2022 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3674768.24,533303.74
1210 S Rampart St Unit 1B,1210 S Rampart St Unit 1B,Short Term Rental Residential Owner,2.0,4.0,06/27/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3678257.56,527166.18
624 S Miro St,624 S Miro St,Short Term Rental Commercial Owner,5.0,10.0,11/11/2022 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3675449.42,532370.1
1030 Kerlerec St Apt 3,1030 Kerlerec St Apt 3,Short Term Retal Commercial Owner,2.0,4.0,11/10/2022 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3683157.39,535476.29
518 S Dorgenois St,518 S Dorgenois St,Short Term Rental Commercial Owner,2.0,4.0,11/11/2022 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3674764.99,533295.91
23096 Chef Menteur Hwy,23096 Chef Menteur Hwy,Short Term Rental Commercial Owner,3.0,6.0,11/03/2022 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3776123.87,583289.34
102 1Louisa St,1021 Louisa St,Short Term Rental Residential Owner,2.0,4.0,08/29/2023 02:24:34 AM,"(29.9605816137577, -90.0892762017721)",-1.0,-1.0
1026 Josephine St,1026 Josephine St,Short Term Rental Commercial Owner,2.0,4.0,11/03/2022 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3679227.69,522175.19
855 Baronne St Unit 6B,855 Baronne St Unit 6B,Short Term Rental Commercial Owner,2.0,4.0,11/01/2022 11:59:59 wPM,"(29.9452594846043, -90.0747577308854)",3679423.29,527774.42
4705 Freret St,4705 Freret St,Short Term Rental Commercial Owner,2.0,4.0,11/23/2022 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3669358.07,523959.82
