zipcode,city,county
20601.0,Waldorf,Charles County
20602.0,Waldorf,Charles County
20603.0,Waldorf,Charles County
20604.0,Waldorf,Charles County
20606.0,Abell,Saint Mary's County
20607.0,Accokeek,Prince George's County
20608.0,Aquasco,Prince George's County
20609.0,Avenue,Saint Mary's County
20610.0,Barstow,Calvert County
20611.0,Bel Alton,Charles County
20612.0,Benedict,Charles County
20613.0,Brandywine,Prince George's County
20615.0,Broomes Island,Calvert County
20616.0,Bryans Road,Charles County
20617.0,Bryantown,Charles County
20618.0,Bushwood,Saint Mary's County
20619.0,California,Saint Mary's County
20620.0,Callaway,Saint Mary's County
20621.0,Chaptico,Saint Mary's County
20622.0,Charlotte Hall,Saint Mary's County
20623.0,Cheltenham,Prince George's County
20624.0,Clements,Saint Mary's County
20625.0,Cobb Island,Charles County
20626.0,Coltons Point,Saint Mary's County
20627.0,Compton,Saint Mary's County
20628.0,Dameron,Saint Mary's County
20629.0,Dowell,Calvert County
20630.0,Drayden,Saint Mary's County
20632.0,Faulkner,Charles County
20634.0,Great Mills,Saint Mary's County
20635.0,Helen,Saint Mary's County
20636.0,Hollywood,Saint Mary's County
20637.0,Hughesville,Charles County
20639.0,Huntingtown,Calvert County
20640.0,Indian Head,Charles County
20643.0,Ironsides,Charles County
20645.0,Issue,Charles County
20646.0,La Plata,Charles County
20650.0,Leonardtown,Saint Mary's County
20653.0,Lexington Park,Saint Mary's County
20656.0,Loveville,Saint Mary's County
20657.0,Lusby,Calvert County
20658.0,Marbury,Charles County
20659.0,Mechanicsville,Saint Mary's County
20660.0,Morganza,Saint Mary's County
20661.0,Mount Victoria,Charles County
20662.0,Nanjemoy,Charles County
20664.0,Newburg,Charles County
20667.0,Park Hall,Saint Mary's County
20670.0,Patuxent River,Saint Mary's County
20674.0,Piney Point,Saint Mary's County
20675.0,Pomfret,Charles County
20676.0,Port Republic,Calvert County
20677.0,Port Tobacco,Charles County
20678.0,Prince Frederick,Calvert County
20680.0,Ridge,Saint Mary's County
20682.0,Rock Point,Charles County
20684.0,Saint Inigoes,Saint Mary's County
20685.0,Saint Leonard,Calvert County
20686.0,Saint Marys City,Saint Mary's County
20687.0,Scotland,Saint Mary's County
20688.0,Solomons,Calvert County
20689.0,Sunderland,Calvert County
20690.0,Tall Timbers,Saint Mary's County
20692.0,Valley Lee,Saint Mary's County
20693.0,Welcome,Charles County
20695.0,White Plains,Charles County
20697.0,Southern Md Facility,Prince George's County
20701.0,Annapolis Junction,Howard County
20703.0,Lanham,Prince George's County
20704.0,Beltsville,Prince George's County
20705.0,Beltsville,Prince George's County
20706.0,Lanham,Prince George's County
20707.0,Laurel,Prince George's County
20708.0,Laurel,Prince George's County
20709.0,Laurel,Prince George's County
20710.0,Bladensburg,Prince George's County
20711.0,Lothian,Anne Arundel County
20712.0,Mount Rainier,Prince George's County
20714.0,North Beach,Calvert County
20715.0,Bowie,Prince George's County
20716.0,Bowie,Prince George's County
20717.0,Bowie,Prince George's County
20718.0,Bowie,Prince George's County
20719.0,Bowie,Prince George's County
20720.0,Bowie,Prince George's County
20721.0,Bowie,Prince George's County
20722.0,Brentwood,Prince George's County
20723.0,Laurel,Howard County
20724.0,Laurel,Anne Arundel County
20725.0,Laurel,Prince George's County
20726.0,Laurel,Prince George's County
20731.0,Capitol Heights,Prince George's County
20732.0,Chesapeake Beach,Calvert County
20733.0,Churchton,Anne Arundel County
20735.0,Clinton,Prince George's County
20736.0,Owings,Calvert County
20737.0,Riverdale,Prince George's County
20738.0,Riverdale,Prince George's County
20740.0,College Park,Prince George's County
20741.0,College Park,Prince George's County
20742.0,College Park,Prince George's County
20743.0,Capitol Heights,Prince George's County
20744.0,Fort Washington,Prince George's County
20745.0,Oxon Hill,Prince George's County
20746.0,Suitland,Prince George's County
20747.0,District Heights,Prince George's County
20748.0,Temple Hills,Prince George's County
20749.0,Fort Washington,Prince George's County
20750.0,Oxon Hill,Prince George's County
20751.0,Deale,Anne Arundel County
20752.0,Suitland,Prince George's County
20753.0,District Heights,Prince George's County
20754.0,Dunkirk,Calvert County
20755.0,Fort George G Meade,Anne Arundel County
20757.0,Temple Hills,Prince George's County
20758.0,Friendship,Anne Arundel County
20759.0,Fulton,Howard County
20762.0,Andrews Air Force Base,Prince George's County
20763.0,Savage,Howard County
20764.0,Shady Side,Anne Arundel County
20765.0,Galesville,Anne Arundel County
20768.0,Greenbelt,Prince George's County
20769.0,Glenn Dale,Prince George's County
20770.0,Greenbelt,Prince George's County
20771.0,Greenbelt,Prince George's County
20772.0,Upper Marlboro,Prince George's County
20773.0,Upper Marlboro,Prince George's County
20774.0,Upper Marlboro,Prince George's County
20775.0,Upper Marlboro,Prince George's County
20776.0,Harwood,Anne Arundel County
20777.0,Highland,Howard County
20778.0,West River,Anne Arundel County
20779.0,Tracys Landing,Anne Arundel County
20781.0,Hyattsville,Prince George's County
20782.0,Hyattsville,Prince George's County
20783.0,Hyattsville,Prince George's County
20784.0,Hyattsville,Prince George's County
20785.0,Hyattsville,Prince George's County
20787.0,Hyattsville,Prince George's County
20788.0,Hyattsville,Prince George's County
20790.0,Capitol Heights,Prince George's County
20791.0,Capitol Heights,Prince George's County
20792.0,Upper Marlboro,Prince George's County
20794.0,Jessup,Howard County
20797.0,Southern Md Facility,Prince George's County
20799.0,Capitol Heights,Prince George's County
20810.0,Bethesda,Montgomery County
20811.0,Bethesda,Montgomery County
20812.0,Glen Echo,Montgomery County
20813.0,Bethesda,Montgomery County
20814.0,Bethesda,Montgomery County
20815.0,Chevy Chase,Montgomery County
20816.0,Bethesda,Montgomery County
20817.0,Bethesda,Montgomery County
20818.0,Cabin John,Montgomery County
20824.0,Bethesda,Montgomery County
20825.0,Chevy Chase,Montgomery County
20827.0,Bethesda,Montgomery County
20830.0,Olney,Montgomery County
20832.0,Olney,Montgomery County
20833.0,Brookeville,Montgomery County
20837.0,Poolesville,Montgomery County
20838.0,Barnesville,Montgomery County
20839.0,Beallsville,Montgomery County
20841.0,Boyds,Montgomery County
20842.0,Dickerson,Montgomery County
20847.0,Rockville,Montgomery County
20848.0,Rockville,Montgomery County
20849.0,Rockville,Montgomery County
20850.0,Rockville,Montgomery County
20851.0,Rockville,Montgomery County
20852.0,Rockville,Montgomery County
20853.0,Rockville,Montgomery County
20854.0,Potomac,Montgomery County
20855.0,Derwood,Montgomery County
20857.0,Rockville,Montgomery County
20859.0,Potomac,Montgomery County
20860.0,Sandy Spring,Montgomery County
20861.0,Ashton,Montgomery County
20862.0,Brinklow,Montgomery County
20866.0,Burtonsville,Montgomery County
20868.0,Spencerville,Montgomery County
20871.0,Clarksburg,Montgomery County
20872.0,Damascus,Montgomery County
20874.0,Germantown,Montgomery County
20875.0,Germantown,Montgomery County
20876.0,Germantown,Montgomery County
20877.0,Gaithersburg,Montgomery County
20878.0,Gaithersburg,Montgomery County
20879.0,Gaithersburg,Montgomery County
20880.0,Washington Grove,Montgomery County
20882.0,Gaithersburg,Montgomery County
20883.0,Gaithersburg,Montgomery County
20884.0,Gaithersburg,Montgomery County
20885.0,Gaithersburg,Montgomery County
20886.0,Montgomery Village,Montgomery County
20889.0,Bethesda,Montgomery County
20891.0,Kensington,Montgomery County
20892.0,Bethesda,Montgomery County
20894.0,Bethesda,Montgomery County
20895.0,Kensington,Montgomery County
20896.0,Garrett Park,Montgomery County
20897.0,Suburb Maryland Fac,Montgomery County
20898.0,Gaithersburg,Montgomery County
20899.0,Gaithersburg,Montgomery County
20901.0,Silver Spring,Montgomery County
20902.0,Silver Spring,Montgomery County
20903.0,Silver Spring,Montgomery County
20904.0,Silver Spring,Montgomery County
20905.0,Silver Spring,Montgomery County
20906.0,Silver Spring,Montgomery County
20907.0,Silver Spring,Montgomery County
20908.0,Silver Spring,Montgomery County
20910.0,Silver Spring,Montgomery County
20911.0,Silver Spring,Montgomery County
20912.0,Takoma Park,Montgomery County
20913.0,Takoma Park,Montgomery County
20914.0,Silver Spring,Montgomery County
20915.0,Silver Spring,Montgomery County
20916.0,Silver Spring,Montgomery County
20918.0,Silver Spring,Montgomery County
20993.0,Silver Spring,Montgomery County
20997.0,Silver Spring,Montgomery County
21001.0,Aberdeen,Harford County
21005.0,Aberdeen Proving Ground,Harford County
21009.0,Abingdon,Harford County
21010.0,Gunpowder,Harford County
21012.0,Arnold,Anne Arundel County
21013.0,Baldwin,Baltimore County
21014.0,Bel Air,Harford County
21015.0,Bel Air,Harford County
21017.0,Belcamp,Harford County
21018.0,Benson,Harford County
21020.0,Boring,Baltimore County
21022.0,Brooklandville,Baltimore County
21023.0,Butler,Baltimore County
21027.0,Chase,Baltimore County
21028.0,Churchville,Harford County
21029.0,Clarksville,Howard County
21030.0,Cockeysville,Baltimore County
21031.0,Hunt Valley,Baltimore County
21032.0,Crownsville,Anne Arundel County
21034.0,Darlington,Harford County
21035.0,Davidsonville,Anne Arundel County
21036.0,Dayton,Howard County
21037.0,Edgewater,Anne Arundel County
21040.0,Edgewood,Harford County
21041.0,Ellicott City,Howard County
21042.0,Ellicott City,Howard County
21043.0,Ellicott City,Howard County
21044.0,Columbia,Howard County
21045.0,Columbia,Howard County
21046.0,Columbia,Howard County
21047.0,Fallston,Harford County
21048.0,Finksburg,Carroll County
21050.0,Forest Hill,Harford County
21051.0,Fork,Baltimore County
21052.0,Fort Howard,Baltimore County
21053.0,Freeland,Baltimore County
21054.0,Gambrills,Anne Arundel County
21056.0,Gibson Island,Anne Arundel County
21057.0,Glen Arm,Baltimore County
21060.0,Glen Burnie,Anne Arundel County
21061.0,Glen Burnie,Anne Arundel County
21062.0,Glen Burnie,Anne Arundel County
21065.0,Hunt Valley,Baltimore County
21071.0,Glyndon,Baltimore County
21074.0,Hampstead,Carroll County
21075.0,Elkridge,Howard County
21076.0,Hanover,Anne Arundel County
21077.0,Harmans,Anne Arundel County
21078.0,Havre De Grace,Harford County
21082.0,Hydes,Baltimore County
21084.0,Jarrettsville,Harford County
21085.0,Joppa,Harford County
21087.0,Kingsville,Baltimore County
21088.0,Lineboro,Carroll County
21090.0,Linthicum Heights,Anne Arundel County
21092.0,Long Green,Baltimore County
21093.0,Lutherville Timonium,Baltimore County
21094.0,Lutherville Timonium,Baltimore County
21098.0,Hanover,Anne Arundel County
21102.0,Manchester,Carroll County
21104.0,Marriottsville,Carroll County
21105.0,Maryland Line,Baltimore County
21106.0,Mayo,Anne Arundel County
21108.0,Millersville,Anne Arundel County
21111.0,Monkton,Baltimore County
21113.0,Odenton,Anne Arundel County
21114.0,Crofton,Anne Arundel County
21117.0,Owings Mills,Baltimore County
21120.0,Parkton,Baltimore County
21122.0,Pasadena,Anne Arundel County
21123.0,Pasadena,Anne Arundel County
21128.0,Perry Hall,Baltimore County
21130.0,Perryman,Harford County
21131.0,Phoenix,Baltimore County
21132.0,Pylesville,Harford County
21133.0,Randallstown,Baltimore County
21136.0,Reisterstown,Baltimore County
21139.0,Riderwood,Baltimore County
21140.0,Riva,Anne Arundel County
21144.0,Severn,Anne Arundel County
21146.0,Severna Park,Anne Arundel County
21150.0,Simpsonville,Howard County
21152.0,Sparks Glencoe,Baltimore County
21153.0,Stevenson,Baltimore County
21154.0,Street,Harford County
21155.0,Upperco,Baltimore County
21156.0,Upper Falls,Baltimore County
21157.0,Westminster,Carroll County
21158.0,Westminster,Carroll County
21160.0,Whiteford,Harford County
21161.0,White Hall,Harford County
21162.0,White Marsh,Baltimore County
21163.0,Woodstock,Howard County
21201.0,Baltimore,Baltimore City
21202.0,Baltimore,Baltimore City
21203.0,Baltimore,Baltimore City
21204.0,Towson,Baltimore County
21205.0,Baltimore,Baltimore City
21206.0,Baltimore,Baltimore City
21207.0,Gwynn Oak,Baltimore County
21208.0,Pikesville,Baltimore County
21209.0,Baltimore,Baltimore City
21210.0,Baltimore,Baltimore City
21211.0,Baltimore,Baltimore City
21212.0,Baltimore,Baltimore City
21213.0,Baltimore,Baltimore City
21214.0,Baltimore,Baltimore City
21215.0,Baltimore,Baltimore City
21216.0,Baltimore,Baltimore City
21217.0,Baltimore,Baltimore City
21218.0,Baltimore,Baltimore City
21219.0,Sparrows Point,Baltimore County
21220.0,Middle River,Baltimore County
21221.0,Essex,Baltimore County
21222.0,Dundalk,Baltimore County
21223.0,Baltimore,Baltimore City
21224.0,Baltimore,Baltimore City
21225.0,Brooklyn,Baltimore City
21226.0,Curtis Bay,Anne Arundel County
21227.0,Halethorpe,Baltimore County
21228.0,Catonsville,Baltimore County
21229.0,Baltimore,Baltimore City
21230.0,Baltimore,Baltimore City
21231.0,Baltimore,Baltimore City
21233.0,Baltimore,Baltimore City
21234.0,Parkville,Baltimore County
21235.0,Baltimore,Baltimore City
21236.0,Nottingham,Baltimore County
21237.0,Rosedale,Baltimore County
21239.0,Baltimore,Baltimore City
21240.0,Baltimore,Anne Arundel County
21241.0,Baltimore,Baltimore City
21244.0,Windsor Mill,Baltimore County
21250.0,Baltimore,Baltimore County
