39.zipcode,20720.0,20650
100.zipcode,20618.0,20740
58.zipcode,20602.0,20684
171.zipcode,20603.0,20850
177.zipcode,20616.0,20857
90.zipcode,20606.0,20724
151.county,Montgomery Conty,Montgomery County
202.county,Montgoumery County,Montgomery County
51.zipcode,20604.0,20674
580.county,Wocester County,Worcester County
599.county,Worceser County,Worcester County
196.zipcode,20607.0,20885
233.zipcode,20601.0,21017
198.zipcode,20619.0,20889
89.zipcode,20609.0,20723
241.zipcode,20604.0,21030
107.zipcode,20604.0,20747
284.county,Carrojll County,Carroll County
462.county,Queen Annes' County,Queen Anne's County
185.zipcode,20634.0,20872
339.city,Dudnalk,Dundalk
139.zipcode,20610.0,20785
377.city,Towon,Towson
398.city,Bartno,Barton
122.zipcode,20618.0,20765
228.zipcode,20602.0,21010
409.county,Allegany Counyt,Allegany County
201.zipcode,20618.0,20894
129.zipcode,20603.0,20774
212.zipcode,20667.0,20906
121.zipcode,20601.0,20764
284.city,anchester,Manchester
368.county,altimore City,Baltimore City
568.city,Crisifeld,Crisfield
200.zipcode,20601.0,20892
118.zipcode,20688.0,20759
117.zipcode,20608.0,20758
96.zipcode,20618.0,20735
31.zipcode,20616.0,20635
187.zipcode,20612.0,20875
386.city,Annapolis***,Annapolis
410.city,Luek,Luke
617.county,Cecli County,Cecil County
348.county,Baltimorze City,Baltimore City
76.zipcode,20619.0,20709
114.zipcode,20604.0,20754
112.zipcode,20615.0,20752
48.zipcode,20634.0,20664
341.county,Baaltimore City,Baltimore City
142.zipcode,20606.0,20790
72.zipcode,20610.0,20705
567.county,icomico County,Wicomico County
438.county,Queen Anne'sC ounty,Queen Anne's County
190.zipcode,20775.0,20878
270.county,Howadr County,Howard County
327.city,Baltmore,Baltimore
39.city,Leonardntown,Leonardtown
375.county,Baltmiore County,Baltimore County
317.county,Hoard County,Howard County
368.city,Balntimore,Baltimore
92.zipcode,20607.0,20726
87.zipcode,20619.0,20721
175.zipcode,20603.0,20854
275.county,Harford Cowunty,Harford County
205.zipcode,20618.0,20898
34.zipcode,20612.0,20639
60.zipcode,20604.0,20686
211.zipcode,20603.0,20905
73.zipcode,20620.0,20706
260.city,reeland,Freeland
178.zipcode,20623.0,20859
93.city,Capitol Heightes,Capitol Heights
143.zipcode,20612.0,20791
123.zipcode,20613.0,20768
605.county,Cecil Counuty,Cecil County
251.zipcode,20609.0,21043
95.zipcode,20615.0,20733
144.zipcode,20606.0,20792
136.zipcode,20602.0,20782
613.city,Colroa,Colora
67.zipcode,20609.0,20695
101.zipcode,20603.0,20741
218.zipcode,20619.0,20913
502.county,Fredexrick County,Frederick County
78.zipcode,20602.0,20711
575.county,Dorchestehr County,Dorchester County
125.zipcode,20601.0,20770
79.zipcode,20604.0,20712
415.county,Garrett Counyt,Garrett County
163.zipcode,20619.0,20837
476.county,Talbot Couty,Talbot County
70.zipcode,20609.0,20703
244.zipcode,20610.0,21034
246.county,Howard Cuonty,Howard County
78.county,Anne Arjundel County,Anne Arundel County
234.zipcode,20687.0,21018
195.zipcode,20609.0,20884
231.zipcode,20618.0,21014
84.county,Prince George's Conty,Prince George's County
486.county,bCaroline County,Caroline County
235.zipcode,20720.0,21020
479.city,Wignate,Wingate
246.zipcode,20607.0,21036
537.county,Fredrick County,Frederick County
444.city,Godsboro,Goldsboro
15.zipcode,20613.0,20617
192.zipcode,20608.0,20880
377.county,Baltimore oCunty,Baltimore County
136.county,rince George's County,Prince George's County
529.county,Frederck County,Frederick County
210.zipcode,20603.0,20904
562.county,Wicomico Counyt,Wicomico County
323.city,Baltiomre,Baltimore
436.county,Dorcehster County,Dorchester County
204.zipcode,20612.0,20897
286.county,Baltimore xCounty,Baltimore County
197.zipcode,20613.0,20886
183.zipcode,20601.0,20868
559.county,Freedrick County,Frederick County
531.city,Libertytovwn,Libertytown
106.zipcode,20618.0,20746
64.zipcode,20607.0,20690
157.zipcode,20604.0,20824
186.county,Montgomery Coutny,Montgomery County
97.zipcode,20602.0,20736
52.zipcode,20607.0,20675
224.zipcode,20622.0,20997
463.city,Queentown,Queenstown
108.zipcode,20602.0,20748
174.zipcode,20602.0,20853
207.zipcode,20624.0,20901
417.county,Allegany Chounty,Allegany County
283.county,Ane Arundel County,Anne Arundel County
239.zipcode,20611.0,21028
396.city,umberland,Cumberland
113.zipcode,20609.0,20753
53.zipcode,20603.0,20676
471.county,Queepn Anne's County,Queen Anne's County
381.county,Baltimorej City,Baltimore City
352.city,Notmtingham,Nottingham
55.zipcode,20607.0,20678
213.county,Mnotgomery County,Montgomery County
23.zipcode,20612.0,20625
41.zipcode,20606.0,20656
222.zipcode,20615.0,20918
145.zipcode,20607.0,20794
54.zipcode,20687.0,20677
252.zipcode,20606.0,21044
216.zipcode,20620.0,20911
613.county,Cecil Countsy,Cecil County
617.city,qElkton,Elkton
155.zipcode,20602.0,20817
74.zipcode,20609.0,20707
200.county,Montgomrey County,Montgomery County
209.zipcode,20603.0,20903
21.county,Prince Geore's County,Prince George's County
552.city,Tuscaora,Tuscarora
134.zipcode,20620.0,20779
63.zipcode,20607.0,20689
193.zipcode,20630.0,20882
199.zipcode,20622.0,20891
453.county,Dorchester Countmy,Dorchester County
163.county,Montgomeyr County,Montgomery County
88.county,PrinceGeorge's County,Prince George's County
37.zipcode,20604.0,20645
19.zipcode,20613.0,20621
221.zipcode,20688.0,20916
67.county,Chales County,Charles County
327.county,nBaltimore City,Baltimore City
162.zipcode,20603.0,20833
109.zipcode,20611.0,20749
242.zipcode,20609.0,21031
360.county,Baltimoe County,Baltimore County
469.county,Dorchestr County,Dorchester County
147.zipcode,20659.0,20799
91.zipcode,20610.0,20725
128.zipcode,20608.0,20773
203.zipcode,20601.0,20896
615.county,ecil County,Cecil County
164.zipcode,20611.0,20838
168.zipcode,20610.0,20847
549.county,Carropll County,Carroll County
194.zipcode,20602.0,20883
128.county,Prince Geovrge's County,Prince George's County
499.county,Freedrick County,Frederick County
99.county,Prince Georges' County,Prince George's County
180.zipcode,20607.0,20861
86.city,Bowile,Bowie
300.city,iRandallstown,Randallstown
149.zipcode,20620.0,20811
133.zipcode,20607.0,20778
167.zipcode,20612.0,20842
110.zipcode,20610.0,20750
132.zipcode,20601.0,20777
303.county,nAne Arundel County,Anne Arundel County
153.zipcode,20606.0,20815
97.county,alvert County,Calvert County
15.county,Charlres County,Charles County
50.zipcode,20604.0,20670
588.city,Quantcio,Quantico
176.zipcode,20604.0,20855
596.city,Uppert Fairmount,Upper Fairmount
359.city,altimore,Baltimore
138.zipcode,20610.0,20784
597.city,Vienan,Vienna
35.zipcode,20602.0,20640
466.county,Kent Coutny,Kent County
441.city,Federallsburg,Federalsburg
206.zipcode,20622.0,20899
84.zipcode,20607.0,20718
226.zipcode,20606.0,21005
85.county,Prince Geonrge's County,Prince George's County
454.city,Mrydel,Marydel
482.county,Kent Coutny,Kent County
275.city,Jarrettsvville,Jarrettsville
80.zipcode,20606.0,20714
252.county,oward County,Howard County
546.city,Saint gJames,Saint James
158.zipcode,20606.0,20825
29.zipcode,20611.0,20632
160.zipcode,20607.0,20830
186.zipcode,20607.0,20874
75.zipcode,20608.0,20708
265.county,Anne Arundel Couny,Anne Arundel County
105.zipcode,20622.0,20745
151.zipcode,20619.0,20813
182.zipcode,20611.0,20866
353.city,oRsedale,Rosedale
92.county,Prince Gneorge's County,Prince George's County
236.zipcode,20602.0,21022
137.zipcode,20687.0,20783
127.zipcode,20611.0,20772
481.city,Woqolford,Woolford
93.zipcode,20611.0,20731
335.city,Baltmore,Baltimore
538.city,Mersville,Myersville
83.zipcode,20604.0,20717
27.zipcode,20618.0,20629
589.county,Somerset Conty,Somerset County
179.zipcode,20602.0,20860
131.zipcode,20602.0,20776
