yearvalue,statevalue,county,hai,facilityid(long),facilityname,facilitytype,notes
2020Hw1,Cailfornia,ern,Surgical Site Infections (SSI),120000555.0,Encompass Health Rehabilitation Hospital of Bakersfield,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Californfia,Kern,Surgical Site Infections (SSI),120000413.0,Adventist Health Tehachapi Valley,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,aClifornia,Los Angeles,Surgical Site Infections (SSI),930000059.0,Adventist Health Glendale,"Community, >250 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
202n0H1,California,Modoc,Surgical Site Infections (SSI),230000011.0,Modoc Medical Center,Critical Access,No surgeries in the 8 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),930000191.0,Adventist Health White Memorial,Major Teaching,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Trinity,Surgical Site Infection (SSI),230000022.0,Trinity Hospital,Critical Accses,No surgeries in rthe 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Glenn,Surgical Site Infections (SSI),230000006.0,Glenn Medical Center,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Kern,Surgical Site Infectins (SSI),120000411.0,Adventist Health Bakersfield,Major Teaching,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Mariposa,Surgical Site Infections (SSI),40000105.0,John C. Fremont Healthcare District,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Santa Barbara,Surgical Site Infections (SSI),50000030.0,Santa Ynez Valley Cottage Hospital,Critical Access***,No surgeries in the 28 surgical procedure categores were performed in first half of 2020.
2020H1,California,Tulare,Surgical Site Infections (SSI),170001874.0,Porterville Developmental Center,"Community, 125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Caliornia,San Bernardimno,Surgical Site Infections (SSI),930000014.0,Bear Valley Community Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
20201H,California,Modoc,Surgical Site Infections (SSI),930000014.0,Surprise Valley Community Hospital,Critcal Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Calfiornia,Humboldt,Surgial Site Infections (SSI),110000057.0,Jerold Phelps Community Hospital,Criticabl Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Orange,Surigcal Site Infections (SSI),120000413.0,College Hospital Costa Mesa,"oCommunity, 125-250 Beds",No surgeries in the 28 surgical procedure categories wer performed in first half of 2020.
2020H1,Cailfornia,San Joaquin,Surgical Site Infections (SSI),930000059.0,Adventist Health Lodi Memorial,"Community, 125-250 Beds***",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Califonria,Los Angeles,Surgical Site Infections (SSI),930000014.0,Barlow Respiratory Hospital,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2l020H1,California,Orange,Surgical Site Infections (SI),120000555.0,"Kindred Hospital, Westminster",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Kern,Surgical Site Infections (SSI),930000059.0,"Good Samaritan Hospital, Bakersfield","Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Diego,Surgical Site Infections (SSI),90000048.0,"Kindred Hospital, San Diego",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Califoria,Humboldt,Surgical Site Infections (SSI),40000105.0,The General Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
