150.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
757.hai,Surgical Site Infectins (SSI),Surgical Site Infections (SSI)
991.facilityname,Children's Hospitl Los Angeles,Children's Hospital Los Angeles
49.facilityid,7.0001349E7,3.0000118E7
754.hospitalcategoryriskadjustment,Acute Care Hospial,Acute Care Hospital
979.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
1184.facilityname,MemorialCare Miller Children's & Womne's Hospital Long Beach,MemorialCare Miller Children's & Women's Hospital Long Beach
635.hospitalcategoryriskadjustment,Acut eCare Hospital,Acute Care Hospital
544.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
574.hai,Surgical Site Infections (SSI)***,Surgical Site Infections (SSI)
750.facilitytype,Major Teaching,Critical Access
764.facilityname,Hi-Desert Medical Cenuter,Hi-Desert Medical Center
1051.facilityname,"Kaiser Foundation Hospital, Los Angees","Kaiser Foundation Hospital, Los Angeles"
598.facilitytype,"Commnity, 125-250 Beds","Community, 125-250 Beds"
296.facilityid,7.0001349E7,6.0000038E7
1132.facilityname,San Dimas Communit yHospital,San Dimas Community Hospital
171.operativeprocedure,Carsdiac surgery,Cardiac surgery
249.facilityid,7.0001349E7,5.0000455E7
96.facilityid,7.0001349E7,3.0000134E7
946.hospitalcategoryriskadjustment,Acute Care Hospkital,Acute Care Hospital
758.hai,Surgical Sicte Infections (SSI),Surgical Site Infections (SSI)
756.statevalue,Califiornia,California
187.facilityid,7.0001349E7,5.0000014E7
675.hai,Surgicatl Site Infections (SSI),Surgical Site Infections (SSI)
845.facilityname,"Kaiser Foundation Hsopital, Riverside","Kaiser Foundation Hospital, Riverside"
225.hospitalcategoryriskadjustment,Acuvte Care Hospital,Acute Care Hospital
477.county,San Dego,San Diego
744.hospitalcategoryriskadjustment,Acutye Care Hospital,Acute Care Hospital
429.hospitalcategoryriskadjustment,AcuteCare Hospital,Acute Care Hospital
468.hospitalcategoryriskadjustment,Acute Care Hnospital,Acute Care Hospital
635.facilityid,7.0001349E7,1.40000187E8
945.facilityname,"California Hospitgal Medical Center, Los Angeles","California Hospital Medical Center, Los Angeles"
467.facilityid,7.0001349E7,8.0000023E7
526.hai,Surgical SiteInfections (SSI),Surgical Site Infections (SSI)
670.facilityname,Providence Santa Rosa Memorial Hoxspital,Providence Santa Rosa Memorial Hospital
1104.facilityname,wProvidence Saint Joseph Medical Center,Providence Saint Joseph Medical Center
512.hospitalcategoryriskadjustment,Acute Care ospital,Acute Care Hospital
417.facilitytype,Pediathric,Pediatric
404.statevalue,Californsia,California
427.hospitalcategoryriskadjustment,Acute Care Hospitawl,Acute Care Hospital
516.yearvalue,2200H1,2020H1
358.facilityid,7.0001349E7,7.0000137E7
1183.facilityname,MemoriaCare Miller Children's & Women's Hospital Long Beach,MemorialCare Miller Children's & Women's Hospital Long Beach
682.facilityid,7.0001349E7,2.20000009E8
130.hospitalcategoryriskadjustment,Acut Care Hospital,Acute Care Hospital
1043.hai,Swurgical Site Infections (SSI),Surgical Site Infections (SSI)
477.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
132.hospitalcategoryriskadjustment,Actute Care Hospital,Acute Care Hospital
411.hai,Surgical Site Inefctions (SSI),Surgical Site Infections (SSI)
1119.hospitalcategoryriskadjustment,Acuet Care Hospital,Acute Care Hospital
99.yearvalue,y2020H1,2020H1
744.facilityid,7.0001349E7,2.30000261E8
123.facilityid,7.0001349E7,3.0000151E7
232.facilityid,7.0001349E7,5.0000039E7
1052.statevalue,Calfiornia,California
170.facilityid,7.0001349E7,4.0000129E7
32.facilityid,7.0001349E7,3.0000113E7
336.yearvalue,20201H,2020H1
1141.hospitalcategoryriskadjustment,Acute Care Hosiptal,Acute Care Hospital
725.hospitalcategoryriskadjustment,Acute Carep Hospital,Acute Care Hospital
862.hospitalcategoryriskadjustment,Acute Care Hospial,Acute Care Hospital
403.facilityid,7.0001349E7,7.0000153E7
464.facilityid,7.0001349E7,8.0000023E7
945.facilitytype,Mjaor Teaching,Major Teaching
234.hospitalcategoryriskadjustment,Acute Care Hospial,Acute Care Hospital
775.facilityname,"Kaiser Foundation ospital, Fontana","Kaiser Foundation Hospital, Fontana"
338.hai,Surgical Site Infections (SSaI),Surgical Site Infections (SSI)
960.facilitytype,"ommunity, 125-250 Beds","Community, 125-250 Beds"
156.statevalue,Californai,California
676.statevalue,Californgia,California
777.county,Sa nBernardino,San Bernardino
700.yearvalue,202H1,2020H1
480.hospitalcategoryriskadjustment,Acute Care Hospitcal,Acute Care Hospital
676.hai,Surgical Ste Infections (SSI),Surgical Site Infections (SSI)
621.facilityid,7.0001349E7,1.40000183E8
1017.facilityname,"PIH Health Hospital, jDowney","PIH Health Hospital, Downey"
697.hospitalcategoryriskadjustment,Acute Care yHospital,Acute Care Hospital
288.hospitalcategoryriskadjustment,Acute Care yHospital,Acute Care Hospital
