yearvalue,statevalue,county,hai,operativeprocedure,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,procedurecount(long),infectionsreported(long),infectionspredicted(double precision)
2020eH1,California,Los Angeles,Surgical Site Infections (SSI),STATE OFC ALIFORNIA POOLED DATA,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,9757,31,56.02
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALItFORNIA POOLED DATA - Appendix surgery,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,4221,7,16.16
2020H1,Califonia,Los Angeles,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Bile duct, liver or pancreatic surgery",70001349.0,Lucile Packard Children's Hospital Stanford,Acute Cre Hospital,Major Teaching,97,0,1.81
s2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE F CALIFORNIA POOLED DATA - Cardiac surgery,70001349.0,Lucile Packard Children's Hospital Stanford,Acte Care Hospital,Major Teaching,792,5,8.14
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cesarean section,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Car eHospital,Major Teachign,188,1,0.6
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Colon surgery,70001349.0,Lucile Packard Children's Hospital Stanford,Acoute Care Hospital,Major Teaching,343,4,6.76
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Exploratory abdominal surgery (laparotomy),70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,860,1,4.31
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gallbladder surgery,70001349.0,Lucile Packard Children's Hospital Stanford,Acue Care Hospital,Major Teaching,376,0,0.26
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Hip prosthesis,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,20,0,0.08
2020H1,Califorgnia,Los Angeles,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, abdominal",70001349.0,Lucile Packard Children's Hospital Stanford,Acute Caer Hospital,Major Teaching,4,0,0.08
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney transplant,70001349.0,Lucile Packard Children's Hospital Stanford,Acute aCre Hospital,Major Teaching,41,0,0.33
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Knee prosthessi,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,4,0,0.04
2020H1,California,Ls Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Laminectomy,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care oHspital,Major Teaching,228,1,1.46
2020H1,Cailfornia,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Liver transplant,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Carei Hospital,Major Teaching,22,1,1.52
020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Open reduction of fracture,70001349.0,Lucile Packard Children's Hospital Stanford,Acutez Care Hospital,Major Teaching,1069,2,3.94
2020H1,Clifornia,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Rectal surgery,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hopital,Major Teaching,94,0,0.27
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DeATA - Small bowel surgery,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,482,2,4.56
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spinal fusion,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospitahl,Major Taching,477,3,4.92
202r0H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Thoracic surgery,70001349.0,Lucile Packard Children's Hospital Stanford,Aute Care Hospital,Major Teaching,439,4,0.8
2020H1,California,Sacarmento,Surgical Site Infections (SsSI),All procedures,70001349.0,Methodist Hospital of Sacramento,Acute Cae Hospital,"Community, 125-250 Beds",7,0,0.01
2020H1,California,aScramento,Surgical Site Infections (SSI),Appendix surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.0
20201H,Califpornia,Sacramento,Surgical Site Infections (SSI),Cesarean sepction,30000037.0,MethodistHospital of Sacramento,Acute Carle Hospital,"Community, 125-250 Beds",4,0,0.01
2020H1,California,Amador,Surgical Site Infections (SSI),All procedures,70001349.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.0
