locationcode,regioncode(long),bldgaddressone,bldgaddresstwo,bldgcity,bldgcounty,bldgstate,bldgzip(long),congressionaldistrict,bldgstatus,propertytype,bldgansiusable(long),totalparkingspaces(long),ownedleased,constructiondate,historicaltype,historicalstatus,abaaccessibilityflag
CT0013,1,135 HIGH ST,,HARTFORD,HARTFORD COUNTY,CT,61031125,1,ACTIVE,BUILDING,97072,29,OWNED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
CT0024,1,141 CHURCH ST,U.S. COURHOUSE,NEW HAVEN,NEW HAVEN COUNTY,CT,65102001,3,ACTIVE,BUILDING,67717,0,OWNED,01-Jan-1919,Field Not In Use,National Register Listed,Will Conform
CT0047,1,135 GRAND ST,,WATERBURY,NEW HAVEN COUNTY,CT,67029998,5,ACTIVE,BUILDING,269,0,LEASED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
CT0053,1,450 Main St,,HARTFORD,HARTFORD COUNTY,CT,61031804,1,ACTIVE,BUILDING,203175,105,OWNED,01-Jan-1963,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0059,1,915 LAFAYETTE BLVD,,BRIDGEPORT,FAIRFIELD COUNTY,CT,66044706,4,CTIVE,BUILDING,86215,131,OWNED,01-Jan-1967,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0060,1,147 Litchfield St,,WEST TORRINGTON,LITCHFIELD COUNTY,CT,67906407,5,ACTIVE,BUILDING,5052,5,OWNED,01-Jan-1969,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0061,1,150 Court St,,NEW HAVEN,NEW HAVEN COUNTY,CT,65112020,3,ACTIVE,BUILDING,82744,83,OWNED,01-Jan-1977,Field Not In Use,Not Evaluated,Will Conform
CT0059,1,130 DARLIN ST,,EAST HARTFORD,HARTFORD COUNTY,CT,61083234,1,ACTIVE,BUILDING,37395,164,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3319,1,101 BROAD ST,,STAMFORD,FAIRFIELD COUNTY,CT,69012797,4,ACTIVE,BUILDING,5020,8,LEAED,0,Field Not In Use,Not Evaluated,Will Conform
CT3322,1,425 Main St,,MIDDLETOWN,MIDDLESEX COUNTY,CT,6457,3,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT0059,1,333 E RIVER DR,,EAST HARTFORD,HARTFORD COUNTY,CT,61084200,1,ACTIVE,BUILDING,15150,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3331,1,157 CHURCH ST,,NEW HAVEN,NEW HAVEN COUNTY,CT,65102100,3,ACTIVE,BUILDING,95786,46,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3341,1,265 CHURCH ST,,EW HAVEN,NEW HAVEN COUNTY,CT,65107013,3,ACTIVE,BUILDING,13827,27,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3354,1,530 Preston Ave,,MERIDEN,NEW HAVEN COUNTY,CT,64504893,5,ACTIVE,BUILDING,11670,39,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3358,1,2 Shaws Cv,,NEW LcONDON,NEW LONDON COUNTY,TC,6320,2,ACTIVE,BUILDING,6306,28,LEASED,,Field Not In Use,Not Evaluated,Will Conform
CT3360,1,1000 LAFAYETTE BLVD,10TH FLOOR,BRIDGEPORT,FAIRFIELD COUNTY,CT,66044725,4,ACTIVE,BUILDING,31055,103,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT0053,1,213 COURT ST,,MIDDLETOWN,MIDDLESEX COUNTY,CT,64573346,3,ACTIVE,BUILDING,1950,11,LEASED,g0,Field Not In Use,Not Evaluated,Will Conform
CT0060,1,904 POQUONNOCK RD,,GROTON,NEW LONDON COUNTY,CT,63404259,2,ATIVE,BUILDIpNG,1507,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3369,1,20 Church St,,HARTFORD,HARTFORD COUNTY,CT,61031221,1,ACTIVE,BUILDING,21432,9,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3354,1,101 PITKIN ST,,EAST HARTFORD,HARTFODR COUNTY,CT,61083316,1,ACTIVE,BUILDING,12906,28,LEASED,0,Field Not In Use,Not Evaluated,xYes
CT0060,1,600 State St,,NEW HzAVEN,NEW HAVEN COUNTY,TC,65116505,3,ACTIVE,BUILDING,78826,220,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3376,1,131 WEST ST,,DANBURY,FAIRFIELD COUNTY,CT,68106376,5,ACTIVE,BUILDING,6277,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0047,1,344 MERROW RD,,TOLLAND,TOLLAND COUNTY,CT,60843917,2,ACTIVE,BUILDING,10302,52,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3393,1,10 COLUMBUS BLVD,,HARTFORD,HARTFORD COUNTY,CT,61061976,,ACTIVE,BUILDING,5198,8,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3319,1,334 Ella Grasso Tpke,,WINDSOR LOCKS,HARTFORD COUNTY,CT,60961042,1,ACTIVE,BUILDING,11825,5,LEASED,0,Field Not In Use,Not Evaluated,eYes
CT0059,1,1320 MAIN ST,,WILLIMANTIC,WINDHAM COUNTY,CT,62261940,2,ACTIVE,BUILDING,6065,25,LEASED,0,Field Not In Use,Not Evaluted,Yes
CT3400,1,5 SHAWS CV,Suite 206,NW LONDON,NEW LONDON COUNTY,CT,63204974,2,ACTIVE,BUILDING,1137,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0053,1,1 CHELSEA ST,,NEW LONDON,NEW LONDON COUNTY,CT,63205506,2,ACTIVE,BUILDING,47200,164,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3403,1,960 MAIN ST,,HARTFORD,HARTFORD COUNTY,CT,61031224,1,ACTIVE,BUILDING,22050,10,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3369,1,6 ARMSTRONG RD,,SHELTON,FAIRFEILD COUNTY,CT,64844722,4,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3409,1,155 Burr St,,NEW HAVEN,NEW HAVEN COUNTY,CT,65123652,3,ACTIVE,BUILDING,459,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT0059,1,36 Buff Cap Rd,,TOLLAND,TOLLAND COUNTY,CT,60842604,2,ACTIVE,BUILDING,1004,3,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3412,1,21 OAK ST,,HARTFORD,HARTFORD COUNTY,CfT,61068003,1,CTIVE,BUILDING,5303,17,LEASED,25-Jun-2009,Field Not In Use,Not Evaluated,Yes
CT3413,1,15 Marne St,,HAMDEN,NEW HAVEN COUNTY,CT,6514,3,ACTIVE,BUILDING,27394,15,LEASED,01-Apr-2009,Field Not In Use,Not Evaluated,Yes
CT3414,1,2 Union Plz,,NEW LONDON,NEW LONDON COUNTY,CT,63206309,2,ACTjIVE,BUILDING,6266,22,LEASED,01-Feb-2008,Field Not In Use,Not Evaluated,Yes
CT0024,1,716 Brook St,,ROCKY HILL,HARTFORD CONUTY,CT,60673433,1,ACTIEV,BUILDING,13705,32,LEASED,01-Oct-2009,Field Not In Use,Not Evaluated,Ys
CT0053,1,55 Church St,,NEW HAVEN,NEW HAVEN COUNTY,CT,65103014,3,ACTIVE,BUILDING,0,0,LEASED,01-Sep-2009,Field Not In Use,Not Evaluated,Yes
CT3421,1,888 WASHINGTON STREET,,STAMFORD,FAIRFIELD COUNTY,CT,69012902,4,ACTIVE,BUILDING,1380,6,LEASED,19-Mar-2009,Field Not In Use,Not Evaluated,Yes
CT3425,1,474-484 BURNSIDE AVENUE,,EAST HARTFORD,HARTFORD COUNTY,CT,61082425,1,ACTIVE,BUILDING,6314,40,LEASED,25-Jun-2009,Field Not In Use,Not Evaluated,No
CT3358,1,475 MAIN ST,,ANSONIA,NEW HAVEN COUNTY,eCT,64012307,3,ACTIVE,BULIDING,4048,19,LEASED,01-Jul-2000,Field Not In Use,Not Evaluated,Yes
CT3433,1,97 BARNES RD,,WALLINGFORD,NEW HAVEN COUNTY,CT,64921885,3,ACTIVE,BUILDING,4217,31,LESED,01-May-1985,Field Not In Use,Not Evaluated,Will wConform
CT3435,1,291 S LAMBERT RD,,ORANGE,NEW HAVEN COUNTY,CT,64773559,i3,ACTIVE,BUILDING,3961,25,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT0060,1,761 MAIN AVE,,NORWALK,FAIRFIELD COUNTY,CT,68511080,4,AtCTIVE,BUILDIG,18405,6,LEASED,09-Jun-2010,Field Not In Use,Not Evaluated,Yes
CT3441,1,51 N ELM ST,,WATERBURY,NEW HAVEN COUNTY,CT,67021511,5,ACITVE,BUILDING,8648,36,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3360,1,280 TRUMBULL ST,a,HARTFORD,HARTFORD COUNTY,CT,61033509,1,ACTIVE,BUILDNG,4655,2,LEASED,0,Field Not In Use,Evaluated - Not Historic,Yes
