nhddataset,ftypevalue,ftypedescription
NHDPoint,343.0,DamWeir
NHDPoint,367.0,Gaging Station
NHDPoint,369.0,Gate
NHDPoint,398.0,Lock Chamber
NHDPoint,431.0,Rapids
NHDPoint,436.0,Reservoir
NHDPoint,441.0,Rock
NHDPoint,450.0,SinkRise
NHDPoint,458.0,SpringSeep
NHDPoint,485.0,Water IntakeOutflow
NHDPoint,487.0,Waterfall
NHDPoint,488.0,Well
NHDFlowline,334.0,Connector
NHDFlowline,336.0,CanalDitch
NHDFlowline,420.0,Underground Conduit
NHDFlowline,428.0,Pipeline
NHDFlowline,460.0,StreamRiver
NHDFlowline,468.0,Drainageway
NHDFlowline,558.0,ArtificialPath
NHDFlowline,566.0,Coastline
NHDLine,318.0,Bridge
NHDLine,343.0,DamWeir
NHDLine,362.0,Flume
NHDLine,369.0,Gate
NHDLine,398.0,Lock Chamber
NHDLine,411.0,Nonearthen Shore
NHDLine,431.0,Rapids
NHDLine,434.0,Reef
NHDLine,450.0,SinkRise
NHDLine,478.0,Tunnel
NHDLine,483.0,Wall
NHDLine,487.0,Waterfall
NHDLine,503.0,Sounding Datum Line
NHDLine,568.0,Levee
NHDArea,307.0,Area to be Submerged
NHDArea,312.0,BayInlet
NHDArea,318.0,Bridge
NHDArea,336.0,CanalDitch
NHDArea,343.0,DamWeir
NHDArea,362.0,Flume
NHDArea,364.0,Foreshore
NHDArea,398.0,Lock Chamber
NHDArea,403.0,Inundation Area
NHDArea,431.0,Rapids
NHDArea,445.0,SeaOcean
NHDArea,455.0,Spillway
NHDArea,460.0,StreamRiver
NHDArea,461.0,Submerged Stream
NHDArea,484.0,Wash
NHDArea,485.0,Water IntakeOutflow
NHDArea,537.0,Area of Complex Channels
NHDArea,568.0,Levee
NHDWaterbody,361.0,Playa
NHDWaterbody,378.0,Ice Mass
NHDWaterbody,390.0,LakePond
NHDWaterbody,436.0,Reservoir
NHDWaterbody,466.0,SwampMarsh
