128.phone,(580) 646-3385,(918) 862-0389
98.city,oalgate,Coalgate
116.co,06-I009,18-I017
38.co,07-I003,07-I048
27.phone,(918) 696-7509,(580) 526-3476
16.superintendentemail,tpotwts@stringtownisd.org,tpotts@stringtownisd.org
230.statevalue,K,OK
92.co,07-I072,14-C016
311.address,400 Esat Atlanta Avenue,400 East Atlanta Avenue
340.fax,(405) 524-9417,(405) 524-9471
155.city,Garbejr,Garber
7.superintendentemail,lweaver@WATTSSCHOOL.CwOM,lweaver@WATTSSCHOOL.COM
137.phone,(580) 889-3687,(918) 256-6401
525.phone,(918) 2595-700,(918) 259-5700
265.distname,MULHALL-ORLANDO              ,MULHALL-ORLANDO               
138.superintendent,Andrea Shrve,Andrea Shreve
70.co,04-I075,10-I077
407.coname,PAYNwE       ,PAYNE       
143.phone,(580) 889-2743,(918) 868-2562
163.statevalue,pOK,OK
508.superintendentemail,sbfoothe@tiptontigers.net,sboothe@tiptontigers.net
539.website,http://www.porter.nk12.ok.us,http://www.porter.k12.ok.us
21.superintendentemail,jbnaylor@balko.k12.ok.us,bnaylor@balko.k12.ok.us
417.distname,CANADsIAN                      ,CANADIAN                      
65.co,01-C024,10-I027
423.superintendent,Gary Rbeeder,Gary Reeder
131.website,http://www.sapulpaps.og/,http://www.sapulpaps.org/
381.fax,(9o18) 336-1348,(918) 336-1348
394.coname,OTTAW      ,OTTAWA      
399.distname,FAIRLAND          a            ,FAIRLAND                      
293.distname,DyENISON                       ,DENISON                       
164.address,800 West Creek Sreet,800 West Creek Street
61.co,05-I031,09-I076
530.superintendentemail,bebagles@sperry.k12.ok.us,bbeagles@sperry.k12.ok.us
445.fax,(405)3 83-2449,(405) 383-2449
549.address,2134 Lincoln Steret,2134 Lincoln Street
117.phone,(580) 924-7000,(918) 784-2365
113.statevalue,OoK,OK
432.coname,ONTOTOC    ,PONTOTOC    
464.statevalue,OuK,OK
37.coname,BRYAN      ,BRYAN       
346.city,Oklaoma City,Oklahoma City
393.fax,(918) 78x6-4902,(918) 786-4902
10.co,01-C029,01-I030
228.website,ww.hobart.k12.ok.us,www.hobart.k12.ok.us
447.statevalue,KO,OK
163.address,00 First Street,600 First Street
118.address,301 N. Cobb Ave,114 South Scraper Street
261.city,Carnzey,Carney
285.coname,MCCLAIlN     ,MCCLAIN     
367.phone,(405 )259-9478,(405) 259-9478
172.co,z26-I002,26-I002
304.superintendent,Lynn Maxwell***,Lynn Maxwell
79.superintendent,Bryn Hix,Bryan Hix
502.statevalue,K,OK
212.website,www.tishomingo.k12.ok.us***,www.tishomingo.k12.ok.us
528.address,102 West Maple,1902 West Maple
34.phone,(580) 889-6611,(580) 283-3775
548.website,www.alvaschoolsn.et,www.alvaschools.net
493.website,www.comanchek12.ok.us,www.comanche.k12.ok.us
26.boardpresident,Vicki Hinkel,Vicki Hinkle
196.co,23-I035,32-I035
134.phone,(918) 696-2285,(580) 661-3527
520.website,ww.dsatulsa.org,www.dsatulsa.org
50.co,01-C022,08-I167
116.website,www.welcwhildcats.net,www.welchwildcats.net
449.coname,PUSHATAHA  ,PUSHMATAHA  
169.fax,(u405) 485-3204,(405) 485-3204
83.phone,(405) 643-2336,(918) 207-4900
182.website,www.dcalk12.org,www.dclak12.org
122.phone,(580) 625-3444,(918) 224-4440
367.website,www.k12e.com/ovca,www.k12.com/ovca
130.co,05-I031,19-I031
485.superintendent,Vicor Salcedo,Victor Salcedo
466.superintendentemail,rcarter@foyil.12.ok.us,rcarter@foyil.k12.ok.us
483.boardpresident,Sylveste Carolina,Sylvester Carolina
539.address,125 South Mian,125 South Main
316.statevalue,OdK,OK
30.co,01-C029,06-I080
105.phone,(580) 924-7000,(580) 365-4307
476.city,Semginole,Seminole
395.statevalue,sOK,OK
506.phone,(580 )349-2271,(580) 349-2271
214.superintendentemail,james.miller@coleman.k12.o.us,james.miller@coleman.k12.ok.us
544.statevalue,K,OK
119.address,316 S Lee,2945 S. Hickory St.
539.superintendent,Mawrk Fenton,Mark Fenton
108.superintendentemail,sglibreath@fletcherschools.org,sgilbreath@fletcherschools.org
58.superintendent,Crig Mcvay,Craig Mcvay
330.website,http://www.mason.k12.ok.u/s,http://www.mason.k12.ok.us/
440.superintendent,Mactthew Riggs,Matthew Riggs
129.co,01-C022,19-I021
104.statevalue,K,OK
527.superintendent,Stacey Buutterfield,Stacey Butterfield
524.statevalue,KO,OK
122.co,08-I161,19-C035
523.city,ulsa,Tulsa
421.boardpresident,Jim Schumachr,Jim Schumacher
110.address,"Rural Route 2, Box 1",507 4Th Street
168.website,http://www.frind.k12.ok.us,http://www.friend.k12.ok.us
313.coname,MUSKOGEE   ,MUSKOGEE    
275.distname,MADILL                       ,MADILL                        
291.statevalue,OqK,OK
165.phone,(40y5) 238-6453,(405) 238-6453
173.coname,GRADY  g     ,GRADY       
103.phone,(580) 889-6611,(580) 429-3266
191.superintendentemail,mguthrie@stiglerps.caom,mguthrie@stiglerps.com
163.fax,(405) 86o7-4864,(405) 867-4864
102.website,www.Bishop.K12.ok.jus,www.Bishop.K12.ok.us
511.fax,(580) 79-3381,(580) 479-3381
502.coname,TEoXAS       ,TEXAS       
550.distname,FREEDOMh                       ,FREEDOM                       
199.fax,(580) 4t82-7749,(580) 482-7749
142.co,05-I031,21-I002
71.coname,CARTER      ***,CARTER      
547.co,75-I087,75-I078
43.city,nAadarko,Anadarko
116.phone,(580) 623-7364,(918) 788-3129
200.address,300 North Chickaswa,300 North Chickasaw
505.boardpresident,Time Lunceford,Tim Lunceford
263.city,Gutrie,Guthrie
79.superintendentemail,bhix@tenkillr.k12.ok.us,bhix@tenkiller.k12.ok.us
209.fax,(58) 371-9336,(580) 371-9336
104.city,ndiahoma,Indiahoma
189.statevalue,KO,OK
518.fax,(918) 25-1629,(918) 925-1629
253.website,https://sites.google.com/site/arkomak1/,https://sites.google.com/site/arkomak12/
490.phone,(918 775-5525,(918) 775-5525
257.co,41-I04,41-I004
442.phone,(405) 598-37h39,(405) 598-3739
446.statevalue,KO,OK
420.coname,PITTBSURG   ,PITTSBURG   
436.distname,SOUTH ROCK CRpEEK              ,SOUTH ROCK CREEK              
142.superintendentemail,scoaly@riodgerunners.net,scoaly@ridgerunners.net
106.co,01-C024,16-I004
505.superintendent,Josuha Bell,Joshua Bell
514.superintendentemail,amcrae@kipptulsa.orvg,amcrae@kipptulsa.org
11.superintendent,Gelen Elliott,Glen Elliott
549.coname,WODOS       ,WOODS       
463.statevalue,KO,OK
