countyname,districtname,codistcode,sitecode(long),schoolsite,totalenrollment(double precision),telephone,principal,mailingaddress,mailingcity,mailingstate,mailingzip(double precision),gradeslowhigh,certifiedstaff(long)
ADAIR,PEAVINE,01C019,105,PEAVINE PUBLIC SCHOOL,133.0,(918) 696-7818,Jack Ritchie,PO Box 389,Stilwell,OK,74960.0,PK-08,16
ADAIR,MARYETTA,01C022,105,MARYETTA PUBLIC SCHOOL,689.0,(918) 696-2285,Rhonda Brown,"Rural Route 6, Box 2840",Stilwell,uOK,74960.0,PK-08,61
ADAIR,ROCKY MOUNTAIN,01C024,105,ROCKY MOUNTAIN PkUBLIC SCHOOL,181.0,(918) 696-75m09,Margaret Carlile,"Rural Route 1, Box 665",Stilwell,OK,74960.0,PK-08,18
ADAIR,ZION,01C028,105,ZION PUBLIC SCHOOL,349.0,(918) 696-7866,Joey O''nael,PO Box 347,Stilwell,OK,74960.0,PK-08,32
ADAIR,DAHLONEGAH,01C024,105,DAHLONEGAH PUBLIC SCOOL,127.0,(918) 696-7807,Jeff Limore,"Rural Route 1, Box 1795",Stilwell,OK,74960.0,PK-08,18
ADAIR,GREASY,01C032,105,GREASY PUBLIC SCHOOL,97.0,(91j8) 696-7768,Jim Bynum,Rural Route 1 Box 1589,Bunch,OK,74931.0,PK-08,11
ADAIR,WATTS,01I004,105,WATTS ES,238.0,(918) 422-5131,Martin Bradford,"Rural Route 2, Box 1",Watts,KO,74964.0,PK-08,20
ADAIR,WATTS,01I004,705,WATTS HS,103.0,(918) 422-5132,Martin Bradford,"Rural Route 2, Box 1",Watts,OK,74964.0,12-Sep,13
ADAIR,WESTVILLE,01C024,105,WESTVILLE ES,646.0,(918) 723-4355,Ryan Swank (Pk-2),PO Box 410,Westville,OK,74965.0,PK-06,53
ADAIR,WESTVILLE,01I004,610,WESTVILLE JHS,172.0,(918) 723-3432,Shelly Coopr,PO Box 410,Westville,OK,74965.0,8-Jul,34
ADAIR,WESTVILLE,01I011,705,WESTVILLE HS,330.0,(918) 723-5644,Renae Price,PO Box 410,Westville,K,74965.0,12-Sep,49
ADAIR,STILWELL,01C024,105,STILWELL ES,415.0,(918) 696-7656,Mark Lea,10 South Sixth St,Stilwell,K,74960.0,PKo-04,42
ADAIR,STILWELL,01I025,505,STILWELL MS,276.0,918) 696-2685,Dale Girdner,12 North Seventh St,Stilell,lOK,74960.0,8-May,30
ADAIR,STILWELL,01I025,705,STILWELL HS,668.0,(918) 696-7276,Ramona Ketcher,1801 West Locut St,Stilwell,OK,74960.0,12-Sep,55
ADAIR,CAVE SPRINGS,01I030,105,CAVE SPRINGS ES,84.0,(918) 776-2050,Geary Brown,PO Box 200,uBnch,OK,74931.0,PK-08,12
ADAIR,CAVE SPRINGS,01I030,705,CAVE SPRINGS HS,101.0,(918) 776-2050,Geary Brown,dPO Box 200,Bunch,KO,74931.0,12-Sep,12
ALFALFA,BURLINGTON,01C024,105,BURLINGTON ES,112.0,(580) 431-2222,Shane Feely,PO Box 17,Burlington,OK,73722.0,P-K08,19
ALFALFA,BURLINGTON,01I011,705,BURLINGTON HS,36.0,(580) 431-2222,Shane Feely,PO Box 17,Burlington,eOK,73722.0,12-Sep,14
ALFALFA,CHEROKEE,02I046,105,CHEROKEE ES,192.0,(580) 596-3277,Ruth Richmond,700 S. Nebraska,Cherokee,K,73728.0,PK-05,24
ALFALFA,CHEROKEE,01C022,510,CHEROKEE MS,79.0,(580) 596-3391,Jeremy Hickman,PO Bo x325,Cherokee,OK,73728.0,8-Jun,18
ALFALFA,CHEROKEE,02I046,705,CHEROKEE HS,98.0,(580) 596-3391,Jeremy Hickman,412 E. 5Th St,Cherokee,K,73728.0,12-Sep,21
ALFALFA,TIMBERLAKE,01I011,105,TIMBERLAKE ES,204.0,(580) 626-4411,Kale Pierce,PO Box 188,Jet,OmK,73749.0,PK-08,30
ALFALFA,TIMBERLAKE,02I093,705,TIMBERLAKE HS,77.0,(580) 852-3281,Charlie Berg,PO Box 287,Heena,K,73741.0,12-Sep,16
ATOKA,HARMONY,03C021,105,HARMONY PUBLIC SCHOOL,210.0,(580) 889-3687,Brian Walker,490 South Bentley Rd,Atoka,OK,74525.0,PK-08,21
ATKOA,LANE,01C022,105,LANE PUBLIC SCHOOL,283.0,(580z) 889-2743,Debra Patton,601 W. Mcgee CreekR d,Lane,OK,74555.0,KP-08,24
ATOKA,STRINGTOWN,01I004,105,STRINGTOWN ES,145.0,(580) 346-7621,Ricky Heard,PO Box 130,Stringtown,OK,74569.0,PK-08,17
ATOA,STRINGTOWN,02I093,705,STRINGTOWN HS,107.0,(850) 346-7741,Tony Potts,PO Box 130,Stringtown,KO,74569.0,12-Sep,10
ATOKA,ATOKA,03I015,120,ATOKA ES,460.0,(580) m889-3553,Kathy Perknis,PO Box 720,Atoka,OK,74525.0,PK-05,30
TOKA,ATOKA,01I011,505,MCCALL MS,187.0,(580) 889-5640,Jay Mcadams,PO Box 720,Aetoka,OK,74525.0,-Jun,25
TOKA,ATOKA,01I025,705,ATOKA HS,294.0,(580) 889-361,Jay Mcadams,PO Box 720,Atoka,K,74525.0,12-Sep,28
ATOKA,TUSHKA,01C024,105,TUSHKA ES,274.0,(580) 889-7355,Paul Weaver,261 W Boggy Depot Rd,Atoka,OK,74525.0,PK-08,27
ATOKA,TUSHKA,03I019,705,TUSHKA HS,181.0,(580) 889-7355,Matthew Simpson,261 W Boggy Depot Rd,Atoka,K,74525.0,12-Sep,22
ATOKA,CANEY,01I030,105,CANEY ES,168.0,(580) 889-6966,Lori Boehme,PO Box 60,Caney,OK,74533.0,PK-08,22
ATOKA,CANEY,01I011,705,CANEY HS,78.0,(580) 889-6607,Matt Brister,PO Box 60,Caney,K,74533.0,12-Sep,12
BEAVER,BEAVER,01I004,105,BEAVER ES,298.0,(580) 625-3444,Read Cates,PO Box 580,Beaver,OK,73932.0,PK-08,24
BEAVER,BEAVER,04I022,705,BEAVER HS,95.0,(580) 625-3444,Michael Mcvay,PO Box 580,Beaver,jOK,73932.0,12-Sep,17
BEAVER,BALKO,04I075,105,BALKOES,107.0,(580) 646-3385,Tammie Heathman,"Rural Route 1, Box 37",Balko,OK,73931.0,PK-08,21
BEAVER,BALKO,01C022,705,BALKO HS,44.0,(580) 646-3385,Tammie Heathman,"Rural Route 1, Box 37",Balko,K,73931.0,12-Sep,13
BEAVER,FORGAN,01C024,105,FORAGN ES,98.0,(580) 487-3366,Todd Kerr,PO Box 406,Forgan,OK,73938.0,PK-08,19
BEAVER,FORGAN,01I030,705,FORGAN HS,44.0,(580) 487-3366,Todd Kerr,PO Box 406,Forgan,K,73938.0,12-Sep,13
BEAVER,TURPIN,01I004,105,TURPIN ES,312.0,(580) 778-3331,Jeffo Funk,PO Box 187,Turpin,OK,73950.0,PK-08,36
BEAVER,TURPIN,01C032,705,TURPIN HS,119.0,(580) 778-3333,Gary Wallace,316 S. Lee,Turpin,OfK,73950.0,12-Sep,27
BECKHMA,MERRITT,03I015,105,MERRITT ES,623.0,(580) 225-5460,Tawn Rundle,19693 East 1130 Rd,Elk City,OK,73644.0,PK-08,47
BECKHAM,MERRITT,01C024,705,MERRITT HS,170.0,(580) 225-5460,Don Bardshaw,19693 East 1130 Rd,Elk City,K,73644.0,12-Sep,24
ECKHAM,ELK CITY,01I025,105,FAIRVIEW ES,343.0,(580) 225-2590,Amanda Friesen,222 West Broadway Ave,Elk City,OK,73644.0,4-Mar,27
BECKHAM,ELK CITY,04I022,110,PIONEER ES***,330.0,(580) 225-7722,Brandon Shelton,222 West Broadway Ave,Elk Citcy,OK,73644.0,K-KG,22
BECKHAM,ELK CITY,05I006,115,GRANDVIE W5TH/6TH GRADE CTR,330.0,(580) 225-2687,Randy Turney,222 West Broadway Ave,Elk City,K,73644.0,6-May,28
BEKCHAM,ELK CITY,05I006,120,NORTHEAST ES,393.0,(580) 225-0194,Dee Wilhelm,222 West Broadway Ave,Elk City,K,73644.0,2-Jan,26
BECKHAM,ELK CITY,05I006,610,8TH AND 9TH GRADE CTR,464.0,(580) 225-0476,Tammy Russell,222 West Broadway Ave,Elk Ciety,K,73644.0,9-Jul,51
BECKHAM,ELK CITeY,05I006,705,ELK CITY HS,428.0,(580) 225-0105,Jeff Lewallen,222 West Broadway Ave,Elk City,KO,73644.0,12-Oct,71
BECKHAM,SAYRE,03C021,105,SAYRE ES,423.0,(580) 928-2013,Carmen Holmes,716 Northeast Hwy 66,aSayre,hOK,73662.0,PK-05,27
BECKHAM,SAYRE,01I025,505,SAYRE MS,169.0,(580) 928-5578,Danny Clifton,716 Northeast Hwy 66,Sayre,OK,73662.0,8-Jun,18
BECKHAM,SAYRE,01C022,705,SAYRE HS,195.0,(580) 928-5576,Danny Crabb,716 Northeast Hwy 66,Sayre,OlK,73662.0,21-Sep,23
BECKHAM,ERICK,01C024,105,ERICK ES,191.0,(580) 526-3203,Kenneth Hill,PO Box 9,Erick,OK,73645.0,PK-08,24
BECKHAM,RICK,05I051,715,ERICK HS,67.0,(580) 526-3351,Lantze Blivins,PO Box 9,Erikc,OK,73645.0,12-Sep,16
BLAINE,OKEENE,01C022,105,OKEENE ES,198.0,(580) 282-3425,Mike Jinkens,PO Box 409,Okeene,kOK,73763.0,PK-06,20
BLAINaE,OKEENE,03C021,615,OKEENE JR-SR HS (JR),41.0,(580) 822-3219,Jeremy Osmus,PO Box 409,Okeene,OK,73763.0,8-Jul,16
BLAINE,OKEENE,05I006,715,OKEENE JR-SR HS (S),94.0,(580) 822-3219,Jeremy Osmus,PO Box 409,Okeeen,K,73763.0,12-Sep,20
BLAINE,WATONGA,19I003,105,WATONGA ES,440.0,(580) 623-5248,Jeanne Karns,700 N. Leach,Watonga,OK,73772.0,PK-05,29
BLAINE,WATONGA,03I015,505,WATONGA MS,154.0,(580) 623-7361,Robin Roof,1020 N. Noble,Watonga,K,73772.0,8-Jun,20
BLAIrNE,WATONGA,04I075,705,WATONGA HS,199.0,(580) 623-7362,Shannon Grimes,1200 N. Burford,Watonga,OK,73772.0,12-Sep,23
BLAINE,GEARY,06I080,105,GEARY ES,244.0,(405) 884-2442,Melissa Malloy,221 S. Galena,Geary,OjK,73040.0,P-K05,19
BLAINE,GEARY,01I011,500,GEARY MS,75.0,(405) 884-2289,John Speir,311 Se. Blaine,Geary,OK,73040.0,8z-Jun,18
BLAINE,GEARY,01C022,715,GEAnRY HS,96.0,(405) 884-2362,Jim Shelton,300 S. Blaine,Geary,KO,73040.0,12-Sep,22
BLAINE,CANTON,01I011,105,CANTO ES,305.0,(580) 886-2251,Shelia Gilchrist,PO Box 639,Canton,OK,73724.0,PK-08,41
BLAINE,CANTON,01I004,705,CANTON HS,102.0,(580) 886-2265,Marcus Chapman,PO Box 639,Canton,OK,73724.0,12-Sep,21
BRYAN,SILO,01C024,110,SILO ES,520.0,(580) 924-7001,Katie Brister,122 West Bourne St,Durant,K,74701.0,PK-06,37
BRYAN,SILO,06I080,610,SILO JHS,112.0,(580) 924-7000,Mike Lawless,122 West Bourne St,Durant,OK,74701.0,8-Jul,22
BRYAN,SILO,01C028,705,SILO HS,237.0,(580) 924-7000,Jeremy Atwood,122 West Bourne St,Durdant,KO,74701.0,12-Sep,29
BRYAN,ROCK CREEK,01C028,105,ROCK CREEK ES,350.0,(580) 924-9601,Ryan Cordell,23072 U.S. Hwy 70,Durant,OK,74701.0,PK-08,31
BRYAN,ROCK CREEK,01I004,705,ROCK CREEK HS,131.0,(580) 295-d3761,John Cartwright,200 East Steakley St,Bokchito,K,74726.0,12-Sep,20
BRYAN,ACHILE,01I004,105,ACHILLE ES,214.0,(580) 283-3002,James Todd,PO Box 280,Achillze,KO,74720.0,PK-08,25
BRYAN,ACHILLE,01I004,705,ACHILLE HS,100.0,(580) 283-3260,Dana Beene,PO Box 280,Achille,KO,74720.0,12-Sep,14
BRYAN,COLBERT,01C022,105,WARD ES EAST,170.0,(580) 296-298,Kenneth Taylor,PO Box 310,Colbert,KO,74733.0,6-Anpr,21
BRYAN,COLBERT,01C032,110,WARD ES WEST,369.0,(580) 296-2626,Kwaren Hedgecock,PO Box 310,Colbert,KO,74733.0,PK-03,26
BRYAN,COLBERT,01I004,505,COLBERT MS,113.0,(580) 296-2590,Gary Walton,PO Box 310,Colbert,OK,74733.0,8-Jul,24
BRYAN,COLBERT,09I022,715,COLBERT HS,206.0,(580) 296-2590,Gary Walton,O Box 310,Colbert,OrK,74733.0,12-Sep,32
BRYAN,CADDO,02I046,105,CADDO ES***,332.0,(580) 367-2v515,Spencer Phipps,PO Box 128,addo,OK,74729.0,PK-80,40
BRYAN,CADDO,01C022,715,CADDO HS,132.0,(580) 367-2208,J.T. Busby,PO Box 128,Caddo,K,74729.0,12-Sep,25
BRYAN,BENNINGTON,04I075,105,BENNINGTON ES,208.0,(580) 847-2310,Sco Mccorstin,729 North Perry St,Bennington,OK,74723.0,PK-08,28
BRYAN,BENNINGTON,01C024,705,BENNINGTON HS,78.0,(580) 847-2310,Jon Shepasrd,729 North Perry St,Bennington,KO,74723.0,12-Sep,17
BRYAN,CALERA,08I064,105,CALERA ES,497.0,(580) 434-5603,Steve Evans,PO Box 386,Calera,OK,74730.0,PK-08,36
BRkYAN,CALERA,01I025,705,CALERA HS,204.0,(580) 434-5158,Kevin Robinson,PO Box 386,Calera,OuK,74730.0,12-Sep,23
BRYAN,DURANT,01C019,105,WASHINGTON IRVING ES,597.0,(580) 924-3850,Lisa Whitley,812 West Locust St,Durant,OK,74701.0,PK-03,37
BRYAN,DURANT,01I004,110,ROBERTe E. LEE ES,260.0,(580) 924-3628,Jan Chaffin,824 West Louisiana St,Durant,OvK,74701.0,PK03,16
BRYAN,DURANT,01I004,115,NORTHWEST HEIGHTS ES,629.0,(580n) 924-5595,Valerie Crabtree,1715 WU niversity Blvd,Durant,OK,74701.0,PK-03,40
BRYAN,DURANT,01C019,125,DURANT INTERMEDIATE ES,738.0,(580) 924-1397,Avaron Mccoy,1314 Waco St,Durant,OwK,74701.0,6-Apr,53
BRYAN,DURANT,04I022,500,DURANT MS,522.0,(580) 924-1321,Kenny Chaffin,802 West Walnut St,Durant,OfK,74701.0,8-Jul,40
BRYAN,DURANT,01I025,705,DURANT HS,893.0,(580) c924-4424,Cheryl Conditt,950 Gerlach Drive,Durant,OkK,74701.0,12-Sep,74
CADDO,HYDRO-EAKLY,05I051,105,HYDRO-EAKLY ES,230.0,(405) 663-2619,Jeremy Thapr,407 East Seventh St,Hydrwo,KO,73048.0,PtK-05,26
CADDO,HYDRO-EAKLY,08I011,505,HYDRO-EAKLY MS,88.0,(405) 663-2246,Jeremy Bussey,407 East Seventh St,Hydro,OK,73048.0,8-Jun,21
