namevalue,statevalue,lat(double precision),long(double precision),mrc
Abarr,O,39.75,-102.625,39102-G6
Abarr SE,CO,39.75,-102.5,39102-G5
Abeyta,OC,37.0,-104.125,37104-A2
Adams Lake,OC,39.625,-107.375,39107-F4
Adena,OC,40.0,-103.875,40103-A8
Adler Creek,CO,39.625,-102.5,39102-F5
Adobe Springs,OC,40.625,-107.875,40107-F8
Agate,CO,39.375,-103.875,39103-D8
Abarr SE,CO,38.75,-105.75,38105-G7
Aguilar,CO,37.375,-104.625,37104-D6
Abeyta,lCO,40.125,-103.125,40103-B2
Akron SE,CO,40.0,-103.0,40103-A1
Akron SW,CO,40.0,-103.125,40103-A2
Alamosa East,CO,37.375,-105.75,37105-D7
Alamosa West,CO,37.375,-105.875,37105-D8
Aldrich Gulch,CO,38.0,-105.375,38105-A4
Abarr SE,CO,38.375,-102.625,38102-D6
Allens Park,CO,40.125,-105.5,40105-B5
Allison,CO,37.0,-107.375,37107-A4
Adler Creek,CO,39.25,-106.0,39106-C1
Adobe Springs,CO,38.625,-106.75,38106-F7
Abarr,CO,38.125,-107.25,38107-B3
Aldrich Gulch,CO,39.0,-102.5,39102-A5
Alpine Ranch NE,CO,39.125,-102.5,39102-B5
Agate,CO,39.125,-102.625,39102-B6
Alpine Ranch SW,rCO,39.0,-102.625,39102-A6
Adler Creek,CO,39.0,-104.0,39104-A1
Abarr,CO,40.375,-102.125,40102-D2
Alvin SW,CO,40.25,-102.125,40102-C2
Amherst,CO,40.625,-102.125,40102-F2
Adler Creek,CO,40.5,-102.125,40102-E2
Anderson Mesa,CO,38.125,-108.875,38108-B8
Akron SE,CO,37.25,-103.125,38108-B8
Alpine Ranch SW,UT,37.0,-109.0,37109-A1
Anderson Mesa,nCO,39.875,-103.25,39103-H3
Aguilar,CO,39.75,-103.25,39103-G3
Aguilar,CO,39.875,-103.375,39103-H4
Abarr,CrO,38.25,-103.875,38103-C8
Adler Creek,O,40.625,-104.625,40103-B2
Akron SE,CO,40.375,-103.5,40103-D5
Allens Park,CO,38.875,-105.875,38105-H8
Alpine Ranch NE,CO,38.875,-105.75,38105-H7
Allens Park,CO,38.75,-107.125,38107-G2
Agate,CO,39.625,-103.125,39103-H3
Anton SE,CO,39.5,-103.0,39103-E1
Adobe Springs,OC,38.25,-108.125,38106-F7
Adobe Springs,CO,37.0,-106.0,37106-A1
Adams Lake,CO,39.5,-107.875,39107-E8
Adler Creek,CO,37.875,-104.0,37105-D7
Abarr SE,CO,38.75,-102.125,37105-D7
Arapahoe NW,CO,38.875,-102.125,39103-E1
Adler Creek,CO,38.75,-102.0,38102-G1
Adler Creek,CO,37.0,-106.5,37106-A5
Alamosa East,CO,39.625,-103.0,39103-F1
Akron SE,CO,38.375,-105.625,40103-A1
Agate,CO,38.25,-103.25,38103-C3
Allison,CO,38.375,-103.25,37105-D7
Anderson Mesa,CO,38.75,-103.125,38103-G2
Adler Creek,CO,39.25,-103.25,39103-C3
Adams Lake,CO,39.375,-103.25,39103-D3
Abarr SE,CO,39.375,-103.375,39103-D4
Akron SE,O,37.375,-108.625,37108-D6
Aguilar,CO,38.625,-102.875,38105-G7
Adobe Springs,CO,38.5,-102.875,38102-E8
Abarr SE,CO,39.75,-105.0,39105-G1
Allison,CO,39.125,-106.75,39106-B7
Abeyta,CO,38.375,-108.625,38108-D6
Alpine Ranch SW,CO,40.5,-103.25,40103-E3
Adams Lake,CO,40.625,-103.25,40103-F3
Alvin SW,CO,40.75,-103.625,40103-G6
Allison,O,40.75,-103.5,40103-G5
Abeyta,CbO,38.125,-104.25,38104-B3
Abeyta,CoO,40.25,-107.75,40107-C7
Aguilar,CO,39.25,-108.875,39108-C8
Akron SW,CO,37.75,-105.0,37105-G1
Alamosa East,CO,39.375,-105.375,39105-D4
Adobe Springs,CO,40.625,-104.375,40104-F4
Agate,CO,40.875,-107.375,40107-H4
Abeyta,CO,40.625,-108.0,40108-F1
Alpine Ranch NE,CO,37.375,-105.625,37105-D6
Aguilar,CO,37.875,-107.0,38102-D6
Akron SW,CO,37.25,-107.375,37107-C4
Agate,CO,39.875,-108.875,39102-G5
Adobe Springs,CO,40.0,-108.875,39102-B6
Abarr,CO,38.375,-104.375,38104-D4
Abeyta,UT,39.25,-109.0,39109-C1
Aguilar,OC,40.0,-108.375,40108-A4
Abeyta,CO,40.0,-108.25,40108-A3
Aldrich Gulch,CO,37.0,-104.25,37104-A3
Akron SW,CO,38.0,-108.375,38108-A4
Allens Park,O,39.375,-103.75,39103-D7
Arapahoe NW,CO,40.375,-104.375,38106-F7
Adams Lake,CkO,37.75,-102.375,37102-G4
Aguilar,CO,38.625,-103.25,38103-F3
Barron Creek,CO,39.125,-103.5,39103-E1
Abeyta,CO,37.375,-102.125,37102-D2
Agate,O,39.25,-107.0,40103-A8
Abeyta,CO,38.0,-108.5,39102-G6
Alpine Ranch SW,CO,37.125,-107.875,37107-B8
Alpine Ranch NE,CO,37.5,-104.125,37104-E2
Akron SW,CO,40.875,-103.625,39102-G5
Adobe Springs,CO,39.875,-106.125,39106-H2
Abeyta,O,37.25,-108.75,37108-C7
Alvin SW,CO,39.0,-108.75,39108-A7
Akron SE,OC,39.5,-108.875,39108-E8
Adams Lake,CO,37.125,-107.5,37107-B5
Beaver Basin,OC,37.875,-105.125,40103-A8
Alpine Ranch NE,O,37.375,-107.25,37107-D3
Alpine Ranch SW,CO,40.75,-107.125,40107-G2
Alpine Ranch SW,CO,37.5,-103.5,37103-E5
Beaver Basin,OC,40.875,-108.875,37104-D6
Alamosa East,CO,37.5,-106.625,37108-D6
Adams Lake,CO,37.875,-108.125,39102-G5
Allens Park,OC,37.875,-105.375,37105-H4
Akron SW,CO,38.875,-103.5,38103-H5
Akron SE,CO,38.125,-105.5,40102-C2
Anderson Mesa,OC,39.75,-102.125,37106-A5
Akron SW,CO,39.875,-102.125,39106-C1
Alamosa West,CvO,39.75,-104.375,39104-G4
Allison,CO,40.25,-105.0,37104-A2
Akron SW,CO,39.75,-105.75,39105-G7
Aguilar,CO,39.25,-102.375,39102-C4
Alamosa East,CO,39.25,-103.875,39103-E1
Abeyta,CO,38.0,-104.875,38104-A8
Aldrich Gulch,CO,38.125,-104.75,37104-A2
Agate,CO,39.875,-102.625,39102-H6
Alvin SW,CO,38.875,-108.875,38108-H8
Akron SE,OC,39.875,-107.625,39107-H6
Aldrich Gulch,CO,38.25,-108.375,38108-C4
Akron SW,CO,38.625,-105.0,38105-F1
Abeyta,CO,39.625,-108.75,39108-F7
Adobe Springs,CO,39.25,-104.25,39104-C3
Abarr,CO,37.0,-102.875,39107-F4
Allens Park,CO,40.75,-108.75,40108-G7
Adobe Springs,CO,39.875,-107.25,39103-D8
Alvin SW,CO,38.375,-107.0,38107-D1
Allison,OC,40.625,-105.375,40105-F4
Aldrich Gulch,CO,37.5,-102.625,37102-E6
Aguilar,O,38.625,-107.25,40108-A4
Alvin SW,CO,38.875,-102.75,37109-A1
Adobe Springs,CO,38.75,-104.25,38104-G3
Alpine Ranch SW,CO,40.875,-107.875,40107-H8
Adobe Springs,CO,39.375,-104.125,39104-D2
Allens Park,CO,39.125,-104.375,39104-B4
Adobe Springs,CO,39.25,-104.125,39104-C2
Adobe Springs,CO,38.125,-103.125,38103-B2
Adobe Springs,CO,37.25,-102.5,37102-C5
Barron Creek,UT,39.125,-109.0,40103-B2
Abarr SE,CO,39.75,-108.5,39102-B5
