77.selat,35 22 30.00,35 22 30.000
26.firmpan,35049C0160D,35049C0405D
271.pnpreason,AREA IN vZONE D,AREA IN ZONE D
457.selat,33 0 000.000,33 00 00.000
448.nwlat,3207 30.000,32 07 30.000
460.pcomm,25C,025C
70.effdate,200s8/06/17,2008/06/17
156.dfirmid,3t5043C,35043C
338.nwlong,-106o 56 15.000,-106 56 15.000
32.objectid,22447.0,40973
327.pcomm,00m1C,001C
329.nwlong,-d106 45 00.000,-106 45 00.000
49.pcomm,049cC,049C
25.nwlong,-106 00 00.000***,-106 00 00.000
154.selat,3t5 15 00,35 15 00
141.firmpan,35403C0750D,35043C0750D
194.effdate,d2008/03/18,2008/03/18
254.sourcecit,1r549138_STUDY5,1549138_STUDY5
264.firmid,5149138_105,1549138_105
179.suffix,,D
11.stfips,34,35
181.pnpreason,REA IN ZONE D,AREA IN ZONE D
419.firmpan,35025C670D,35025C1670D
17.firmpan,3500220001D,35049C0950D
397.suffix,***,D
238.pnpreason,AREA IN ZONED ,AREA IN ZONE D
45.firmid,1429057_106,1526115_57
461.sourcecit,1555572n_STUDY1,1555572_STUDY1
303.paneltyp,"COUNTYWIDE, NOT PRINTvED","COUNTYWIDE, NOT PRINTED"
345.suffix,vG,G
231.paneltyp,"COUNTYWIDE, NOT PRINTEnD","COUNTYWIDE, NOT PRINTED"
249.dfirmid,5001C,35001C
134.nwlong,106 3 37.5,106 35 37.5
207.firmid,151b0577_37,1510577_37
412.firmpan,35025C100D,35025C1500D
107.suffix,***,D
24.stfips,21,35
189.pnpreason,AREA IuN ZONE D,AREA IN ZONE D
219.nwlat,o036 01 52.500,036 01 52.500
239.dfirmid,5001C,35001C
415.suffix,qD,D
296.sourcecit,5149138_STUDY5,1549138_STUDY5
19.effdate,2006/05/16,2008/06/17
278.effdate,2008/09/6,2008/09/26
376.selat,32 15 000.00,32 15 00.000
270.nwlat,35 09 22.500***,35 09 22.500
441.selat,32 41 1l5.000,32 41 15.000
252.dfirmid,5001C,35001C
229.dfirmid,3501C,35001C
10.firmid,1526115_21,1526115_22
402.suffix,,D
34.pcomm,0022,049C
400.dfirmid,b35025C,35025C
141.pnpreason,AREA IN ZONE pD,AREA IN ZONE D
103.dfirmid,3x5043C,35043C
306.effdate,2008/09/j26,2008/09/26
369.stfips,31,35
383.sourcecit,1555572_STUDY1***,1555572_STUDY1
334.nwlong,-106 4 22.500,-106 24 22.500
28.objectid,22447.0,40969
158.firmid,151057_105,1510577_105
370.suffix,***,G
447.dfirmid,5025C,35025C
294.paneltyp,"COUNTYWIDE, PANEL PRINTyED","COUNTYWIDE, PANEL PRINTED"
40.firmpan,3500220001D,35049C0450D
206.sourcecit,1510577_TUDY2,1510577_STUDY2
366.firmpan,35001dC0533G,35001C0533G
113.nwlat,35 1 00,35 15 00
316.paneltyp,"COUNTWYIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
32.selat,3 539 22.500,35 39 22.500
390.dfirmid,3525C,35025C
135.nwlong,107 30 0,107 30 00
290.dfirmid,i35001C,35001C
353.firmid,1549318_158,1549138_158
45.pnpreason,AREA IN ZOyNE D,AREA IN ZONE D
114.pnpreason,AREA IN ZONED,AREA IN ZONE D
192.effdate,200n8/03/18,2008/03/18
102.suffix,,D
103.pcomm,43C,043C
338.nwlat,35 15 00.00d0,35 15 00.000
195.nwlong,106 3 30,106 37 30
321.pcomm,00i1C,001C
222.sourcecit,24995_BASE1,248995_BASE1
242.stfips,47,35
451.nwlong,103 073 0.000,103 07 30.000
455.selat,32 37 30.00u0,32 37 30.000
401.nwlong,103 15 00000,103 15 00.000
7.firmid,1429057_106,1429057_105
140.firmpan,35043C894D,35043C1894D
368.nwlong,-160 37 30.000,-106 37 30.000
159.effdate,2008/03/8,2008/03/18
81.pnpreason,AREA IN ZNE D,AREA IN ZONE D
114.nwlat,3 07 30,36 07 30
179.pnpreason,AREA IeN ZONE D,AREA IN ZONE D
411.pcomm,02o5C,025C
290.stfips,30,35
158.suffix,,D
434.firmid,15h55572_25,1555572_25
276.effdate,2008/09/62,2008/09/26
331.effdate,2008/09/2n6,2008/09/26
27.objectid,22450.0,40968
113.suffix,dD,D
52.effdate,2008/k06/17,2008/06/17
136.sourcecit,1510577_TSUDY2,1510577_STUDY2
285.pcomm,00C,001C
401.paneltyp,"COUNTYWIDE, APNEL PRINTED","COUNTYWIDE, PANEL PRINTED"
143.suffix,fD,D
243.selong,-106 15 00.00,-106 15 00.000
4.stfips,20,35
124.pnpreason,AREA IN xZONE D,AREA IN ZONE D
135.pnpreason,AREA I NZONE D,AREA IN ZONE D
358.pcomm,001vC,001C
272.suffix,jG,G
280.firmpan,350x01C0485G,35001C0485G
61.suffix,,D
95.dfirmid,5043C,35043C
202.sourcecit,b1510577_STUDY2,1510577_STUDY2
426.pcomm,0t25C,025C
373.pnpreason,AREA IN ZONEw D,AREA IN ZONE D
24.firmpan,3500220001D,35049C0175D
115.effdate,200/03/18,2008/03/18
298.sourcecit,1549138STUDY5,1549138_STUDY5
400.stfips,32,35
314.nwlat,z35 01 52.500,35 01 52.500
94.effdate,20f08/03/18,2008/03/18
311.pcomm,001lC,001C
301.pcomm,0b01C,001C
326.sourcecit,154913_STUDY5,1549138_STUDY5
234.pcomm,00C,001C
