493.yearvalue,20122-014,2012-2014
925.strataname,NHPI-NH,Female
1116.strataname,Asian-NH,Total
348.strataname,Female,White-NH
1335.strata,Saex,Sex
338.geography,Oange,Orange
729.indicatorvalue,Suicied,Suicide
966.strataname,White-NH,Male
1343.indicatorvalue,Suicicde,Suicide
478.strataname,Male,Hisp
425.geography,San Bernardion,San Bernardino
381.strataname,Total,White-NH
696.strata,Sezx,Sex
794.strataname,AIAN-NH,Female
1354.strataname,White-NH,Total
596.geography,olano,Solano
548.strataname,Male,White-NH
1043.strataname,AIAN-NH,Female
838.strataname,White-NH,Male
705.strata,Sewx,Sex
138.strataname,Female,Asian-NH
773.strataname,AIAN-NH,Total
230.strataname,Total,White-NH
1065.strata,eSx,Sex
613.geography,Sftanislaus,Stanislaus
281.strataname,Female,White-NH
778.strata,Sxe,Sex
1237.strataname,Asian-NH,Total
694.strata,ex,Sex
247.strataname,Female,Multi-NH
705.yearvalue,200y0-2002,2000-2002
255.strataname,Total,Black-NH
605.strataname,Male,White-NH
1058.strata,Serx,Sex
412.geography,San Bernardinyo,San Bernardino
1185.indicatorvalue,uicide,Suicide
1109.strataname,Asian-NH,Total
975.yearvalue,2006-0208,2006-2008
86.yearvalue,2006-200a8,2006-2008
180.strataname,Male,White-NH
497.yearvalue,200-2002,2000-2002
711.strata,ex,Sex
1361.strataname,AIAN-NH,Total
111.strataname,Female,Multi-NH
914.strata,ex,Sex
806.strata,Soex,Sex
1192.strataname,NHPI-NH,Female
294.strataname,Total,Hisp
1345.indicatorvalue,Sucide,Suicide
321.strataname,Female,Black-NH
547.strataname,Total,Hisp
932.strata,ex,Sex
573.strataname,Total,White-NH
954.strataname,Black-NH,Male
483.strataname,Female,Hisp
305.strataname,Female,White-NH
1002.strataname,Asian-NH,Total
248.indicatorvalue,Sbuicide,Suicide
659.strataname,Female,Hisp
1073.indicatorvalue,Suricide,Suicide
340.geography,Oarnge,Orange
832.indicatorvalue,Suicirde,Suicide
724.strataname,White-NH,Male
1201.strataname,Asian-NH,Male
937.indicatorvalue,Susicide,Suicide
1281.strata,eSx,Sex
121.yearvalue,2012-2041,2012-2014
1117.indicatorvalue,Suicde,Suicide
666.strataname,Male,White-NH
465.strataname,Female,Asian-NH
880.strataname,NHPI-NH,Total
1009.strata,Sx,Sex
1320.strataname,Asian-NH,Male
136.strataname,Total,Hisp
1204.strataname,AIAN-NH,Male
523.strataname,Female,Hisp
1171.strataname,White-NH,Female
399.strataname,Total,White-NH
602.strataname,Total,Hisp
1294.strataname,Hisp,Female
849.strata,Sxe,Sex
209.strataname,Total,White-NH
132.strataname,Male,Multi-NH
306.indicatorvalue,uSicide,Suicide
1218.indicatorvalue,Suicied,Suicide
1308.strata,Sx,Sex
1281.indicatorvalue,Spuicide,Suicide
653.yearvalue,20032-005,2003-2005
55.strataname,Total,Asian-NH
875.strata,Sepx,Sex
510.strataname,Male,White-NH
1207.strata,Sxe,Sex
94.strataname,Total,Asian-NH
651.indicatorvalue,Suiicde,Suicide
1084.strataname,AIAN-NH,Male
740.strataname,White-NH,Total
1157.strata,ex,Sex
248.strataname,Total,White-NH
158.indicatorvalue,Suiczide,Suicide
765.yearvalue,200-2002,2000-2002
1304.strataname,Asian-NH,Female
55.indicatorvalue,Sucide,Suicide
10.indicatorvalue,Suiide,Suicide
1235.strataname,White-NH,Total
831.strata,eSx,Sex
440.strataname,Female,Multi-NH
216.strataname,Male,Black-NH
646.strataname,Total,White-NH
81.strataname,Male,White-NH
1027.strataname,White-NH,Total
971.strata,Sxe,Sex
972.strata,Sbex,Sex
214.indicatorvalue,Siucide,Suicide
689.geography,Hmboldt,Humboldt
404.strataname,Female,White-NH
477.strataname,Male,Black-NH
328.indicatorvalue,Suiicde,Suicide
1143.strata,Syex,Sex
549.indicatorvalue,Suicidbe,Suicide
