2320.yearvalue,1684,2014
576.facilityidone,2.20000022E8,70000146
1403.county,pLos Angeles,Los Angeles
4478.facilityidone,930000225,930000140
758.facilityidone,8.0000144E7,930000032
4140.facilityidone,930000129,930000091
1329.yearvalue,1537,2014
5364.facilityidone,930000122,930000071
4844.hai,"ealthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
932.facilityidone,9.30000005E8,90000025
4925.county,Los nAgeles,Los Angeles
1335.facilityidone,9.30000008E8,30000146
917.county,San Francsico,San Francisco
4522.facilitynameone,Twin Cities Cowmmunity Hospital,Twin Cities Community Hospital
4629.facilityidone,70000238,70000146
2066.county,Los Angees,Los Angeles
868.comparison,No Differene,No Difference
5228.facilitynameone,Sutterz Amador Hospital,Sutter Amador Hospital
1291.facilityidone,1.40000425E8,930000103
4757.statevalue,Cmalifornia,California
5133.county,Sacrtamento,Sacramento
801.facilityidone,1.40000425E8,250000707
5466.county,Kenr,Kern
916.facilityidone,1.40000425E8,930000125
1305.facilityidone,1.40000425E8,110000068
1925.facilityidone,9.30000008E8,60000074
72.facilitynameone,Community Memorial Hospital - San Buenaventura,Presbyterian Intercommunity Hospital
4799.county,Contra Cbosta,Contra Costa
4906.county,Los Angzeles,Los Angeles
4630.facilityidone,930000187,930000105
938.facilityidone,1.40000425E8,80001470
4598.facilitynameone,"Kaiser Foundatio Hospital, Oakland/Richmond","Kaiser Foundation Hospital, Oakland/Richmond"
912.county,kSanta Clara,Santa Clara
5117.operativeprocedure,Thoraicc surgery,Thoracic surgery
4253.yearvalue,2100,2014
4874.county,rOange,Orange
4820.county,Santa lCara,Santa Clara
4476.facilitynameone,Sharp MemorialHospital,Sharp Memorial Hospital
4046.facilityidone,30001444,30001370
3519.facilitynameone,Sutter Maternity & Surgery Center of Santa Curz,Sutter Maternity & Surgery Center of Santa Cruz
4543.county,Scan Francisco,San Francisco
1059.statevalue,Claifornia,California
5413.county,Ornage,Orange
4480.county,Tuhlare,Tulare
4822.county,Snata Clara,Santa Clara
2724.county,San Fprancisco,San Francisco
730.facilityidone,1.40000425E8,250000006
1901.facilityidone,9.30000034E8,630011844
4255.county,lAameda,Alameda
2620.county,El Doraod,El Dorado
2677.yearvalue,2405,2014
3536.facilitynameone,Wbashington Hospital,Washington Hospital
3132.operativeprocedure,Appendi xsurgery,Appendix surgery
2763.county,San Diesgo,San Diego
744.facilitynameone,El Camino Hospiatl Los Gatos,El Camino Hospital Los Gatos
2806.facilitynameone,Garden Grove Hospital and Medicla Center,Garden Grove Hospital and Medical Center
2818.hai,"Healthcare Associated Infectio,n Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
4518.facilitynameone,Thousand Oaksh Surgical Hospital,Thousand Oaks Surgical Hospital
4454.facilityidone,930000144,930000125
146.facilityidone,9.30000026E8,930000004
1804.facilityidone,7.0000137E7,930000133
1010.facilityidone,9.30000026E8,630012960
864.county,Monterye,Monterey
883.hai,"Healthcare Associated Infectino, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1383.county,Alaemda,Alameda
4882.facilitynameone,O'Connor Hospuital,O'Connor Hospital
816.yearvalue,1622,2014
892.facilityidone,8.0000144E7,930000066
1933.facilityidone,9.30000005E8,70000153
559.county,Sacramenuto,Sacramento
1684.facilityidone,4.0000129E7,930000056
2797.county,aSnta Clara,Santa Clara
3161.county,Ventucra,Ventura
2451.facilitynameone,St. Mary's Medicl Center,St. Mary's Medical Center
1741.county,Sacrmento,Sacramento
4970.county,San Brnardino,San Bernardino
5408.county,Ken,Kern
4837.facilityidone,60000045,60000024
4555.facilityidone,630012966,630012960
5022.hai,"Healthcare Associate dInfection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
5494.facilityidone,250000434,250000344
3926.facilitynameone,University oof California Irvine Medical Center,University of California Irvine Medical Center
4519.county,Los Angles,Los Angeles
3648.yearvalue,2012,2014
389.facilityidone,7.0001351E7,110000044
1611.facilitynameone,Alhambra Hospital Medical Center,University of California Irvine Medical Center
177.operativeprocedure,Abkdominal hysterectomy,Abdominal hysterectomy
2604.hai,"Healthcare Associated Infection, Surgical Site Infekctions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
4724.hai,"Healthcare Astsociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1851.county,Sonmoa,Sonoma
4194.county,Rivesride,Riverside
2669.county,anta Clara,Santa Clara
5463.facilitynameone,Sn Francisco General Hospital,San Francisco General Hospital
4645.hai,"Healthcare Associated Infecteion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
3841.county,Sant Cruz,Santa Cruz
25.yearvalue,2291,2014
4292.county,Contra Csta,Contra Costa
1327.county,Alamoeda,Alameda
909.facilityidone,4.0000129E7,40000126
4126.county,San wDiego,San Diego
1648.county,Los Angelexs,Los Angeles
3392.hai,"Healthcare Associated lInfection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
5303.county,Sanat Cruz,Santa Cruz
5251.county,San Benrardino,San Bernardino
2287.county,SanM ateo,San Mateo
550.county,adera,Madera
3112.county,Los iAngeles,Los Angeles
2871.facilityidone,930000149,930000105
4765.county,Imeprial,Imperial
1023.county,San Bernadrino,San Bernardino
5458.facilitynameone,Saint Louise Regioal Hospital,Saint Louise Regional Hospital
2895.facilitynameone,Rideou Memorial Hospital,Rideout Memorial Hospital
1692.facilitynameone,Community Regional Medical Center,Garfield Medical Center
4934.notes,"Hospitals reported cobmined data, see Data Dictionary","Hospitals reported combined data, see Data Dictionary"
1464.facilityidone,4.0000129E7,60000038
4287.county,Rivesride,Riverside
1526.notes,"Hospitals reported combined data, see Data Dictionray","Hospitals reported combined data, see Data Dictionary"
1607.facilityidone,9.30000004E8,220000031
2017.facilityidone,9.30000004E8,40000949
5060.facilitynameone,Fountain Valley Regional Hospital & Megdical Center,Fountain Valley Regional Hospital & Medical Center
