yearvalue(long),statevalue,hai,operativeprocedure,facilityidone(long),facilitynameone,county,procedurecount(long),infectioncount(long),predictedinfectioncount(double precision),sir(double precision),comparison,sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),notes
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000002.0,AHMC Anaheim Regional Medical Center,Orange,13,0,0.13,0.0,No Difference****,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000074.0,Anaheim Global Medical Center,Orange,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008.0,Antelope Valley Hospital,Los Angeles,2,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000100.0,Arrowhead Regional Medical Center,San Bernardino,1,0,0.06,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominale aortic aneurysm repair,120001330.0,Bakersfield Heart Hospital,Kern,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
1444,California,"Healthcare Associated Infection, Surgical Site Infectios (SSI)",Abdominal aortic aneurysm repair,60000074.0,Bakersfield Memorial Hospital,Kern,5,0,0.09,0.0,No Difference*,0.0,1.26,* See ata Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000002.0,California Hospital Medical Center - Los Angeles,Los Angeles,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Califronia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000022.0,California Pacific Medical Center - Pacific Campus Hospital,San Francisco,3,0,0.22,0.0,No Difference*,0.0,16.77,* See Data Dictionary
1564,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000074.0,Cedars-Sinai Medical Center,Los Angeles,4,0,0.09,0.0,NoD ifference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000014.0,Children's Hospital & Research Center Oakland,Alameda,8,0,0.08,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, SurgicalSite Infections (SSI)",Abdominal aortic aneurysm repair,930000034.0,Children's Hospital Los Angeles,Los Angeles,14,0,0.14,0.0,No Differene*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000070.0,Citrus Valley Medical Center - IC Campus,Los Angeles,3,0,0.06,0.0,No Difference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm reapir,70000137.0,Community Hospital of The Monterey Peninsula,Monterey,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000014.0,Community Memorial Hospital - San Buenaventura,Ventura,26,0,0.33,0.0,No Difference*,0.0,11.18,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000074.0,Community Regional Medical Center,Fresno,2,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dicitonary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000100.0,Desert Regional Medical Center,Riverside,49,0,0.74,0.0,No Difference*,0.0,4.99,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000122.0,Doctors Medical Center,Stanislaus,9,0,0.1,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infectoin, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000139.0,Dominican Hospital,Santa Cruz,2,0,0.07,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000122.0,East Los Angeles Doctors Hospital,Los Angeles,2,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000011.0,Eisenhower Medical Center,Riverside,3,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70001351.0,El Camino Hospital,Santa Clara,4,0,0.06,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominaln aortic aneurysm repair,930000070.0,El Centro Regional Medical Center,Imperial,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical SiteI nfections (SSI)",Abdominal aortic aneurysm repair,240000100.0,Enloe Medical Center - Esplanade,Butte,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008.0,Fountain Valley Regional Hospital & Medical Center,Orange,11,0,0.22,0.0,No Difference*,0.0,17.16,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000022.0,French Hospital Medical Center,San Luis Obispo,1,0,0.01,0.0,No Difference*,0.0,1.26,* See aDta Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000059.0,Glendale Adventist Medical Center,Los Angeles,2,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000093.0,Glendale Memorial Hospital and Health Center,Los Angeles,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000034.0,"Good Samaritan Hospital, Los Angeles",Los Angeles,2,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000139.0,"Good Samaritan Hospital, San Jose",Santa Clara,7,0,0.09,0.0,No Dfiference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000014.0,Grossmont Hospital,San Diego,3,0,0.06,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000012.0,Hemet Valley Medical Center,Riverside,3,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000014.0,Hoag Memorial Hospital Presbyterian,Orange,2,0,0.26,0.0,No Difference*,0.0,14.3,* See Data Digctionary
2015,aClifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000011.0,AHMC Anaheim Regional Medical Center,Los Angeles,53,0,0.43,0.0,No Difference*,0.0,8.64,* See Dta Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000100.0,"Kaiser Foundation Hospital and Rehab Center, Vallejo",Solano,1,0,0.01,0.0,No Difference*,0.0,1.26,*See Data Dictionary
1805,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,250000012.0,"Kaiser Foundation Hospital, Fontana",San Bernardino,7,0,0.18,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000137.0,"Kaiser Foundation Hospital, Fresno",Fresno,1,0,0.03,0.0,No Diference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000122.0,"Good Samaritan Hospital, San Jose",Los Angeles,11,0,0.67,0.0,No Difference*,0.0,5.51,* See Data Dictionry
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000002.0,"Kaiser Foundation Hospital, Manteca",San Joaquin,2,0,0.03,0.0,No Difference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120001330.0,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,3,0,0.05,0.0,No Diference*,0.0,1.26,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000093.0,"Kaiser Foundation Hospital, Panorama City",Los Angeles,2,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infectionj, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000070.0,"Kaiser Foundation Hospital, Riverside",Riverside,2,1,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000074.0,"Kaiser Foundation Hospital, Roseville",Placer,3,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictpionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000022.0,"Kaiser Foundation Hospital, Sacramento",Sacramento,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dctionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000008.0,Community Memorial Hospital - San Buenaventura,San Francisco,7,0,0.12,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000022.0,"Kaiser Foundation Hospital, San Jose",Santa Clara,2,0,0.21,0.0,No Difference*,0.0,17.74,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000139.0,"Kaiser Foundation Hospital, San Leandro",Alameda,2,0,0.03,0.0,No Dinfference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000014.0,"Kaiser Foundation Hospital, Santa Clara",Santa Clara,3,0,0.05,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,110000508.0,"Kaiser Foundation Hospital, Santa Rosa",Sonoma,1,0,0.02,0.0,No Dfference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal caortic aneurysm repair,930000059.0,"Kaiser Foundation Hospital, South Bay",Los Angeles,1,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000133.0,"Kaiser Foundation Hospital, South Sacramento",Sacramento,1,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120001330.0,"Kaiser Foundation Hospital, Santa Rosa",Contra Costa,6,0,0.15,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008.0,"Kaiser Foundation Hospital, Woodland Hills",Los Angeles,2,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,30000122.0,Kaweah Delta Medical Center,Tulare,2,1,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000074.0,Keck Hospital of USC,Los Angeles,19,0,0.9,0.0,No Difference*,0.0,4.09,* See Data Dictionary
