16.sex,Mael,Male
251.raceethnicity,"Asian, noqn-Hispanic","Asian, non-Hispanic"
53.characteristic,Total,"Total - Black, non-Hispanic"
105.sex,Femle,Female
125.characteristic,Total - Male,"White, non-Hispanic"
94.note,Reporting standars not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
210.raceethnicity,"White, no-nHispanic","White, non-Hispanic"
243.characteristic,Total,"Asian, non-Hispanic"
283.raceethnicity,"Two or more races, non-sHispanic","Two or more races, non-Hispanic"
205.raceethnicity,"Whtie, non-Hispanic","White, non-Hispanic"
60.raceethnicity,"Blhack, non-Hispanic","Black, non-Hispanic"
148.characteristic,Total - Female,Hispanic
157.characteristic,Total - Male,"Asian, non-Hispanic"
80.characteristic,Total,"Total - Asian, non-Hispanic"
160.characteristic,Total,"Asian, non-Hispanic"
114.characteristic,Total,"Total - Two or more races, non-Hispanic"
194.characteristic,Total - Male,"Two or more races, non-Hispanic"
204.characteristic,Total,"Two or more races, non-Hispanic"
57.characteristic,Total,"Total - Black, non-Hispanic"
87.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
68.characteristic,Total,Total - Hispanic
191.raceethnicity,"Americn Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
220.characteristic,Total,"Black, non-Hispanic"
231.characteristic,Total,Hispanic
76.note,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percet or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
39.characteristic,Total - Female,"Total - White, non-Hispanic"
141.characteristic,Total,"Black, non-Hispanic"
133.characteristic,Total,"Black, non-Hispanic"
278.raceethnicity,"Two or more races, nn-Hispanic","Two or more races, non-Hispanic"
286.note,Reporting standardsn ot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
122.characteristic,Total,"White, non-Hispanic"
187.raceethnicity,"American Indian/Aalska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
212.characteristic,Total,"White, non-Hispanic"
201.characteristic,Total,"Two or more races, non-Hispanic"
189.raceethnicity,"American Indian/Alauska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
152.characteristic,Total,Hispanic
211.characteristic,Total - Male,"White, non-Hispanic"
31.note,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50l percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
228.characteristic,"Total - White, non-Hispanic","Black, non-Hispanic"
177.note,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficienmt of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
192.raceethnicity,"American Indtian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
262.raceethnicity,"Pcific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
262.sex,Femle,Female
109.characteristic,Total,"Total - Two or more races, non-Hispanic"
275.raceethnicity,"Americanz Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
150.characteristic,Total - Male,Hispanic
263.raceethnicity,"Pacific Islander, non-Hisqpanic","Pacific Islander, non-Hispanic"
118.sex,Femuale,Female
247.characteristic,Total,"Asian, non-Hispanic"
88.characteristic,Total,"Total - Pacific Islander, non-Hispanic"
22.raceethnicity,"Amreican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
139.characteristic,Total - Male,"Black, non-Hispanic"
97.sex,Femae,Female
203.raceethnicity,"Two or more races, non-Hispankic","Two or more races, non-Hispanic"
267.raceethnicity,"American Indian/Alaska Natve, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
281.note,Rceporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
121.characteristic,Total,"White, non-Hispanic"
221.characteristic,Total - Male,"Black, non-Hispanic"
50.characteristic,Total,"Total - Black, non-Hispanic"
256.note,Reporting standards not met. Either there are too few cases for a reliable estimate or he coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
56.characteristic,Total,"Total - Black, non-Hispanic"
237.sex,Feamle,Female
85.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
83.characteristic,Total - Female,"Total - Asian, non-Hispanic"
287.raceethnicity,"Tow or more races, non-Hispanic","Two or more races, non-Hispanic"
10.note,Reporting standards not met. Either tehre are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
71.characteristic,Total - Male,Total - Hispanic
241.characteristic,Total - Male,"Asian, non-Hispanic"
184.note,Reporting standards not met. Either there are too few cases for a reliable esitmate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
73.characteristic,Total,"Total - Asian, non-Hispanic"
108.raceethnicity,"American Igndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
164.characteristic,Total,"Asian, non-Hispanic"
104.raceethnicity,"American Indian/Alaska Native, onn-Hispanic","American Indian/Alaska Native, non-Hispanic"
253.raceethnicity,"Pacific Islander, nton-Hispanic","Pacific Islander, non-Hispanic"
274.raceethnicity,"American Indian/Alasa Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
137.characteristic,Total,"Black, non-Hispanic"
169.characteristic,Total - Male,"Pacific Islander, non-Hispanic"
126.characteristic,Total,"White, non-Hispanic"
