characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue(double precision),standarderroroncount(double precision),noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,56.8,5.45,Reporting standards not met.,1512961.0,157692.8,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,47.2,4.41,Reporting standards not met.,1281270.0,128024.3,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,52.2,5.5,Reporting standards not met.,1429116.0,163034.8,Rporting standards not met.
Total,Femle,"American Indian/Alaska Native, non-Hispanic",2003,45.6,4.67,Reporting standards not met.,1270011.0,139587.0,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,46.3,4.19,Reporting standards not met.,1311629.0,126617.1,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,47.2,4.76,Reporting standards not met.,1281270.0,145528.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,47.5,4.61,yReporting standards not met.,1351422.0,140348.7,Reporting standards not met.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2007,37.9,4.23,Reporting standards not met.,1102128.0,132008.0,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,35.2,4.2,Reportng standards not met.,1351422.0,129394.5,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,28.4,3.95,Rpeorting standards not met.,1270011.0,122398.1,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,29.9,3.93,Reporting tandards not met.,1270011.0,124489.2,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,33.9,3.82,Rpeporting standards not met.,1008453.0,120751.8,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,35.7,3.58,Reporting standards not met.,1096232.0,115788.2,Reporting standards not emt.
"Total - Black, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,64.9,7.26,Reporting standards not met.,1351422.0,107086.4,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,52.4,5.86,Reporting standards not met.,711430.0,86046.8,Reporting standards not met.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2002,58.0,7.16,Reporting standards not met.,792960.0,107648.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,48.0,5.95,Reporting standards not met.,1351422.0,90058.0,Reporting standards not met.
