39.countvalue,388254,48302
287.noteonrate,Repotring standards not met.,Reporting standards not met.
200.noteoncount,Repgorting standards not met.,Reporting standards not met.
272.noteonrate,Reoprting standards not met.,Reporting standards not met.
118.countvalue,201131,—
282.countvalue,,—
203.raceethnicity,"Amelrican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
164.raceethnicity,Hismpanic,Hispanic
63.characteristic,Total - Male,"Total - Black, non-Hispanic"
53.characteristic,Total,"Total - Black, non-Hispanic"
194.standarderroroncount,,—
60.noteoncount,Data not available.,Reporting standards not met.
123.noteonrate,Reporting stadards not met.,Reporting standards not met.
237.countvalue,s—,—
268.countvalue,i—,—
103.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
306.noteoncount,Reporting stnadards not met.,Reporting standards not met.
115.characteristic,Total - Hispanic,"Total - American Indian/Alaska Native, non-Hispanic"
259.noteoncount,Reporting standards not mte.,Reporting standards not met.
232.standarderroroncount,***,—
145.noteonrate,Reporting standards not me.t,Reporting standards not met.
30.countvalue,299738,135277
74.characteristic,Total - Female,Total - Hispanic
210.noteoncount,Datanot available.,Data not available.
181.raceethnicity,"Asian, non-Hispainc","Asian, non-Hispanic"
260.noteoncount,Reporting standads not met.,Reporting standards not met.
65.sex,emale,Female
242.raceethnicity,"Black, non-Hispaic","Black, non-Hispanic"
274.standarderroroncount,***,—
274.noteoncount,Datan ot available.,Data not available.
138.countvalue,211763,121763
49.characteristic,Total,"Total - White, non-Hispanic"
101.characteristic,Total - Female,"Total - Pacific Islander, non-Hispanic"
133.characteristic,"White, non-Hipsanic","White, non-Hispanic"
121.noteoncount,Data not available.,Reporting standards not met.
62.standarderroroncount,39648.1,22748.4
307.sex,Femae,Female
38.standarderroroncount,27947.5,22853.2
272.raceethnicity,"xAsian, non-Hispanic","Asian, non-Hispanic"
64.countvalue,388254,65478
254.noteonrate,Reporting standard snot met.,Reporting standards not met.
132.noteoncount,Reportign standards not met.,Reporting standards not met.
172.sex,Mael,Male
155.noteoncount,Reporting standards ot met.,Reporting standards not met.
265.noteoncount,Reporting standarzds not met.,Reporting standards not met.
274.sex,eFmale,Female
252.countvalue,,—
61.sex,Feale,Female
45.noteoncount,Data not available.,Reporting standards not met.
36.characteristic,"Total - Asian, non-Hispanic",Total - Female
36.noteoncount,Data not available.,Reporting standards not met.
261.noteoncount,Data not availabel.,Data not available.
287.raceethnicity,"American Indian/Alaska Native, non-Hisanic","American Indian/Alaska Native, non-Hispanic"
149.noteoncount,Reporting standards not me.,Reporting standards not met.
176.raceethnicity,"Asian, non-Hispanci","Asian, non-Hispanic"
56.noteoncount,Data not available.,Reporting standards not met.
69.noteoncount,Data not available.,Reporting standards not met.
189.noteoncount,Reportng standards not met.,Reporting standards not met.
12.noteoncount,Data not available.,Reporting standards not met.
273.standarderroroncount,w—,—
81.standarderroroncount,,—
283.raceethnicity,"Pacyific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
89.noteoncount,Data not available.,Reporting standards not met.
116.countvalue,186456,—
263.noteoncount,Data notq available.,Data not available.
