fiscal_year,fy_start,fy_end,datevalue,gfoa_distinguished_budget_award,object_id
FY 2022/23,2022,2023,2023/06/30 07:00:00+00,Yes,1
FY 2021/22,2021,2022,2022/06/30 07:00:00+00,Yes,2
FY 2020/21,2020,2021,2021/06/30 07:00:00+00,Yes,3
FY 2019/20,2019,2020,2020/06/30 07:00:00+00,Yes,4
FY 2018/19,2018,2019,2019/06/30 07:00:00+00,Yes,5
FY 2017/18,2017,2018,2018/06/30 07:00:00+00,Yes,6
FY 2016/17,2016,2017,2017/06/30 07:00:00+00,Yes,7
FY 2015/16,2015,2016,2016/06/30 07:00:00+00,Yes,8
FY 2014/15,2014,2015,2015/06/30 07:00:00+00,Yes,9
FY 2013/14,2013,2014,2014/06/30 07:00:00+00,Yes,10
FY 2012/13,2012,2013,2013/06/30 07:00:00+00,Yes,11
FY 2011/12,2011,2012,2012/06/30 07:00:00+00,Yes,12
FY 2010/11,2010,2011,2011/06/30 07:00:00+00,Yes,13
FY 2009/10,2009,2010,2010/06/30 07:00:00+00,Yes,14
FY 2008/09,2008,2009,2009/06/30 07:00:00+00,Yes,15
FY 2007/08,2007,2008,2008/06/30 07:00:00+00,Yes,16
