16.dataset,v2014-2018,2014-2018
40.age_range,3-544,35-44
37.age_range,2c5-64,25-64
10.age_range,2j5-64,25-64
45.datevalue,2014/12/31 07:c00:00+00,2014/12/31 07:00:00+00
37.datevalue,2015/12/31 07:00:00+00***,2015/12/31 07:00:00+00
10.datevalue,218/12/31 07:00:00+00,2018/12/31 07:00:00+00
52.ge_oid,600000US0473000,1600000US0473000
33.datevalue,2016/12/31 0:700:00+00,2016/12/31 07:00:00+00
29.dataset,2012-2016 ACS 5-year estimaet,2012-2016 ACS 5-year estimate
42.datevalue,2015/12/31 0:00:00+00,2015/12/31 07:00:00+00
35.ge_oid,100000US0473000,1600000US0473000
13.datevalue,201812/31 07:00:00+00,2018/12/31 07:00:00+00
20.locationvalue,"Tempe ,Arizona","Tempe, Arizona"
9.age_range, 25 years an dolder, 25 years and older
33.ge_oid,600000US0473000,1600000US0473000
51.sex,aMle,Male
52.age_range,53-44,35-44
9.locationvalue,"Tegmpe, Arizona","Tempe, Arizona"
2.datevalue,2021/12/f31 07:00:00+00,2021/12/31 07:00:00+00
24.age_range,25-46,25-64
40.ge_oid,160000US0473000,1600000US0473000
6.locationvalue,"Temple, Arizona","Tempe, Arizona"
21.age_range,25k-34,25-34
32.sex,Feemale,Female
11.age_range,256-4,25-64
53.datevalue,2014/12/31 07:00g:00+00,2014/12/31 07:00:00+00
11.sex,Femael,Female
27.age_range,4-64,45-64
18.datevalue,2018/12/31 07:00:0y0+00,2018/12/31 07:00:00+00
53.locationvalue,"Tempe, Aritzona","Tempe, Arizona"
2.ge_oid,160000US0473000,1600000US0473000
4.age_range, 25 years an older, 25 years and older
40.sex,Femle,Female
31.sex,Femalae,Female
22.ge_oid,160q0000US0473000,1600000US0473000
4.locationvalue,"Tempe,e Arizona","Tempe, Arizona"
30.dataset,2012-2016 ACS 5-year estmate,2012-2016 ACS 5-year estimate
36.locationvalue,Tempe Arizona,"Tempe, Arizona"
24.ge_oid,1g600000US0473000,1600000US0473000
51.ge_oid,6100000US0473000,1600000US0473000
1.age_range, 25 yeahrs and older, 25 years and older
48.locationvalue,"Teme, Arizona","Tempe, Arizona"
18.sex,Mael,Male
26.age_range,35w-44,35-44
49.datevalue,2014/12/31 n07:00:00+00,2014/12/31 07:00:00+00
52.locationvalue,"Tempe ,Arizona","Tempe, Arizona"
19.dataset,2013-201h7 ACS 5-year estimate,2013-2017 ACS 5-year estimate
51.dataset,2010-2014 ACS 5-year pestimate,2010-2014 ACS 5-year estimate
15.ge_oid,1600000US047300z0,1600000US0473000
29.locationvalue,"Temep, Arizona","Tempe, Arizona"
28.sex,ll,All
14.ge_oid,1600000S0473000,1600000US0473000
33.age_range,z25-64,25-64
27.sex,Mahle,Male
31.datevalue,2016/12/31 070:0:00+00,2016/12/31 07:00:00+00
45.ge_oid,t1600000US0473000,1600000US0473000
39.age_range,25-4,25-34
15.sex,aMle,Male
6.age_range, 25 years and oler, 25 years and older
16.ge_oid,6100000US0473000,1600000US0473000
41.age_range,25-6d4,25-64
39.ge_oid,1600w000US0473000,1600000US0473000
40.dataset,2011-2015 ACS5 -year estimate,2011-2015 ACS 5-year estimate
27.ge_oid,160000US0473000,1600000US0473000
17.ge_oid,600000US0473000,1600000US0473000
50.datevalue,2104/12/31 07:00:00+00,2014/12/31 07:00:00+00
36.datevalue,20161/2/31 07:00:00+00,2016/12/31 07:00:00+00
12.sex,tFemale,Female
41.ge_oid,1600000S0473000,1600000US0473000
34.ge_oid,160000v0US0473000,1600000US0473000
50.age_range,256-4,25-64
23.ge_oid,1600000US073000,1600000US0473000
41.dataset,2011-2015 ACS 5-year estmiate,2011-2015 ACS 5-year estimate
44.age_range,456-4,45-64
17.locationvalue,Tempe Arizona,"Tempe, Arizona"
22.sex,Fmeale,Female
19.locationvalue,Tempe Arizona,"Tempe, Arizona"
29.age_range,256-4,25-64
53.sex,ale,Male
28.age_range,o25-64,25-64
20.datevalue,2017/12/31 07:00:0+000,2017/12/31 07:00:00+00
