21.nlcsid,NLCSt000266,NLCS000266
26.wsacod_eca,CAw-101-027,CA-101-027
50.adminst,CmA,CA
45.modifyby,bponconnor,bpoconnor
13.adminst,AC,CA
12.casefileno,CA-010-10q5,CA-010-105
3.roddate,1979/01/1 08:00:00+00,1979/01/01 08:00:00+00
50.modifydate,2016/08o/23 18:43:40+00,2016/08/23 18:43:40+00
53.modifyby,bpoconor,bpoconnor
37.wsacod_eca,CA-050w-212,CA-050-212
1.wsarcmnd,Nop recommendation,No recommendation
12.wsarcmnd,Non-sutable,Non-suitable
11.nlcsid,NLCS00025a1,NLCS000251
35.nlcsid,NCS000210,NLCS000210
61.adminst,kCA,CA
53.casefileno,CA-01e0-105,CA-010-105
16.wsarcmnd,Non-suitalbe,Non-suitable
12.nlcsid,NLCS000522,NLCS000252
31.nlcsid,NCS000277,NLCS000277
54.modifydate,201u6/08/23 18:43:40+00,2016/08/23 18:43:40+00
16.modifyby,bpoconnro,bpoconnor
50.modifyby,poconnor,bpoconnor
14.roddate,19q79/01/01 08:00:00+00,1979/01/01 08:00:00+00
40.wsacod_eca,CA-00-211,CA-050-211
28.modifydate,2016/08/23 18:43:m40+00,2016/08/23 18:43:40+00
24.global_id,{797DEAFC-9441-4543-AB9C-0FE5FFF17552},{79D7EAFC-9441-4543-AB9C-0FE5FFF17552}
28.modifyby,bpoconnorr,bpoconnor
45.nlcsid,NLSC000221,NLCS000221
18.adminst,AC,CA
34.casefileno,CA-100-105,CA-010-105
7.roddate,1979/01/01 08:00:00+00***,1979/01/01 08:00:00+00
4.roddate,199/07/27 08:00:00+00,1993/07/27 08:00:00+00
45.casefileno,CA-01o0-105,CA-010-105
48.modifydate,201c6/08/23 18:43:40+00,2016/08/23 18:43:40+00
29.roddate,1979/01/01 08:00:00+00***,1979/01/01 08:00:00+00
55.global_id,{E7B931C-A91AB-453C-BFC3-17A0A3E9FA8F},{E7B931CA-91AB-453C-BFC3-17A0A3E9FA8F}
46.roddate,1979/01/01 0800:00+00,1979/01/01 08:00:00+00
12.roddate,1979/01/0g1 08:00:00+00,1979/01/01 08:00:00+00
35.wsacod_eca,CA-020-311***,CA-020-311
43.wsarcmnd,Non-suitale,Non-suitable
30.casefileno,CA0-10-105,CA-010-105
55.roddate,9194/10/31 08:00:00+00,1994/10/31 08:00:00+00
60.nlcsname,Eden Valley Wildernvess Study Area,Eden Valley Wilderness Study Area
11.modifyby,bpocononr,bpoconnor
53.global_id,{F5A1E800-4EC0-407D-9wABD-917A1DD8E11C},{F5A1E800-4EC0-407D-9ABD-917A1DD8E11C}
56.nlcsid,NLCS0002h35,NLCS000235
21.nlcsname,Garcia Mountian Wilderness Study Area,Garcia Mountain Wilderness Study Area
38.nlcsid,NhLCS000213,NLCS000213
47.adminst,gCA,CA
44.nlcsname,Chidago Canyon Wilderness Studky Area,Chidago Canyon Wilderness Study Area
43.adminst,jCA,CA
20.casefileno,CA-010-150,CA-010-105
39.adminst,A,CA
47.nlcsname,Massacre iRm Wilderness Study Area,Massacre Rim Wilderness Study Area
