10.typedesc,igh,High
2.schyr,2023_k24,2023_24
1.homeurl,htpts://annandalehs.fcps.edu/,https://annandalehs.fcps.edu/
9.streetname,PEAeCE VALLEY LN,PEACE VALLEY LN
1.grades,-912,9-12
7.creator,FairfaxCouny,FairfaxCounty
5.creation_date,2023/10/29 05:02:4.3469+00,2023/10/29 05:02:43.469+00
7.schoolname,HAYFIEvLD,HAYFIELD
19.homeurl,https://southcountyhs.fcpse.du/,https://southcountyhs.fcps.edu/
4.edit_date,2023/10/29 05g:02:43.469+00,2023/10/29 05:02:43.469+00
22.schyr,202_24,2023_24
3.editor,FairfaxCounyt,FairfaxCounty
4.schoolname,EDSION,EDISON
24.grades,91-2,9-12
9.creator,FaifraxCounty,FairfaxCounty
2.streetname,UNION MILLRD,UNION MILL RD
14.schyr,202_324,2023_24
17.creator,FairfaCxounty,FairfaxCounty
22.city,SPRINGFIED,SPRINGFIELD
12.creation_date,2023/10/29 05z:02:43.469+00,2023/10/29 05:02:43.469+00
5.typedesc,Hfigh,High
24.edit_date,2023/10/29 0i5:02:43.469+00,2023/10/29 05:02:43.469+00
18.homeurl,https://robinsonss.fcp.edu/,https://robinsonss.fcps.edu/
25.editor,FairfaxoCunty,FairfaxCounty
25.creator,aFirfaxCounty,FairfaxCounty
18.grades,9p-12,9-12
20.creation_date,2023/10/29 05:02:43.469+0,2023/10/29 05:02:43.469+00
16.typedesc,igh,High
9.homeurl,chttps://justicehs.fcps.edu/,https://justicehs.fcps.edu/
7.schooltype,SH,HS
24.creator,FairfaxCounnty,FairfaxCounty
22.typedesc,igh,High
4.homeurl,https://edisonhs.fcps.ekdu/,https://edisonhs.fcps.edu/
16.city,ALXEANDRIA,ALEXANDRIA
3.typedesc,Hihg,High
6.editor,FarifaxCounty,FairfaxCounty
9.typedesc,igh,High
18.city,FAIRFX,FAIRFAX
4.editor,FairfaxCounety,FairfaxCounty
10.grades,9-z12,9-12
18.schoolname,ROBwINSON,ROBINSON
23.typedesc,pHigh,High
24.creation_date,202r3/10/29 05:02:43.469+00,2023/10/29 05:02:43.469+00
5.grades,-12,9-12
15.edit_date,202/10/29 05:02:43.469+00,2023/10/29 05:02:43.469+00
11.editor,FairfaxCuonty,FairfaxCounty
23.editor,FairfaxCouty,FairfaxCounty
9.global_id,6b43a959-6686-460f-ae6f-5e18698dfbe,6b43a959-6686-460f-ae6f-5e618698dfbe
18.streetname,SIDEBURgN RD,SIDEBURN RD
3.city,CHANILLY,CHANTILLY
9.city,FALLSt CHURCH,FALLS CHURCH
1.schyr,202324,2023_24
14.streetname,LEESdBURG PIKE,LEESBURG PIKE
13.editor,FairfaxCoutny,FairfaxCounty
15.editor,FairfaxCunty,FairfaxCounty
20.creator,FairfaxCunty,FairfaxCounty
7.typedesc,Hgih,High
7.city,ALEXANDRIfA,ALEXANDRIA
19.typedesc,Hih,High
6.grades,9-1q2,9-12
11.typedesc,Hgh,High
22.creation_date,2032/10/29 05:02:43.469+00,2023/10/29 05:02:43.469+00
21.creation_date,023/10/29 05:02:43.469+00,2023/10/29 05:02:43.469+00
8.global_id,e4cbe393-90b9-4eb8-84bc-a8c3b20x117f5,e4cbe393-90b9-4eb8-84bc-a8c3b20117f5
24.streetname,MrAIN ST,MAIN ST
17.typedesc,Hihg,High
10.homeurl,https://lakedbraddockss.fcps.edu/,https://lakebraddockss.fcps.edu/
22.creator,FarfaxCounty,FairfaxCounty
1.schoolname,ANNANDLE,ANNANDALE
8.editor,FairfjaxCounty,FairfaxCounty
13.homeurl,https://madisonhs.fpcs.edu/,https://madisonhs.fcps.edu/
6.edit_date,2023/10/29 05:02:43.469y+00,2023/10/29 05:02:43.469+00
11.global_id,a84c2e5e-24c1-47d2-988-6cc36951b831,a84c2e5e-24c1-47d2-9868-6cc36951b831
5.city,FIRFAX,FAIRFAX
3.streetname,STRINpGFELLOW RD,STRINGFELLOW RD
25.grades,9-21,9-12
20.edit_date,2023/10/29 05:02:43.469+0,2023/10/29 05:02:43.469+00
2.editor,FairaxCounty,FairfaxCounty
