74.fishconsumption,Fully Supportging,Fully Supporting
149.shellfish,Fully Supporting Commercial Harvesting whee Authorized,Fully Supporting Commercial Harvesting where Authorized
108.namevalue,LIS WB Offshore - reenwich,LIS WB Offshore - Greenwich
101.recreation,Fluly Supporting,Fully Supporting
150.id_three_zero_five_b,CT-W_3014,CT-W3_014
152.fishconsumption,Faully Supporting,Fully Supporting
90.id_three_zero_five_b,CT-C3_0c10,CT-C3_010
160.locationvalue,"See Map for Boundaries.  Central portion of LIS from Clark Point to Sachem Head area (includes Horse and FoskettI slands), out approximately 1000 ft offshore, Guilford.","See Map for Boundaries.  Central portion of LIS from Clark Point to Sachem Head area (includes Horse and Foskett Islands), out approximately 1000 ft offshore, Guilford."
133.marineaquaticlife,Fully Supprting,Fully Supporting
48.shellfish,Not Supporting Commercial Harvestingw here Authorized,Not Supporting Commercial Harvesting where Authorized
101.id_three_zero_five_b,CT-E20_09-SB,CT-E2_009-SB
140.namevalue,"LIS WB Inner - Norwalk Hrbr (MarvineBach), Norwalk","LIS WB Inner - Norwalk Hrbr (MarvinBeach), Norwalk"
12.fishconsumption,Not Supportng,Not Supporting
74.id_three_zero_five_b,CTC3_019-I,CT-C3_019-I
129.recreation,Not Assesed,Not Assessed
78.fishconsumption,Fully Supportwing,Fully Supporting
68.id_three_zero_five_b,C-TC3_003,CT-C3_003
47.recreation,Not Supportibng,Not Supporting
160.recreation,oNt Assessed,Not Assessed
35.fishconsumption,Flly Supporting,Fully Supporting
25.recreation,Fully Supportign,Fully Supporting
73.shellfish,Not Supporting Haresting for Direct Consumption,Not Supporting Harvesting for Direct Consumption
170.id_three_zero_five_b,CT-2_008,CT-W2_008
131.recreation,Not mAssessed,Not Assessed
163.locationvalue,"See Map for Boundaries.  Western portion of LIS from Compo Cove to Burying Hill Road area (includes Sherwood Island State Park Beach, Sherwood Point, Sherwood Millpond outlet, Greens Farms Brook outlet) out approximately 100 ft offshore, Westport.","See Map for Boundaries.  Western portion of LIS from Compo Cove to Burying Hill Road area (includes Sherwood Island State Park Beach, Sherwood Point, Sherwood Millpond outlet, Greens Farms Brook outlet) out approximately 1000 ft offshore, Westport."
62.fishconsumption,Fully Supprting,Fully Supporting
46.recreation,Not Supporing,Not Supporting
77.locationvalue,"See Map for Boundaries.  Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at New Haven Harbor (near Lighthouse Point Beach) t, US to saltwater limit above Route 337, East Haven/New Haven.","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at New Haven Harbor (near Lighthouse Point Beach) to, US to saltwater limit above Route 337, East Haven/New Haven."
101.shellfish,Fully Supporting Commercial Harvesting where Authorizeed,Fully Supporting Commercial Harvesting where Authorized
104.shellfish,Not Supporitng Harvesting for Direct Consumption,Not Supporting Harvesting for Direct Consumption
162.fishconsumption,Fullby Supporting,Fully Supporting
6.id_three_zero_five_b,CT-1E_022,CT-E1_022
149.recreation,Not Assesesd,Not Assessed
141.locationvalue,"See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth (Greenway Island to Pratt Island Two), to Holly Pond outlet at Brush Island (includes Quigley, East (Cove Island), and Weed Beachs), Stamford/Darien.","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth (Greenway Island to Pratt Island Two), to Holly Pond outlet at Brush Island (includes Quigley, East (Cove Island), and Weed Beaches), Stamford/Darien."
9.recreation,Not Asessed,Not Assessed
63.namevalue,"LIS CBM idshore - Thimble Islands, Branford","LIS CB Midshore - Thimble Islands, Branford"
75.id_three_zero_five_b,CT-C1_00-4SB,CT-C1_004-SB
13.locationvalue,"See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Saugatuck River Estuary (at Bluff Point across to Owenoke), US to RR crossing, DS of I95 crossing (includes Kitts Island, Burritt Cove),Westport.","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Saugatuck River Estuary (at Bluff Point across to Owenoke), US to RR crossing, DS of I95 crossing (includes Kitts Island, Burritt Cove), Westport."
112.marineaquaticlife,Not Spuporting,Not Supporting
87.recreation,Fqully Supporting,Fully Supporting
44.id_three_zero_five_b,CTb-E1_023,CT-E1_023
20.shellfish,Not Supporting Harvestingf or Direct Consumption,Not Supporting Harvesting for Direct Consumption
54.locationvalue,"See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Connecticut Rvier from I95 crossing, US to area just above Brockway Island, Essex.","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Connecticut River from I95 crossing, US to area just above Brockway Island, Essex."
89.shellfish,Not Supporting Harvesting fo rDirect Consumption,Not Supporting Harvesting for Direct Consumption
113.id_three_zero_five_b,CT-C2_203,CT-C2_023
22.fishconsumption,Fully Supproting,Fully Supporting
133.fishconsumption,uFlly Supporting,Fully Supporting
112.fishconsumption,Fully Suppourting,Fully Supporting
45.shellfish,Not Supporting Harvestiung for Direct Consumption,Not Supporting Harvesting for Direct Consumption
69.marineaquaticlife,Not Suepporting,Not Supporting
84.id_three_zero_five_b,CT-E1_11-SB,CT-E1_011-SB
135.locationvalue,"See Map for Boundaries.  Central portion of LIS, Inner Estuary, Patchogue and Menunketesuck Rivers from mouhts at Grove Beach Point, US to saltwater limits just above I95 crossing, and at I95 crossing respectively, Westbrook.","See Map for Boundaries.  Central portion of LIS, Inner Estuary, Patchogue and Menunketesuck Rivers from mouths at Grove Beach Point, US to saltwater limits just above I95 crossing, and at I95 crossing respectively, Westbrook."
139.id_three_zero_five_b,C-TW1_012-SB,CT-W1_012-SB
103.recreation,Not sAsessed,Not Assessed
73.marineaquaticlife,No Assessed,Not Assessed
88.fishconsumption,ully Supporting,Fully Supporting
108.locationvalue,See Map for Boundaries.  Western portion of LIS from 50ft contour to CiT/NY State line.,See Map for Boundaries.  Western portion of LIS from 50ft contour to CT/NY State line.
112.shellfish,Not Supporting Harvesting for Direct oCnsumption,Not Supporting Harvesting for Direct Consumption
171.locationvalue,"See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Byrant Point at Connecticut/New York state line, to Brush Island, Captain Harbor area), ouvt to just beyond Great Captain Island to Wee Captain Island, Greenwich.","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Byrant Point at Connecticut/New York state line, to Brush Island, Captain Harbor area), out to just beyond Great Captain Island to Wee Captain Island, Greenwich."
69.locationvalue,"See Map for Boulndaries.  Central portion of LIS, Inner Estuary, SB water of inner Clinton Harbor, including mouths of Hammonasset, Indian, Hammock Rivers, and Dudley Creek (includes Esposito Beach), Clinton.","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SB water of inner Clinton Harbor, including mouths of Hammonasset, Indian, Hammock Rivers, and Dudley Creek (includes Esposito Beach), Clinton."
37.recreation,Not Assessed***,Not Assessed
119.id_three_zero_five_b,aCT-W2_020,CT-W2_020
162.marineaquaticlife,No Assessed,Not Assessed
42.locationvalue,"See Map forB oundaries.  Eastern portion of LIS, Inner Estuary, Inner Palmer Cove waters from North side of Groton Long Point Road crossing, past RR crossings to saltwater limit, Groton.","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Palmer Cove waters from North side of Groton Long Point Road crossing, past RR crossings to saltwater limit, Groton."
37.fishconsumption,Fxully Supporting,Fully Supporting
