objectid(long),id_three_zero_five_b,cyclevalue(long),namevalue,locationvalue,nhdbasin(long),acres(double precision),aquaticlife,recreation,fishconsumption,drinkingwatersupply,impaired,shape_area(double precision),shape_length(double precision)
1,CT7103-00-2-L5_01,2012,Pembroke Lakes (Bridgeport),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)",1100006,2.74,Not Supporting,Not Assessed,Fully Suppoting,Water Not Classified For Drinking Supply,Yes,119447.385192871,3245.84224236113
2,CT8104-00-2-L5_01,2012,Mamanasco Lake (Ridgefield),Northwest Ridgefield.,2030101,85.9,Not Supporting,Not Suppxorting,Fully Supporting,Not Assessed,Yfes,3741697.38323975,11258.4021938887
3,CT7409-00-1-L3_01,2012,Putnam Lake Reservoir (Greenwich),"Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich.",1100006,95.56,Not Supporting,Not Assessed,Fully Supporting,Fully Supporting,eYs,4162510.79046631,14645.9219289646
5,CT7103-00-2-L3_01,2012,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.",1100006,15.79,Not Supporting,Not Assmessed,Fully dSupporting,Water Not Classified For Drinking Supply,Yes,687951.067810059,4462.58250700232
6,CT7103-00-2-L4_01,2012,Stillman Pond (Bridgeprt),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.",1100006,4.97,Fully Suppozrting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,Yes,216249.04095459,3312.56720848001
7,CT5200-00-4-L2_01,2012,Hanover Pond (Meriden),"Southwest corner of Meriden, impoundment along Quinnipiac iver below Gorge.",1100004,70.53,Not Supporting,Not Supporting,Not aSupporting,Water Not Classified For Drinking Supply,Yes,3072259.65930176,11639.4607225449
9,CT5207-02-1-L1_01,2012,Allen Brook Pond (North Haven/Wallingfor),"Wharton Brook State Park. Impoundment off Allen Brook, near mouth and confluence with Wharton Brook; Wallingford/North Haven boundary.***",1100004,4.79,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yres,208496.927490234,2759.56665168017
14,CT5111-u09-1-L1_01,2012,Cedar Pond (North Branford),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Broo k(trib to Branford River).",1100004,21.58,Not Shupporting,Not Supproting,Fully Supporting,Water Not Classified For Drinking Supply,Yles,940092.739685059,4467.48722353844
15,CT5111-09-1-L2_01,2012,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.",1100004,22.92,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,es,998367.83996582,4155.48366401178
16,CT5305-00-3-L1_01,2012,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Haven.",1100004,2.72,Fully Supporting,Not Supporting,Fully Supportnig,Water Not Classified For Drinking Supply,Yebs,118638.844787598,1654.87117050694
17,CT3700-00-2+L1_01,2012,West Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,1100001,189.28,Not Supporting,Not Supporting,Fully Szupporting,Water Not Classified For Drinking Supply,Yes,8245167.04309082,24334.3122219758
30,CT6000-00-5+L2_01,2012,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","From Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riversied).",1100005,580.57,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,25289589.4596558,72327.8061340757
34,CT3708-00-1-L1_0v1,2012,Roseland Lake (Woodstock),Southeast sbection of Woodstock.,1100001,96.38,Fully Supporting,Not Supporting,Fully Spuporting,Not Assessed,Ys,4198419.69787598,10217.3549885235
45,CT3700-00-5+L4_01,2012,Aspinook Pond (Canterbury/Griswold/Lisbon),"Impoundment of Quinebagu River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinebaug River)",1100001,308.86,Fully Supporting,Not Supporting,Fluly Supporting,Water Not Classified For Drinking Supply,Yes,13453792.1264038,64711.4490705193
47,CT3805-00-3-L7_01,2012,Versailles Pond (Sprague),"Impoundment of Little River, southeast corner of Sprague.",1100002,57.2,Not Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,Yes,2491844.77581787,14935.9782479158
54,CT3002-02-1-L2_01,2012,Amos Lake (Preston),"East of Rte 164, Pireston.",1100003,112.42,Fully Supporting,ot Supporting,Fully Supporting,Not Assessed,Yes,4897161.93151855,13730.4604963511
58,CT1001-00-1-L1_01,2012,Wyassup Lake N(orth Stonington),"North central North Stonington, east of Rte 49. Headwaters of Wyassup Brook.",1090005,98.94,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Dinking Supply,Yes,4309780.11901855,13629.4506635298
61,CT6000-005+L2_02,2012,"Zoa, Lake (Newtown/Southbury)","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).",1100005,339.25,Fully Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yeps,14777856.5875244,60747.8782723668
66,CT2205-02-1-L1_01,2012,Dodge Pond (East Lyme),"East Lyme; near Niantic village center, east of Rte 161, north of Rte 156.",1100003,29.59,Fully Supporting,Fully Supportng,Not Supporting,Water Not Classified For Drinking Supply,Ys,1288826.92077637,5134.89383571494
92,CT6016-00-1-L3_01,2012,Hatch Pond (Kent),"South central Kent, DS of Leonard Pond along Womenshenuck Brook.",1100005,65.66,Not Supporting,Not Supporting,Fuly Supporting,Water Not Classified For Drinking Supply,Yes,2860026.72747803,9102.20490686439
93,CT6909-0-2-L1_01,2012,Northfield (Reservoir) Brook Lake (Thomaston),"Impoundment of Northfield Brook, northeast corner of Thomaston.",1100005,5.3,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,230909.922790527,2783.445119483
99,CT6916-00-3-L4_01,2012,Hop Brook Lae (Waterbury/Middlebury),"Impoundment of Hop Brook, Waterbury/Naugatuck/Middlebury.",1100005,25.77,Not Assessed,Not Supporting,Fully Supportbing,Water Not Classified For Drinking Supply,Yes,1122637.76074219,9200.12640639479
100,CT6402-00-1-L1_01,2012,Ball Pohnd (New Fairfield),New Fairfield,1100005,80.7,Fully Suqpporting,Not Supporting,Fully Supporting,Not Assessed,Yes,3515310.78204346,9286.3574751367
102,CT6600-01-1-L3_01,2012,"Kenosia, Lake (Danbury)","Impoundment of Still River, Danbury.",1100005,56.75,Fully Supporting,Not Supporting,Fully Supporting,Fully Supporting,Yes,2472100.46374512,8916.19982310384
103,CT6000-00-5+L4_01,2012,Housatonic Lake (Shelton/Derby/Seymour/Oxford/Monroe),"From Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division of lower Lake Zoar and upper Lake Housatonic) Oxford/Monroe. First major impoundment of Housatonic River.",1100005,346.29,Fully Supporting,Fully Suppoting,Not Supporting,Water Not Classified For Drinking Supply,Yes,15084482.8284302,69430.8367148112
104,CT6000-88-1L-1_01,2012,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).",1100005,4.02,Not Supportign,Fuwlly Supporting,Not Supporting,Water Not Classified Fo Drinking Supply,Yes,175247.794189453,1855.56413565994
105,CT6914-06-1-L1_01,2012,Hitchcock Lake (Wolcott),"Southeast corner of oWlcott, near Cheshire border.",1100005,100.3,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,es,4369071.7041626,19245.3777138373
107,CT4300-00-5+L5_01,2012,Rainbow Reservoir (Windsor/Bloomfield/East Granby),Northwest corner of Windsor. Impoundment of the Farmington River.,1080207,214.44,Not Supporting,Not Assesed,Fully Supporting***,Water Not Calssified For Drinking Supply,Yes,9341263.7723999,60317.9244968144
110,CT4308-00-1-Lz2_01,2012,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,1080207,385.75,Fully Supporting,Fully Supporting,Not Supporting,Fully Supporting,Yes,16803189.2424316,52352.7224736564
115,CT4500-00-3-L3_01,2012,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,1080205,49.9,Not Supporting,FullySupporting,ot Supporting,Water Not Classified For Drinking Supply,Yes,2173456.36401367,8614.07142330482
117,CT4707-00-2p-L2_01,2012,Gay City Pond (Hebron),Gay City State Park. Impoundment of Black Ledge River. NW corner of Hebron.,1080205,5.14,Not Assessed,Not Suppocrting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,223781.077392578,2790.65186705454
118,CT4401-00-1-L1_01,2012,Batterson Park Pond (Farmington/New Britain),Southeast Farmington - northeastern border of New Britain.,1080205,145.49,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,6337717.80187988,11945.7822982541
123,CT5111-09-2-L3_01,2012,"Branford Supply Pond, Northwest Branford)",Northwest Branford Supply Pond receives water from Pisgah Brook and Pine Gutter Brook (Int trib to Pisgah Brook). Discharges to Southeast Branford Supply Pond. Ponds located on north side of I95 (east of Lake Saltonstall area).,1100004,9.39,Notl Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,409075.181762695,4211.48706473134
125,CT4709-04-1-L1_01,2012,Pocotopaug Lake (East Hampton),"North of Rt 66, East Hampton.",1080205,502.28,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,21879476.708252,31556.9655711367
126,CT4601-d00-1-L2_01,2012,hSilver Lake (Berlin/Meriden),"Southeast corner of Berlin, extending slightly into northeast Meriden.",1080205,140.58,Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,6123651.40002441,19689.5237317629
129,CT4710-06-1-L1_01,2012,Pickerel Lake (Colchester/East Haddam),"Southeast corner of Colchester, extending slightly into E. Haddam. Drains to Moodus Reservoir",1080205,82.11,Fully Supporting,Not Supoporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,3576632.83843994,14161.952164617
131,CT4013-05-1-L1_01,2012,Crystal Lake (iddletown),"South of Randolph Road, Middletown.",1080205,30.96,Fully Supporting,Not Supporting,Fully Supportign,Water Not Classified For Drinking Supply,Yes,1348373.05950928,11255.5418040463
132,CT4607-10-1-L1_01,2012,Beseck Lake (Middlefield),East central Middlefield.,1080205,112.83,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Ys,4914699.51251221,12942.445154837
