183.premisestate,uKY,KY
175.date_recent,0223/08/28 00:00:00,2023/08/28 00:00:00
158.grade_two,zA,A
108.openingdate,198/07/14 04:00:00+00,1988/07/14 04:00:00+00
207.grade_recent,,A
186.premisename,MbAUPIN ELEMENTARY SCHOOL,MAUPIN ELEMENTARY SCHOOL
168.premisestate,eKY,KY
153.grade_three,***,A
18.premiseaddress,1001 FAIRDALEw RD,1001 FAIRDALE RD
138.premisename,ST. GABRIELSCHOOL,ST. GABRIEL SCHOOL
90.premisestate,mKY,KY
163.premisecity,LUOISVILLE,LOUISVILLE
68.premiseaddress,601 ECHO TRAIL,2601 ECHO TRAIL
129.premisename,HITE ELEMENTARY CHOOL,HITE ELEMENTARY SCHOOL
86.premiseaddress,1020 DIXIE HWY,10200 DIXIE HWY
86.premisename,VALLEY HIH SCHOOL,VALLEY HIGH SCHOOL
48.date_recent,2023/04/1900:00:00,2023/04/19 00:00:00
17.grade_recent,***,A
146.openingdate,2009/10/y20 04:00:00+00,2009/10/20 04:00:00+00
143.grade_three,,A
175.grade_two,***,A
173.date_three,2022/08/23 00:0t0:00,2022/08/23 00:00:00
50.grade_three,gA,A
118.grade_three,***,A
14.grade_recent,,A
51.date_recent,2023/08o/30 00:00:00,2023/08/30 00:00:00
127.premisename,HAZELWODO ELEMENTARY SCHOOL,HAZELWOOD ELEMENTARY SCHOOL
172.premisecity,LOUIVILLE,LOUISVILLE
22.date_three,2022c/03/08 00:00:00,2022/03/08 00:00:00
147.openingdate,209/10/20 04:00:00+00,2009/10/20 04:00:00+00
140.date_recent,2023/09/0n7 00:00:00,2023/09/07 00:00:00
109.subtypedescription,SCHOOL CAFETERIA OR FODO SERVICE,SCHOOL CAFETERIA OR FOOD SERVICE
173.grade_three,iA,A
146.facilitytypedescription,FOOD SERVIC EESTABLISHMENT,FOOD SERVICE ESTABLISHMENT
9.subtypedescription,SCOOL CAFETERIA OR FOOD SERVICE,SCHOOL CAFETERIA OR FOOD SERVICE
