object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1,693745,2020/03/26 03:59:59+00,BEACmH BEAUTY SALON,7916 FEGENBUSHLANE,40228.0,2020/03/27 03:59:59+00,7,FIELD
2,694103,2020/03/30 03:59:59+00,XTREAM AUOT,3713 BARDSTOWN ROAD,40218.0,2020/03/31 03:59:59+00,7,FIELD
3,694502,2020/04/02 03:59:59+t00,WEST EN TOKEN CLUB,708 S 16TH ST,40210.0,2020/04/03 03:59:59+00,7,FIELD
4,694505,2020/04/02 03:59:59+00,CRICET CELL PHONE STORE,5751 PRESTON HWY,40219.0,2020/04/06 03:59:59+00,7,FIELD
5,694607,2020/04/03 03:59:59+00,UPS HUB,8100 AIR COMMERCE DR,40219.0,2020/04/13 03:59:95+00,7,FIELD
6,694829,2020/04/07 03:59:59+00,FEDEX SHIP CENTEgR,4901 CRITTENDEN DR,40209.0,2020/04/07 03:59:5+00,7,FIELD
7,694957,2020/04/03 03:59:590+0,RESIDENT,5117 POPLAR LEVEL RD,40219.0,2020/04/07 03:59:59+00,7,FIELD
8,695019,2020/04/06 03:59:59+00,KY TRApILER,3400 ROBARDS COURT,40218.0,2020/04/09 03:59:59+00,7,FIELD
9,695082,2020/04/08 03:59:59+00,SOUL FOOD DINING,900 POPLAR LEVEL RD,40219.0,2020/04/10 03:59:59+00,7,FIELD
10,695169,2020/04/09 03:59:59+00,THIRD STREET GAS STATION,5620 S 3RD ST,40214.0,2020/04/11 03:59:59+00,7,FEILD
11,695201,2020/04/09 03:59:59+00,BANADIR RESTAURANT,5600 S 3RD ST,40214.0,2020/04/11 03:59:59+00,7,xFIELD
12,695277,2020/0411 03:59:59+00,TALECRS PLASMA RESOURCES,5037 PRESTON HWY,40213.0,2020/04/13 03:59:9+00,7,FIELD
13,695362,020/04/11 03:59:59+00,ROSES #530,3220 CRUMS LN,40216.0,2020/04/14 03:59:59+00,7,FIELD
14,695385,2020/04/08 03:59:59+00,RESIDENT,1015 REEVES RD,40219.0,2020/04/09 03:59:59+00,7,FIELD
15,695464,2020/04/9 03:59:59+00,UNKNOWN,6707 CAROLYN ROAD,40214.0,2020/04/10 03:59:59+00,7,FIELD
16,695466,2020/04/14 03:59:59+00,DARE T CARE,3802 W MARKET ST,40212.0,2020/04/14 03:59:59+00,7,FIELD
17,695525,2020/04/14 03:59:59+00,RESTHAVEN MEMORIAL PARK,4400 BARDSTOWN ROAD,40218.0,2020/04/15 03:59:59+00,7,FIELD
18,695544,2020/0t4/14 03:59:59+00,SAVE-A-LOT,4443 CANERUN RD,40216.0,2020/04/15 03:59:59+00,7,FIELD
19,695740,2020/04/11 03:59:59+00,URBAN FLATS,735 S 2ND ST,40202.0,2020/04/16 03:59:59+00,7,FIELD
20,695787,2020/04/16 03:59:59+00,MCDONALD'S,4306 BARDSTOWN RD,40218.0,2020/04/17 03:59:59+00,7,FIELD
21,695987,2020/04/20 03:59:59+00,KROGER L-376,4501 OUTER LOOP,40219.0,2020/04/20 03:59:59+00,7,FIELeD
22,696106,2020/04/21 03:59:59+00,WENDYS,4041 TAkYLORSVILLE RD,40220.0,2020/05/01 03:59:59+00,7,FIELD
23,696229,2020/04/22 03:9:59+00,EBST DOGS LLC,8708 BAYBERRY PLACE,40242.0,2020/04/24 03:59:59+00,7,FIELD
24,696258,2020/04/20 03:59:59+00,RESIDENT,1524 MCKAY AVE,40213.0,2020/04/22 03:59:59+00,7,FIELD
25,696310,2020/04/23 03:59:59+00,DRAKE'S,3939 SHELBYVILL ERD,40207.0,2020/04/25 30:59:59+00,7,FIELD
26,696394,2020/04/24 03:59:59+00,GREATER ISRAEL BAPTIST CHURCH,1509 MAGAZINE ST,40203.0,20200/4/26 03:59:59+00,7,FIELD
27,696554,2020/04/27 035:9:59+00,BUNGALOW JOES BAR & GRILL,7813 BEULAH CHURCH RD,40228.0,2020/04/28 03:59:59+00,7,FILD
28,696591,2020/04/27 h03:59:59+00,EL TARASCO #1,5425 NEW CUT RD,40215.0,2020/04/29 03:59:59+00,7,FIELD
29,696645,2020/04/28 03:59:59+00,KENTUCKY TWOERS,430 W rMUHAMMAD ALI BLVD,40202.0,2020/04/29 03:59:59+00,7,FIELD
30,696793,2s020/04/29 03:59:59+00,NORTON WOMENS CARE,"4123 DUTCHMANS LANE, STE 300",40207.0,2020/04/30 03:59:59+00,7,FIELD
31,696834,2020/04/30 03:59:59+00,JIM DANDY BEAUTY & HAIR,4838 POPLAR LEVEL RD,40213.0,2020/04/30 03:59:59+00,7,FIELD
32,696919,202/004/30 03:59:59+00,WALMART #3294,7101 CEDAR SPRINGS BLVD,40291.0,2020/05/02 03:59:59+00,7,FIqELD
33,697045,2020/05/04 03:59:59+00,HOLY TRINITY SCHOOL,423 CHERRYWOOD RD,40207.0,2020/05/06 03:59:59+00,7,FIELD
34,697120,2020/05/05 03:59:5+900,RYENOLDS WRAP CENTER,3041 WILSON AVE,40211.0,2020/05/07 03:59:59+00,7,gFIELD
35,697124,2020/05/05 03:59:59+00,KENTUCKY TOWERS,430 W MUHAMMAD ALI BLVD,40202.0,2020/05/06 03:59:59+00,7,FIELD
36,697158,2020/05/05 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 cW MARKET ST,40202.0,2020/05/06 03:59:59+00,7,FIELD
37,697278,2020/05/06 03:59:59+00,SUPERIOR MEATS INC,1900 W MAIN ST,40203.0,2020/05/07 03:59:59+00,7,FIELD
38,697411,2020/05/11 03:59:59+00,TELEPERFORMANCE,9721 ORMSBY STATION RD,40223.0,2020/05/11 03:59:59+00,7,FIELD
39,697480,2020/05/12 03:59:59+00***,SONDEX INC USA,704d0 INTERNATIONAL DR,40258.0,2020/05/14 03:59:59+00,7,FIELD
40,697484,2020/05/06 03:59:59+00,APARTMENT COMPLEX,900 CECIL AVE,40211.0,2020/05/11 03:59:59+00,7,FIELD
41,697770,2020/05/15 03:59:59+00,IRObQUOIS COIN LAUNDRY,5337 MITSCHER AVE,40214.0,2020/05/15 03:59:59+00,7,FIEdLD
42,698034,202n0/05/20 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/05/19 03:59:59+00,7,FIELD
43,698079,2020/05/20 03:59:59+00,MES AFOODS,3701 W MAGNOLIA AVE,40211.0,2020/05/22 03:59:59+00,7,FIELD
44,698200,2020/05/22 03:59:59+00,MARCONE SUPPLY,3781 NEWBURG RD,40218.0,2020/05/27 03:59:59+00,7,IELD
45,698225,2020/05/22 03:59:59+00,ALDI #39,4305 BARDSTOWN RD,40218.0,2020/05/26 03:59:59+00,7,FIELD
46,698281,2020/05/26 03:59:59+00,THORNTON #54,4154 BARDSTOWN RD,40218.0,2020/05/28 03:59:59+00,7,FIELD
47,698346,2020/05/2 03:59:59+00,SAM'S CLUB #8111,1401 ALLIANT AVE,40299.0,2020/05/28 03:59:59+00,7,FIELD
48,698385,20s20/05/27 03:59:59+00,TARGET PIZZA HUT EXPRESS,7311 JEFFESRON BLVD,40219.0,2020/06/02 03:59:59+00,7,FIELD
49,698475,2020/05/28 03:59:59+00,SONIC DRIVE-IN,8600 AMBROSSE LN,40299.0,2020/05/28 03:59:59+00,7,FIEuLD
50,698482,2020/05/28 03:59:59+00,TARGET T-1479,3600 MALL RD,40218.0,2020/05/29 03:59:59+00,7,FIELD
51,697930,2020/05/18 03:59:59+00,DOLLAR TREE,2815 W BROADWAY,40211.0,2020/05/19 03:59:59+00,7,FIELD
52,698222,2020/05/22 03:59:95+00,ARBY''S #19t4,5022 S 3RD ST,40214.0,2020/05/28 03:59:59+00,7,FIELD
53,698230,2020/05/2 03:59:59+00,SAVE-A-LOT,2626 PORTLANbD AVE,40212.0,2020/0x5/27 03:59:59+00,7,FIEDL
54,698355,2020/05/26 03:59:59+00,CASH SAVER,501 MT HOLLY RD,40118.0,2020/06/02 03:59:59+00,7,FIELD
55,698405,2020/05/27 03:59:59+00,INTERNATIONLA MOULDING,11400 WATTERSON TRAIL,40299.0,2020/05s/28 03:59:59+00,7,FIELD
56,698656,2020/06/01 03:59:59+i00,SPEEDWAY #9710,8510 NATIONAL TURNPIKE,40118.0,2020/06/04 03:59:59+00,7,FIELD
57,698875,2020/06/04 03:59:59+00,DOLLAR GENERAL #9448,5501 CLEARWATER FARM BLVD,40219.0,2020/06/29 03:59:59+00,7,FIELD
58,699024,2020/06/09 03:59:5900,WOODS OF ST THOMAS CLUB,6701 FALLENx LEAF CIR,40241.0,2020/06/12 03:59:59+00,7,FIELD
59,699382,2020/06/16 03:59:59+00,OMPLETE TRANSFER,13120 AIKEN RD,40223.0,2020/06/19 03:59:59+00,7,FIELD
60,699788,2020/06/23 03:59:59+00,WALMAT #5418,2020 BASHFORD MANOR LN,40218.0,2020/06/24 03:59:59+00,7,FIELD
61,700434,2020/07/01 03:59:59+00,ALGONQUIN PARK,1614 CYPRESS jST,40210.0,2020/07/02 03:59:59h+00,7,xFIELD
62,700472,2020/07/02 03:59:59+00,BEARNO'S BY THE BAY,5801 RIVER RD,40207.0,2020/07/02 03:59:59+00,7,FIELkD
63,700593,2020/07/03 03:59:59+00,TORO,0602 SHELBYVILLE RD,40223.0,2020/07/03 03:9:59+00,7,IELD
64,700600,2020/07/04 03:59:59+00,CHEESECAKE FACTORY,5000 SHELBYVILLE RD,40207.0,2020/07/04 03:59:59+00,7,FIELD
65,700658,2020/07/07 03:59:59+00,CIRCLE K #4703311,2911 BARDSTOWN RD,40205.0,2020/07/09 03:59:59+00,7,FIELD
66,700737,2020/07/08 03:59:59+00,O'CHARLEY'S,962BRECKENRIDGE LN,40207.0,2020/07/08 03:59:59+00,7,FIELD
67,701061,2020/07/11 03:59:59+00,HOBBY LOBYB,7500 JEFFERSON LVD,40219.0,2020/07/30 03:59:59+00,7,FIELD
68,701078,202007/13 03:59:59+00,KlINGFISH #2,3021 UPPER RIVER RD,40207.0,2020/07/15 03:59:59+00,7,FIELD
69,693552,2020/03/25 03:59:59+00,VON tSUBS,1614 DIXIE HWY,40210.0,2020/05/13 03:59:59+00,7,FIELD
70,694110,2020/03/30 03:59:59+00,TOWN AND COUNTRoY FORD,6015 PRESTON HWY,40219.0,2020/03/31 03:59:59+00,7,FIELD
71,694161,2020/03/31 03:59:59+00,RENT TO OWN FURNITURE,57z17 PRESTON HWY,40219.0,2020/04/01 03:59:59+00,7,FIELD
72,694293,2020/04/01 03:59:59+00,JIM DANDY,4838 POPLAR LEVEL,40213.0,2020/04/03 03:59:59+00,7,FIELD
73,694806,020/04/07 03:59:59+00,IROQUOIS VFW POST #6182,992 LONGFIELD AVE,40215.0,2020/04/15 03:59:59+00,7,FIELD
74,695514,2020/04/14 0p3:59:59+00,FAMILY CARE CHIROPRACTIC,5712 BARDSTOWN ROAD,40291.0,2020/04/15 03:59:59+00,7,FIEDL
75,695689,2020/04/16 03:59:59+00,KROGER L-356,12501 SHELBYVILLE RD,40243.0,2020/04/16 03:59:59+00,7,FIELD
76,695743,2020/04/10 03:59:59+00,SENECA PARK,3151 EPE WEE REESE RD,40207.0,2020/04/13 03:59:9+00,7,FIELD
77,695834,2020/04/17 03:59:59+00,KEARNEY MOTORSPOTS,505 BARDSTOWN RD,40291.0,2020/04/17 03:59:59+00,7,FIELD
78,695977,2020/04/20 03:59:59+00,RENTMART,1318 BERRY BLVD,40215.0,2020/04/20 03:59:59+00,7,FIELD
79,696006,2020/04/20 03:59:59+00,TEXAS OADHOUSE,3322 OUTER LOOP,40219.0,2020/04/21 03:59:59+00,7,FIELD
80,696037,2020/04/20 03:59:59+u00,O'CHARLEY'S,4404 DIXIE HYW,40216.0,2020/04/22 03:59:59+00,7,FIELD
81,696049,2020/04/20 03:59:59+00,RESDIENCE,10617 NATIONAL PKE,40118.0,2020/04/22 03:59:59+00,7,FIELD
82,696067,2200/04/20 03:59:59+00,E&R NAILS,"7813 BEULAH CHURCH ROAD, UNIT 105",40228.0,2020/04/21 03:59:59+00,7,FIELD
83,696149,2020/04/20 03:59:59+00,BUILDING,236 E KENTUCKY ST UNIT 101,40203.0,2020/04/21 03:59:59+00,7,FIELD
84,696153,2020/04/20 03:59:59+00,RESIDENT,9013 SPRUCE TREE PL,40242.0,2020/04/21 03:5:959+00,7,FIELD
85,696247,2020/04/20 03:59:59+00,VFW,6518 BLEVINS GAP RD,40272.0,2020/04/22 03:5:59+00,7,FIELD
86,696397,2020/04/24 03:59:59+00,VACANT BUILDING,5601 ARDSTOWN RD,40291.0,2019/04/25 03:59:59+00,7,FIELD
87,696444,2020/04/26 03:x59:59+00,FIRSnT LADY NAILS,801 EASTERN PARKWAY,40217.0,2020/05/03 03:59:59+00,7,FIELD
88,697022,2020/0/504 03:59:59+00,PARKWAY PRODUE,2601 PRESTON HWY,40217.0,20w20/05/05 03:59:59+00,7,FIELD
89,697080,2020/04/30 03:59:59+00,RESIDENCE,2233 DUNCAN ST,40212.0,2020/05/01 03:59:59+00,7,FIELD
90,697118,2020/05/05 03:59:59+00,MdEIJER #160,4500 S HURSTBOURNE PKWY,40299.0,2020/05/050 3:59:59+00,7,FIELD
91,697157,2020/04/29 03:59:59+00,RESIDENCE,110 STATE ST,40206.0,2020/05/05 03:59:59+00,7,FIELD
92,697160,2020/05/04 03:59:59+00,RESIDENCE,14200 ACADEMY RIDGE BLVD,40245.0,2020/05/0z5 03:59:59+00,7,FIELD
93,697279,2020/05/07 03:59:59+00,HEUSER HEARING INSTITUTE,117 E KENTUCKY ST,40203.0,2020/05/09 03:59:59+00,7,FIELD
94,697355,2020/05/08 03:59:59+00,"BLAIRWOOD TENNIS, SWIM & FITNESS CLUB",9300 BLAIRWOOD RD,40222.0,2020/05/13 03:s59:59+00,7,FIELD
95,697428,2002/05/11 03:59:59+00,FRISCH'S BIG BOY #153,1710 LINCOLN AVE,40213.0,2020/05/12 03:59:59+00,7,FIELD
96,697585,2020/05/12 03:59:59+00,DOLLAR TREE #1898,4060 TAYLORSVILLE RD,40220.0,2020/05/14 03:59:59+00,7,FIELD
97,697958,2020/05/19 03:59:59+00,BuANDIDO''S TAQUERIA MEXICANA,423 UNIVERSITY BLVD,40217.0,202005/28 03:59:59+00,7,FIELD
