95.premisename,HuOMEWOOD SUITES,HOMEWOOD SUITES
110.premisecity,LUISVILLE,LOUISVILLE
52.openingdate,2012/05/16 0g0:00:00,2012/05/16 00:00:00
116.premisecity,LUISVILLE,LOUISVILLE
73.premisecity,LOUISVILEL,LOUISVILLE
97.facilitytypedescription,HOTLE OR MOTELS,HOTEL OR MOTELS
123.premisecity,LOUISVImLLE,LOUISVILLE
8.premisestate,YK,KY
16.premisestate,KaY,KY
20.premiseaddress,4604 WATTBOUzRNE LN,4604 WATTBOURNE LN
99.premisename,SURE STAY PLUS yHOTEL,SURE STAY PLUS HOTEL
65.facilitytypedescription,HOTEL OR MTELS,HOTEL OR MOTELS
88.premiseaddress,11505 BLUEGRASlS PKWY,11505 BLUEGRASS PKWY
2.subtypedescription,HOTEL / MTOEL,HOTEL / MOTEL
46.openingdate,2008/12/1 00:00:00,2008/12/11 00:00:00
85.premisestate,sKY,KY
131.premisestate,KnY,KY
121.premisename,BEST WESTERN OUISVILLE EAST,BEST WESTERN LOUISVILLE EAST
113.premisestate,wKY,KY
60.premisename,CANDLEWOOD SUITES LOUISVILLE AIRPlORT,CANDLEWOOD SUITES LOUISVILLE AIRPORT
50.openingdate,2009/081/3 00:00:00,2009/08/13 00:00:00
33.openingdate,20r06/03/08 00:00:00,2006/03/08 00:00:00
118.subtypedescription,HOTEL / MOTLE,HOTEL / MOTEL
109.premiseaddress,601 WEST MAI NST,601 WEST MAIN ST
74.premiseaddress,1150 FOeREST BRIDGE RD,1150 FOREST BRIDGE RD
21.subtypedescription,HOTEL / qMOTEL,HOTEL / MOTEL
3.premisestate,KfY,KY
63.premisecity,LOUSVILLE,LOUISVILLE
57.premiseaddress,1850 PRIORITY WYA,1850 PRIORITY WAY
49.premisename,COURTYARD BY MAaRRIOTT,COURTYARD BY MARRIOTT
89.premisename,TRU BY HILTOkN,TRU BY HILTON
16.premiseaddress,9801 BUNSE NWAY,9801 BUNSEN WAY
112.premiseaddress,801 W EJFFERSON ST,801 W JEFFERSON ST
83.premisecity,LOUISVILEL,LOUISVILLE
4.premisestate,YK,KY
131.openingdate,2023/06/22 00:00:t00,2023/06/22 00:00:00
130.subtypedescription,HOTEL/ MOTEL,HOTEL / MOTEL
122.subtypedescription,HOTEL / MdOTEL,HOTEL / MOTEL
80.facilitytypedescription,HOTEL R MOTELS,HOTEL OR MOTELS
70.openingdate,2016/0y1/25 00:00:00,2016/01/25 00:00:00
42.premisestate,Y,KY
111.subtypedescription,HOTEL / MOTqEL,HOTEL / MOTEL
118.facilitytypedescription,HOTEL OR MOELS,HOTEL OR MOTELS
13.openingdate,1996/10/03 00:00:00,1996/10/30 00:00:00
27.premisecity,LOUISVLILE,LOUISVILLE
71.premisecity,LxOUISVILLE,LOUISVILLE
83.premiseaddress,240 S xHANCOCK ST,240 S HANCOCK ST
6.facilitytypedescription,HOTEL OR MOTESL,HOTEL OR MOTELS
15.premisestate,YK,KY
113.facilitytypedescription,HOTEL ORr MOTELS,HOTEL OR MOTELS
125.premisecity,LOUISVLILE,LOUISVILLE
80.subtypedescription,HOTEL / OMTEL,HOTEL / MOTEL
69.premisestate,YK,KY
91.facilitytypedescription,HTEL OR MOTELS,HOTEL OR MOTELS
87.subtypedescription,HOTEL / OMTEL,HOTEL / MOTEL
36.premisename,ECOO LODGE,ECONO LODGE
30.subtypedescription,HOTLE / MOTEL,HOTEL / MOTEL
21.premisecity,LOUISVILEL,LOUISVILLE
65.openingdate,2015/04/20 00:00:k00,2015/04/20 00:00:00
9.premiseaddress,3322 RED ROOF INN PLACE***,3322 RED ROOF INN PLACE
44.premiseaddress,447 yFARMINGTON AVE,447 FARMINGTON AVE
19.premisecity,aLOUISVILLE,LOUISVILLE
88.premisename,RTU BY HILTON,TRU BY HILTON
96.premisecity,LOIUSVILLE,LOUISVILLE
59.subtypedescription,HOTEL /MOTEL,HOTEL / MOTEL
78.subtypedescription,HOTEL  MOTEL,HOTEL / MOTEL
35.premisecity,OUISVILLE,LOUISVILLE
69.premisename,RED CARPE TINN,RED CARPET INN
80.premisecity,LOUISVtILLE,LOUISVILLE
102.premiseaddress,039 ZORN AVE,1039 ZORN AVE
20.openingdate,2009/03/81 00:00:00,2009/03/18 00:00:00
67.subtypedescription,HOETL / MOTEL,HOTEL / MOTEL
43.premisename,SRPINGHILL SUITES,SPRINGHILL SUITES
33.premisename,HOMEWOOD SUIES,HOMEWOOD SUITES
75.openingdate,2106/08/26 00:00:00,2016/08/26 00:00:00
20.premisename,INTOWN SUITES cHURSTBOURNE,INTOWN SUITES HURSTBOURNE
7.openingdate,2010/01/1100:00:00,2010/01/11 00:00:00
113.premisename,CAMBRIA OTEL,CAMBRIA HOTEL
15.premisecity,LOUSIVILLE,LOUISVILLE
28.openingdate,2004/0/22 00:00:00,2004/09/22 00:00:00
37.premisename,INTOWN SUITES EXTENDD STAY,INTOWN SUITES EXTENDED STAY
25.subtypedescription,eHOTEL / MOTEL,HOTEL / MOTEL
7.premisecity,LOUISeVILLE,LOUISVILLE
35.premisename,RESIDENCE INN LOIUSVILLE DWNTN,RESIDENCE INN LOUISVILLE DWNTN
72.subtypedescription,HOTEL / MOvTEL,HOTEL / MOTEL
16.openingdate,1999/01/9 00:00:00,1999/01/29 00:00:00
95.premisecity,LOUISuVILLE,LOUISVILLE
50.premisename,HOLIDAY INN LOU .AIRPORT SOUTH,HOLIDAY INN LOU. AIRPORT SOUTH
91.premisecity,LOUISVILE,LOUISVILLE
62.premisename,HYATTP LACE LOUISVILLE EAST,HYATT PLACE LOUISVILLE EAST
38.premisecity,LOUISVIeLLE,LOUISVILLE
20.facilitytypedescription,HOTEL OR MOETLS,HOTEL OR MOTELS
119.facilitytypedescription,OTEL OR MOTELS,HOTEL OR MOTELS
39.premiseaddress,9340 BLARWOOD RD,9340 BLAIRWOOD RD
87.facilitytypedescription,HOTEL OR MOELS,HOTEL OR MOTELS
11.facilitytypedescription,HOTEL OR MOTESL,HOTEL OR MOTELS
106.openingdate,2020/12/30 0j0:00:00,2020/12/30 00:00:00
10.premisename,COURTYARD MARRIOTT***,COURTYARD MARRIOTT
32.subtypedescription,HOTL / MOTEL,HOTEL / MOTEL
31.subtypedescription,HOTEL / OTEL,HOTEL / MOTEL
99.openingdate,2019/01/0 800:00:00,2019/01/08 00:00:00
51.premisestate,Y,KY
49.premiseaddress,819P HILLIPS LN,819 PHILLIPS LN
86.premisecity,LOUISVkILLE,LOUISVILLE
56.facilitytypedescription,HOTEL RO MOTELS,HOTEL OR MOTELS
22.premisestate,Y,KY
100.openingdate,019/05/02 00:00:00,2019/05/02 00:00:00
105.subtypedescription,HOTE / MOTEL,HOTEL / MOTEL
55.premisecity,LOISVILLE,LOUISVILLE
18.openingdate,19u99/12/28 00:00:00,1999/12/28 00:00:00
111.facilitytypedescription,OTEL OR MOTELS,HOTEL OR MOTELS
110.subtypedescription,HOTLE / MOTEL,HOTEL / MOTEL
49.subtypedescription,HOTEqL / MOTEL,HOTEL / MOTEL
103.openingdate,2020/01/31 00:0:000,2020/01/31 00:00:00
12.premisename,INTOWN SUhITES PRESTON HWY,INTOWN SUITES PRESTON HWY
120.facilitytypedescription,HOTEL OR MOETLS,HOTEL OR MOTELS
115.openingdate,2022/01/26 00:0e0:00,2022/01/26 00:00:00
116.premisename,HOLIDAY INN EXPRESS &SUITES LOUISVILLE DOWNTOWN,HOLIDAY INN EXPRESS & SUITES LOUISVILLE DOWNTOWN
80.openingdate,2017/0w2/28 00:00:00,2017/02/28 00:00:00
58.premiseaddress,3330 RESTON HWY,3330 PRESTON HWY
94.premisecity,LsOUISVILLE,LOUISVILLE
75.premiseaddress,1501 ALLIANT AVENEU,1501 ALLIANT AVENUE
