37.county,MULTONMAH,MULTNOMAH
26.county,MARON,MARION
10.numagency,NOT AVAILBALE,NOT AVAILABLE
43.directions,NE SIDE fOF THE INTERSECTION OF SW 68TH PARKWAY AND SW ATLANTA STREET,NE SIDE OF THE INTERSECTION OF SW 68TH PARKWAY AND SW ATLANTA STREET
37.address,123 NORTHWEST FLANDERS STEET,123 NORTHWEST FLANDERS STREET
35.naicsdescr,"PUBLIC PROPERTY MANAEMENT SERVICES, GOVERNMENT","PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT"
5.directions,NW SIDE OF SUMMER STREET NE EBTWEEN UNION STREET NE AND D STREET NE,NW SIDE OF SUMMER STREET NE BETWEEN UNION STREET NE AND D STREET NE
2.geoprec,ONENTIY,ONENTITY
7.address_two,hNOT AVAILABLE,NOT AVAILABLE
43.statevalue,R,OR
13.address,1257 FrERRY STREET SE,1257 FERRY STREET SE
14.phoneloc,EYS,YES
9.geoprec,BLOCKbFACE,BLOCKFACE
24.geoprec,OENTITY,ONENTITY
29.address_two,NOT AVAILABE,NOT AVAILABLE
27.address_two,NOT AVALIABLE,NOT AVAILABLE
9.address_two,NOT AVAuILABLE,NOT AVAILABLE
38.phoneloc,ON,NO
27.statevalue,tOR,OR
7.phoneloc,ES,YES
20.address_two,NOkT AVAILABLE,NOT AVAILABLE
27.address,811 SOUTHWEST 6THAVENUE,811 SOUTHWEST 6TH AVENUE
46.county,MRION,MARION
5.county,ARION,MARION
7.directions,"NW SIDE OF SUMMER STREET NE, 0.13 MILES NE OF THE INTERSECTION OF SUMMER STERET NE AND UNION STREET NE","NW SIDE OF SUMMER STREET NE, 0.13 MILES NE OF THE INTERSECTION OF SUMMER STREET NE AND UNION STREET NE"
20.phoneloc,O,NO
12.address,1177 CENTER STREE NE,1177 CENTER STREET NE
15.agencies,RAIL; PUBLIC TRANSIT; TRANSPORTATIONq DEVELOPMENT,RAIL; PUBLIC TRANSIT; TRANSPORTATION DEVELOPMENT
44.naicsdescr,"PUBLIC PROkPERTY MANAGEMENT SERVICES, GOVERNMENT","PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT"
25.address,1225FERRY STREET SE,1225 FERRY STREET SE
28.statevalue,ObR,OR
5.namevalue,NORTH CAPITOL MALL OFFICE BUILDNG,NORTH CAPITOL MALL OFFICE BUILDING
28.city,SALME,SALEM
48.city,SAELM,SALEM
21.city,SALME,SALEM
44.telephone,(503) 986-2300,(503) 986-3200
37.directions,NORTH SIDE OF NW FLANDERS STREET BETWEEN NW 2ND AVENUE AND NW1ST AVENUE,NORTH SIDE OF NW FLANDERS STREET BETWEEN NW 2ND AVENUE AND NW 1ST AVENUE
27.directions,NW SIDE OF SW 6TH AVENUE BETWEEN S WTAYLOR STREET AND SW YAMHILL STREET,NW SIDE OF SW 6TH AVENUE BETWEEN SW TAYLOR STREET AND SW YAMHILL STREET
20.address,880 IWNTER STREET NE,880 WINTER STREET NE
41.statevalue,RO,OR
40.namevalue,IRWIN HOUE,IRWIN HOUSE
44.agencyph,(503) 986-2300,(503) 986-3200
12.numagency,***,1
32.county,MvARION,MARION
5.agencies,OREGON STATE HOUSING COUNCIL; WATE RESOURCES DEPARTMENT; OREGON HOUSING AND COMMUNITY SERVICES; PARKS AND RECREATION DEPARTMENT,OREGON STATE HOUSING COUNCIL; WATER RESOURCES DEPARTMENT; OREGON HOUSING AND COMMUNITY SERVICES; PARKS AND RECREATION DEPARTMENT
7.statevalue,OaR,OR
32.address_two,NOT AVAILALBE,NOT AVAILABLE
36.numagency,OT AVAILABLE,NOT AVAILABLE
45.naicsdescr,"PUBLIC PROPERTY MAAGEMENT SERVICES, GOVERNMENT","PUBLIC PROPERTY MANAGEMENT SERVICES, GOVERNMENT"
4.address_two,kNOT AVAILABLE,NOT AVAILABLE
21.namevalue,HUNTINGTON bHOUSE,HUNTINGTON HOUSE
13.agencies,OREGON DISABILITIS COMMISSION,OREGON DISABILITIES COMMISSION
10.county,AMRION,MARION
47.phoneloc,YS,YES
15.phoneloc,oNO,NO
41.namevalue,LABINA BUILDING,ALBINA BUILDING
