objectid,park_name,park_address,shape_area,shape_length
1,Hayden Butte Preserve,"298 E 5th St Tempe, AZ 85281",1831904.9325979,5276.59586910062
2,Tempe Beach Park,"80 W Rio Salado Pkwy Tempe, AZ 85281",655419.098780352,3561.73686405076
3,Papago Park,"1000 N College Ave Tempe, AZ 85281",4047116.68886562,8982.85956371349
4,Papago Park,"625 N Galvin Pkwy Tempe, AZ 85281",4318750.44459261,12834.479706104
5,Rio Salado Park,"700 W Rio Salado Pkwy Tempe, AZ 85281",389295.6868159,3347.34226822481
6,Rio Salado Park,"80 W Rio Salado Pkwy Tempe, AZ 85281",447515.558614121,3248.76697627588
8,Rio Salado Park,"550 E Tempe Town Lake Tempe, AZ 85281",2911607.29604381,25119.6388152169
9,Tempe Beach Park,"620 N Mill Ave Tempe, AZ 85281",222636.993518511,2103.5261739809
10,Campbell Park,"9895 S Beck Ave Tempe, AZ 85284",270145.896735833,2439.0912875972
11,Mary and Moses Green Park,"9325 W Warner Ranch Dr Tempe, AZ 85284",585159.105799283,3754.18603969878
12,Hanger Park,"501 E Knox Rd Tempe, AZ 85284",652353.576147185,3704.78949697241
13,Waggoner Park,"1100 E Carver Rd Tempe, AZ 85284",187020.198505453,2300.48123062816
14,Waggoner Park,"1100 W Carver Rd Tempe, AZ 85284",183619.050202286,1728.06946953525
15,Estrada Park,"1801 E Palomino Dr Tempe, AZ 85284",364457.569661606,2453.0504306683
16,Goodwin Park,"1835 E Caroline Ln Tempe, AZ 85284",321692.562562915,2491.75945221716
17,Tempe Sports Complex,"8403 S Hardy Dr Tempe, AZ 85284",3560249.28926368,7976.94864627605
18,Corbell Park,"7300 S Lakeshore Dr Tempe, AZ 85283",581730.298443894,4047.97382470744
19,Michelle Brooks-Totress Park,"1225 E Redfield Rd Tempe, AZ 85283",174402.962050919,1661.69759738781
20,Stroud Park,"6818 S Los Feliz Dr Tempe, AZ 85283",231180.9376092,2092.63220772051
21,Scudder Park,"2811 S Lakeshore Dr Tempe, AZ 85282",132936.320784282,1770.80671578134
22,Gaicki Park,"1817 E Cornell Dr Tempe, AZ 85283",94992.4736482251,1240.47426505654
23,Optimist Park,"2000 E Sesame St Tempe, AZ 85283",431723.378094786,3263.76749851444
24,Celaya Park,"601 W Vaughn St Tempe, AZ 85283",238939.474671227,2057.84275036061
25,Benedict Sports Complex,"490 W Guadalupe Rd Tempe, AZ 85283",994118.215852032,4004.46371811191
26,Kiwanis Park,"5500 S Mill Ave Tempe, AZ 85283",4909930.62036565,14431.3793716109
27,Rotary Park,"2015 E Hermosa Dr Tempe, AZ 85282",127985.301951745,1552.47493674232
28,Cole Park,"2000 E Carson Dr Tempe, AZ 85282",139311.025188681,1611.58885053328
29,Arredondo Park,"1298 E Carson Dr Tempe, AZ 85282",171231.569915796,1826.7032685386
30,Ehrhardt Park,"3999 S Evergreen Rd Tempe, AZ 85282",270359.265054782,2865.57690286173
31,Daumler Park,"2899 S Evergreen Rd Tempe, AZ 85282",184095.445545915,1766.3335512796
32,Selleh Park,"2425 S Los Feliz Dr Tempe, AZ 85282",249657.093896766,2102.79824458328
33,Meyer Park,"2727 S Dorsey Ln Tempe, AZ 85282",300792.127695498,2301.09306968576
34,Hollis Park,"3421 S Kenneth Pl Tempe, AZ 85282",176996.018711605,1698.59155604178
35,Tempe Diablo Stadium Complex,"2200 W Alameda Dr Tempe, AZ 85282",4445144.51469064,13735.6815054461
36,Svob Park,"2600 W Vineyard Rd Tempe, AZ 85282",303636.013518557,2663.83736035178
37,Peterson Park,"1414 W Southern Ave Tempe, AZ 85282",127884.915018389,1440.72577947229
38,Clark Park,"1730 S Roosevelt St Tempe, AZ 85281",413393.564683459,2572.86766944055
39,Daley Park,"300 E Encanto Dr Tempe, AZ 85281",589807.97714176,3459.53874601043
40,Joyce Park,"711 E Hermosa Dr Tempe, AZ 85282",169784.081862983,1778.85889096686
41,Palmer Park,"200 E Carson Cir Tempe, AZ 85282",186931.079612357,1775.71172957172
42,Dwight Park,"500 W Manhatton Dr Tempe, AZ 85282",176201.351654908,1679.3343487538
43,Esquer Park,"2407 E McArthur Dr Tempe, AZ 85281",134189.677272401,1558.76993401974
44,Escalante Park,"2150 E Orange St Tempe, AZ 85281",177101.982919127,1748.14817787992
45,Alegre Park,"1940 E Don Carlos Ave Tempe, Arizona 85281",128647.315213151,1457.77529011256
46,Creamery Park,"1520 E 8th St Tempe, AZ 85281",130762.402596729,1458.16332485763
47,Parque de Soza,"1430 S Cedar St Tempe, AZ 85281",187342.705130693,1980.86620742583
48,Birchett Park,"1295 S Mill Ave Tempe, AZ 85281",85536.0750260164,1597.35265145228
49,Mitchell Park,"900 S Mitchell Dr Tempe, AZ 85281",269898.973318042,2213.65780643614
50,Jaycee Park,"817 W 5th St Tempe, AZ 85281",242889.545957323,2719.41004372132
51,Ragsdale-MLK Park,"24 E 6th St Tempe, AZ 85281",83512.611122467,2726.80639272204
52,Indian Bend Park,"1250 E Marigold Ln Tempe, AZ 85281",291881.938542646,2747.14752693247
53,Tempe Women's Club Park,"1265 N College Ave Tempe, AZ 85281",186458.199321841,1741.76477479165
54,Evelyn Hallman Park,"2 E Marigold Ln Tempe, AZ 85281",1569659.9429854,5430.90799958429
55,Moeur Park,"715 N Mill Ave Tempe, AZ 85281",1262074.77658374,7139.46081518074
56,Crosscut Canal,,724941.149424335,14426.1462077737
59,Rio Salado Park,"300 E Rio Salado Pkwy Tempe, AZ 85281",1087946.03805511,20149.6186092718
