29.endtime,6cPM,6PM
18.subarea,dge,Edge
15.paidarea,l15th Avenue E,15th Avenue E
12.eveningend,10MP,10PM
9.subarea,Ede,Edge
13.morningstart,8MA,8AM
17.subarea,Evdge,Edge
28.dayend,P5M,5PM
34.starttime,8qAM,8AM
21.paidarea,Pioneegr Square,Pioneer Square
21.eveningstart,PM,5PM
6.daystart,1o1AM,11AM
25.endtime,PM,6PM
26.endtime,8MP,8PM
22.morningstart,AM,8AM
6.dayend,5M,5PM
27.eveningend,8MP,8PM
15.morningstart,8AsM,8AM
37.subarea,Edsge,Edge
19.daystart,11MA,11AM
33.daystart,1AM,11AM
34.eveningend,PM,8PM
32.subarea,Soutth,South
12.morningend,11uAM,11AM
35.daystart,11AyM,11AM
33.morningstart,f8AM,8AM
35.endtime,P8M,8PM
21.subarea,jCore,Core
20.eveningstart,5M,5PM
15.morningend,11AgM,11AM
25.eveningstart,5lPM,5PM
28.paidarea,Pikze-Pine,Pike-Pine
7.subarea,Endge,Edge
36.starttime,8M,8AM
25.eveningend,8MP,8PM
12.subarea,Croe,Core
2.endtime,8MP,8PM
15.dayend,z5PM,5PM
31.morningstart,8MA,8AM
29.dayend,6M,6PM
14.morningstart,8nAM,8AM
15.starttime,AM,8AM
26.starttime,l8AM,8AM
9.daystart,11AM***,11AM
11.dayend,PM,5PM
15.daystart,11MA,11AM
9.dayend,5MP,5PM
10.morningend,11AaM,11AM
37.starttime,8MA,8AM
15.eveningstart,5M,5PM
18.daystart,d11AM,11AM
36.eveningend,8MP,8PM
9.paidarea,Rqoosevelt,Roosevelt
8.eveningstart,5jPM,5PM
5.eveningstart,PM,5PM
20.morningend,11M,11AM
31.starttime,8gAM,8AM
5.morningstart,8M,8AM
16.starttime,9MA,9AM
8.paidarea,Westalke Ave N,Westlake Ave N
18.eveningend,8PkM,8PM
7.morningend,11uAM,11AM
11.morningend,1AM,11AM
34.subarea,eRtail,Retail
3.eveningend,8ePM,8PM
17.morningstart,t8AM,8AM
4.endtime,PM,8PM
7.daystart,1AM,11AM
