42.gender,otal,Total
52.comparison,Survey Methodologyp Changed in 2012,Survey Methodology Changed in 2012
43.comparison,Survey Methodlogy Changed in 2012,Survey Methodology Changed in 2012
86.comparison,Preasent,Present
83.gender,Fmale,Female
51.gender,Totall,Total
2.comparison,Defintion Expanded in 1996,Definition Expanded in 1996
38.comparison,Srvey Methodology Changed in 2012,Survey Methodology Changed in 2012
60.comparison,Survey Methdology Changed in 2012,Survey Methodology Changed in 2012
35.gender,Femahle,Female
76.comparison,Survey MethodologyC hanged in 2012,Survey Methodology Changed in 2012
94.comparison,Presenht,Present
28.gender,ale,Male
4.gender,Mael,Male
88.gender,Mle,Male
92.gender,Femael,Female
107.gender,emale,Female
83.comparison,Survey Methodology Changled in 2012,Survey Methodology Changed in 2012
103.comparison,Pesent,Present
4.comparison,Definition Expanded in 1969,Definition Expanded in 1996
84.gender,otal,Total
43.gender,Mgale,Male
21.gender,otal,Total
102.comparison,Presetn,Present
76.gender,Manle,Male
60.gender,Totl,Total
86.gender,Femael,Female
69.gender,Totakl,Total
17.gender,vFemale,Female
62.comparison,Survehy Methodology Changed in 2012,Survey Methodology Changed in 2012
18.comparison,Dfeinition Expanded in 1996,Definition Expanded in 1996
89.gender,Femael,Female
58.comparison,Surveyn Methodology Changed in 2012,Survey Methodology Changed in 2012
59.comparison,Survey Methodology Changd in 2012,Survey Methodology Changed in 2012
26.gender,Femael,Female
19.gender,Mael,Male
10.comparison,Definiton Expanded in 1996,Definition Expanded in 1996
85.gender,Malae,Male
12.comparison,efinition Expanded in 1996,Definition Expanded in 1996
74.comparison,Survey Methodologoy Changed in 2012,Survey Methodology Changed in 2012
33.gender,Toltal,Total
34.gender,Mpale,Male
14.gender,Feamle,Female
81.comparison,Survey Methodology Changed in 2102,Survey Methodology Changed in 2012
100.gender,Mael,Male
67.gender,Mawle,Male
31.gender,Mael,Male
46.comparison,Survey Methoudology Changed in 2012,Survey Methodology Changed in 2012
78.comparison,Survey Methodology Changed in 2102,Survey Methodology Changed in 2012
7.comparison,Defiition Expanded in 1996,Definition Expanded in 1996
107.comparison,rPesent,Present
13.gender,ale,Male
96.gender,Totadl,Total
41.comparison,Survey Methodology hanged in 2012,Survey Methodology Changed in 2012
104.gender,qFemale,Female
23.comparison,Definition Exapnded in 1996,Definition Expanded in 1996
40.comparison,Survey Methodolgy Changed in 2012,Survey Methodology Changed in 2012
24.comparison,Definition Expandepd in 1996,Definition Expanded in 1996
5.gender,Femaole,Female
