nhddataset,ftypevalue(long),ftypedescription
NHDPoint,343,DammWeir
NHDoPint,367,Gaging Station
NHDPoint,369,Gate
NDPoint,398,Lock Chamber
NHDPoint,431,Rapids
NHDPoint,436,Resevoir
NHDPoint,441,Rock
NHDPoxint,450,SinkRise
NHDPoint,458,SringSeep
NHDPoitn,485,Water IntakeOutflow
NHDPoint,487,Waterall
NHDPoint,488,ell
NHDFlowline,334,Connector
NHDFlowline,336,CanalDitch
NHDFlowline,420,Underground Conduit
NHDFlowline,428,Pipelnie
NHDFlowline,460,StreamRiver
NHDFlowlien,468,Drainageway
NHDFlowline,558,ArtificialPath
NHDFlowline,566,Coastline
HNDLine,318,Bridge
NHDLine,343,DamWeir
NHDLine,362,Flume
NHDLine,369,Gtae
NHDLine,398,Loc Chamber
NHDLine,411,Nonearthen Shore
NHDLine,431,Rapids
NHDLinpe,434,Reef
NHDLine,450,SinkRise
NHDLnie,478,Tunnel
NHDLine,483,Wall
NHDLine,487,Waterfalul
NHDLine,503,Sounding Datum Line
NHDine,568,Levee
NHDArea,307,Area to be Submerged
HNDArea,312,BayInlet
NHDArea,318,yBridge
NHDArea,336,CanalDitch
NDArea,343,DamWeir
NDArea,362,Flfume
NHDArea,364,Foreshore
NHDArea,398,Lock Chamber
NHDArea,403,Inundtaion Area
NHDArea,431,Rapids
NHDArea,445,SeaOecan
NHDrAea,455,Spillway
NHDArea,460,StreamRiver
NHDArea,461,Submerged Stream
NHDArea,484,Wash
NHDArea,485,Water IntakeOutflow
NHuDArea,537,Area of Complex Channels
NHDArea,568,Levee
NHDWaterbody,361,Playa
NHDWaterbody,378,Ice Mass
NHDWaterboddy,390,LakePond
NHDWaterbody,436,Reservoir
NHDWaterbody,466,SwampMarsh
