yearvalue(long),statevalue,hai,county,facilityid(long),facilityname,notes
2017,California,"Healthcare ssociated Infection, Surgical Site Infections (SSI)",Kern,120000413,Adventist Health Tehachapi Valley,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240001218,Ballard Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Calfiornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000014,Barlow Respiratory Hospital,No surgeries in the 2 surgical procedure categories were performed in 2016.
2017,Californa,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000031,California Rehabilitation Institute,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Cahlifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000020,Casa Colina Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Inffections (SSI)",nLos Angeles,930000013,Catalina Island Medical Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare ssociated Infection, Surgical Site Infections (SSI)",Stanislaus,30000129,Central Valley Specialty Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60001207,Children''s pHospital at Mission,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, uSrgical Site Infections (SSI)",Frseno,40000096,Coalinga Regional Medical Cener,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000008,College Hospital Costa Mesa,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,alifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Pluams,230000004,"Eastern Plumas Hospital, Portola Campus",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Butte,230000405,Enloe Rehabilitation Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Californai,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000184,Fairmont Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,170001767,Fairview Developmental Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Califonria,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Glenn,230000006,Glenn Medical Center,No surgeries in the 28 surgicalp rocedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",rOange,60001674,"Healthbridge Children's Hospital, Orange",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Krn,120000555,Healthsouth Bakersfield Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated nIfection, Surgical Site Infections (SSI)",Stanislaus,630016419,HealthSouth Rehabilitation Hospital of Modesto,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Sourgical Site Infections (SSI)",Orange,60001097,Healthsouth Tustin Revhabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Humboldt,110000057,Jerold Phelps Community Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Mariporsa,40000105,John C. Fremont Healthcare District,No surgeries ni the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Mrain,110000946,Kentfield Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Francisco,630016625,Kentfield Hospital San Francisco,No surgeries in the 28 surgical procedure categories were performed in 2106.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SgSI)",Los Angeles,930000144,"Kindred Hospital, Baldwin Park",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Ornge,60001360,"Kinderd Hospital, Brea",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Assciated Infection, Surgical Site Infections (SSI)",Los Angeles,930000089,"Kindred Hospital, La Mirada",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000088,"Kindred Hospital, Los Angeles",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Californai,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardnio,240000040,"Kindred Hospital, Ontario",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Riverside,250000004,"Kindred Hospital, bRiverside",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Diego,90000048,"Kindred Hospital, San Diego",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000148,"Kindred Hospital, San Francisco Bay Area",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",LosA ngeles,930000042,"Kindred Hospital, San Gabriel Valley",No surgeries in the 28 surgical procedure categories were performed in 206.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Ozrange,930001607,"Kindred Hospital, Santa Ana",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000039,"Kindred Hospital, South Bay",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Calfornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000017,"Kindred Hospital, Westminster",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)***",San Francisco,220000012,Laguna Honda Hospital & Rehabilitatiohn Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Ventura,50000553,"Los Robles Hospital Medical Center, East Campus",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Santa Clbara,70000154,Mission Oaks Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Modoc,230000011,Modoc Medical Cetner,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000107,Monrovia Memorial Hospital,iNo surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000052,Mountains Community Hospital,No surgeries in the 28 surgical procedure categories were perfored in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Dieo,80000142,Palomar Health Downtown Campus,No surgeries in the 28 surgical procedure categories were erformed in 2016.
2017,Californai,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Tulare,170001874,Porterville Developmental Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000003,"Promise Hospital of East Los Angeles, East L.A Campus",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,40000613,San Joaquin Valley Rehabilitation Hospital,No surgeries in the 28j surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Santa arbara,50000030,Santa Ynez Valley Cottage Hospital,No surgeries in thze 28 surgical procedure categories were performed in 2016.
2017,Calfornia,"Healthcare AssociatedI nfection, Surgical Site Infections (SSI)",Plmuas,230000017,Seneca Distric Hospital,No surgeries in the 28 surgical procedure categories were performed in2 016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Sonoam,150000050,Sonoma Developmental Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Inyo,240000102,Southern Inyo yHospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Modoc,230000021,Surprise Valley Community Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Clifornia,"Healthcare Associated Infection, Surgicla Site Infections (SSI)",Humboldt,110000069,The General Hospital,No surgeries in the 28 surgical procedure categories were performed in 0216.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SS)I",San Bernardino,630012380,Totally Kids Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Trinity,230000022,Trinity Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Smite Infections (SSI)",Los Angeles,930000163,USC Kenneth Norris Jr. Cancer Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Caifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Shasta,230000422,Vibra Hospital of Northern California,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Sacramento,30000907,Vibra Hospital of acramento,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Caifornia,"Healthcare Associated Infection, Surgical Site Infwections (SSI)",San Dego,90000977,Vibra Hospital of San Diego,No surgeries in the 28 surgical procedure categories were performed in 2016.
