doi,title,title_cn,abstract,abstract_cn
10.1038/nnano.2007.391,A little knowledge,一点知识 ,,
10.1038/nnano.2007.392,Scientists worry about some risks more than the public,科学家比公众更担心某些风险 ,,
10.1038/nnano.2007.393,"Don't go public, go private",不要公开，要私有 ,,
10.1038/nnano.2007.394,"Giant fullerenes, high-yield graphene production, bioactive nanostructures, better electron microscopes, and more",巨型富勒烯，高产量石墨烯生产，生物活性纳米结构，更好的电子显微镜等等 ,,
10.1038/nnano.2007.395,Top down bottom up: Collective memory,自上而下，自下而上：集体记忆 ,,
10.1038/nnano.2007.396,Molecular ping-pong,分子乒乓球 ,,
10.1038/nnano.2007.401,Paving the way to stronger materials,为更坚固的材料铺平道路 ,,
10.1038/nnano.2007.400,Turn the radio up (if you can find it),打开收音机（如果可以找到的话） ,,
10.1038/nnano.2007.399,Keeping tabs on nanocarriers,密切关注纳米载体 ,,
10.1038/nnano.2007.398,New probes offer much faster results,新探针提供更快的结果 ,,
10.1038/nnano.2007.397,Elastic clues in cancer detection,癌症检测中的弹性线索 ,,
10.1038/nnano.2007.387,Nanocarriers as an emerging platform for cancer therapy,纳米载体作为癌症治疗的新兴平台 ,"<p>Nanotechnology has the potential to revolutionize cancer diagnosis and therapy. Advances in protein engineering and materials science have contributed to novel nanoscale targeting approaches that may bring new hope to cancer patients. Several therapeutic nanocarriers have been approved for clinical use. However, to date, there are only a few clinically approved nanocarriers that incorporate molecules to selectively bind and target cancer cells. This review examines some of the approved formulations and discusses the challenges in translating basic research to the clinic. We detail the arsenal of nanocarriers and molecules available for selective tumour targeting, and emphasize the challenges in cancer treatment.</p>",<p>纳米技术具有彻底改变癌症诊断和治疗的潜力。 蛋白质工程和材料科学的进步为新型纳米级靶向方法做出了贡献，这可能为癌症患者带来新希望。 几种治疗性纳米载体已被批准用于临床。 然而，迄今为止，仅有少数临床批准的纳米载体结合了分子以选择性结合并靶向癌细胞。 这篇综述检查了一些批准的制剂，并讨论了将基础研究转化为临床所面临的挑战。 我们详细介绍了可用于选择性靶向肿瘤的纳米载体和分子库，并强调了癌症治疗中的挑战。</ p> 
10.1038/nnano.2007.378,Molecular beam epitaxy growth of free-standing plane-parallel InAs nanoplates,独立式平行InAs纳米板的分子束外延生长 ,"<p>Free-standing nanostructures such as suspended carbon nanotubes, graphene layers, III-V nanorod photonic crystals and three-dimensional structures have recently attracted attention because they could form the basis of devices with unique electronic, optoelectronic and electromechanical characteristics. Here we report the growth by molecular beam epitaxy of free-standing nanoplates of InAs that are close to being atomically plane. The structural and transport properties of these semiconducting nanoplates have been examined with scanning electron microscopy, transmission electron microscopy, X-ray diffraction and low-temperature electron transport measurements. The carrier density of the nanoplates can be reduced to zero by applying a voltage to a nearby gate electrode, creating a new type of suspended quantum well that can be used to explore low-dimensional electron transport. The electronic and optical properties of such systems also make them potentially attractive for photovoltaic and sensing applications.</p>",<p>诸如悬浮碳纳米管，石墨烯层，III-V纳米棒光子晶体和三维结构等独立的纳米结构最近吸引了人们的注意，因为它们可以构成具有独特电子，光电和机电特性的器件的基础。在这里，我们报告了分子束外延法生长的接近原子平面的InAs纳米独立板。这些半导体纳米板的结构和传输性能已通过扫描电子显微镜，透射电子显微镜，X射线衍射和低温电子传输测量得到了检验。通过向附近的栅电极施加电压，可以将纳米板的载流子密度降低至零，从而创建一种新型的悬浮量子阱，该量子阱可以用于探索低维电子传输。这种系统的电子和光学特性也使其对于光伏和传感应用具有潜在的吸引力。</ p> 
