word;quantity;frequency
I;1685;0.044
be;2540;0.0663
fine;4;0.0001
h;12;0.0003
yeah;765;0.02
he;484;0.0126
a;826;0.0216
boy;34;0.0009
no;616;0.0161
my;344;0.009
Nana;1;0.0
Mummy;78;0.002
get;479;0.0125
it;1070;0.0279
from;34;0.0009
Christopher;2;0.0001
too;59;0.0015
much;8;0.0002
for;164;0.0043
Christmas;12;0.0003
uh;59;0.0015
do;1116;0.0291
then;101;0.0026
pull;14;0.0004
up;224;0.0058
like;174;0.0045
turn;28;0.0007
uhhuh;45;0.0012
yes;270;0.0071
navy;1;0.0
one;510;0.0133
ha;12;0.0003
cowboy;1;0.0
okay;104;0.0027
that;956;0.025
mine;36;0.0009
ah;44;0.0011
Kyle;3;0.0001
think;64;0.0017
his;121;0.0032
wee;219;0.0057
head;29;0.0008
would;34;0.0009
fit;22;0.0006
in;508;0.0133
there;603;0.0157
have;450;0.0118
big;159;0.0042
fat;8;0.0002
look;201;0.0052
Mum;35;0.0009
but;97;0.0025
brown;7;0.0002
and;769;0.0201
blue;23;0.0006
when;84;0.0022
asleep;3;0.0001
go;733;0.0191
to;458;0.012
me;277;0.0072
not;774;0.0202
know;287;0.0075
down;98;0.0026
on;305;0.008
back;76;0.002
as_well;20;0.0005
they;277;0.0072
O;152;0.004
well;75;0.002
could;43;0.0011
change;5;0.0001
nappie;2;0.0001
just;75;0.002
doll;11;0.0003
house;59;0.0015
Rachel;6;0.0002
you;981;0.0256
have_to;72;0.0019
dress;13;0.0003
this;476;0.0124
come;209;0.0055
see;193;0.005
how;65;0.0017
the;1105;0.0289
stuff;6;0.0002
put;249;0.0065
Daddy;55;0.0014
upstairs;9;0.0002
dog;32;0.0008
them;300;0.0078
kitchen;4;0.0001
close;14;0.0004
door;15;0.0004
rain;2;0.0001
now;128;0.0033
an;68;0.0018
Aunty;2;0.0001
cat;18;0.0005
with;146;0.0038
carpet;5;0.0001
settee;1;0.0
here;201;0.0052
baby;48;0.0013
seat;3;0.0001
where;221;0.0058
oh;173;0.0045
pink;5;0.0001
towel;3;0.0001
bath;7;0.0002
bed;51;0.0013
right;46;0.0012
whole;9;0.0002
lot;18;0.0005
of;167;0.0044
all;239;0.0062
sister;5;0.0001
toilet;11;0.0003
edge;1;0.0
sh;2;0.0001
car;50;0.0013
so_that;1;0.0
will;266;0.0069
cot;1;0.0
table;10;0.0003
can;181;0.0047
round;17;0.0004
make;96;0.0025
into;28;0.0007
super;1;0.0
same;11;0.0003
as;9;0.0002
we;175;0.0046
she;169;0.0044
paint;11;0.0003
at;103;0.0027
school;29;0.0008
today;11;0.0003
play;151;0.0039
day;33;0.0009
out;85;0.0022
top;15;0.0004
stair;3;0.0001
rotten;1;0.0
her;80;0.0021
dinner;14;0.0004
stupid;3;0.0001
chair;15;0.0004
build;15;0.0004
need;47;0.0012
these;67;0.0017
puppy;1;0.0
anywhere;3;0.0001
allow;13;0.0003
saw;42;0.0011
fell;63;0.0016
off;78;0.002
ow;10;0.0003
fall;34;0.0009
sleep;28;0.0007
um;79;0.0021
morning;7;0.0002
cause;98;0.0026
nighttime;1;0.0
girl;38;0.001
nothing;21;0.0005
