Unnamed: 0,Event,Name
DNF,USGP of Cyclocross,Rick HECKENLAIBLE
21,USGP of Cyclocross,Rick HECKENLAIBLE
33,USGP of Cyclocross,Mark HUBBARD
31,Tuesday PIR,PABLO ESPINOZA
13,Monday PIR-August Series,Ted Chauvin
9,Portland Twilight Criterium,Brian SULLIVAN
46,Tuesday PIR,Ted Chauvin
3,Monday PIR,Ted Chauvin
53,Cascade Cycling Classic-Deschutes Brewery Aubrey Butte Circuit Race: OBRA-Deschutes Brewery Aubrey Butte Circuit Race,Taylor Benz
DNS,Cascade Cycling Classic-Deschutes Brewery Aubrey Butte Circuit Race: OBRA-Final General Classification,James Anderson
59,Cascade Cycling Classic-Deschutes Brewery Aubrey Butte Circuit Race: OBRA-Final General Classification,Ted Chauvin
49,Cascade Cycling Classic-Deschutes Brewery Aubrey Butte Circuit Race: OBRA-Final General Classification,Taylor Benz
DNS,Cascade Cycling Classic-Deschutes Brewery Aubrey Butte Circuit Race: OBRA-Final General Classification,Jordan Campbell
42,Cascade Cycling Classic-Deschutes Brewery Aubrey Butte Circuit Race: OBRA-Deschutes Brewery Aubrey Butte Circuit Race,Ted Chauvin
57,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-GC after stage 3,Taylor Benz
DNS,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-GC after stage 3,James Anderson
70,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-GC after stage 3,Ted Chauvin
63,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium,Ted Chauvin
DNS,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-GC after stage 3,Jordan Campbell
DNS,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-GC after stage 2,James Anderson
70,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-GC after stage 2,Ted Chauvin
40,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-GC after stage 2,Taylor Benz
DNS,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-GC after stage 2,Jordan Campbell
52,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-Hutch's Bicycles Time Trial,Taylor Benz
42,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-Hutch's Bicycles Time Trial,Ted Chauvin
DNS,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-Hutch's Bicycles Time Trial,Jordan Campbell
77,Cascade Cycling Classic-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium: OBRA-Desert Orthopedist & Rebound Physical Therapy Twilight Downtown Criterium,Taylor Benz
DNS,Cascade Cycling Classic-Pacific Power Cascade Lake Road Race: OBRA-GC after stage 1,James Anderson
87,Cascade Cycling Classic-Pacific Power Cascade Lake Road Race: OBRA-Pacific Power Cascade Lake Road Race,Jordan Campbell
74,Cascade Cycling Classic-Pacific Power Cascade Lake Road Race: OBRA-GC after stage 1,Ted Chauvin
30,Cascade Cycling Classic-Pacific Power Cascade Lake Road Race: OBRA-GC after stage 1,Taylor Benz
30,Cascade Cycling Classic-Pacific Power Cascade Lake Road Race: OBRA-Pacific Power Cascade Lake Road Race,Taylor Benz
DNS,Cascade Cycling Classic-Pacific Power Cascade Lake Road Race: OBRA-Pacific Power Cascade Lake Road Race,James Anderson
74,Cascade Cycling Classic-Pacific Power Cascade Lake Road Race: OBRA-Pacific Power Cascade Lake Road Race,Ted Chauvin
87,Cascade Cycling Classic-Pacific Power Cascade Lake Road Race: OBRA-GC after stage 1,Jordan Campbell
4,High Desert Omnium: Road Race,Scott Cole
58,High Desert Omnium: Time Trial: Combined,Scott Cole
10,High Desert Omnium,Scott Cole
13,High Desert Omnium: Criterium,Scott Cole
17,High Desert Omnium: Time Trial,Scott Cole
47,Monday PIR,Brian Hall
DNF,Elkhorn Classic-The Dooley Mountain Road Race,Ted Chauvin
35,Elkhorn Classic-The Gold Rush Criterium,Ted Chauvin
19,Elkhorn Classic-The Pleasant Valley Time Trial,Ted Chauvin
DNF,Elkhorn Classic,Ted Chauvin
25,Elkhorn Classic-The Oregon Trail Road Race,Ted Chauvin
DNF,Vanport Kermesse,Jordan Campbell
7,Cherry Blossom Cycling Classic: Orchard Run Circuit Race,Kelly Spady
9,Cherry Blossom Cycling Classic: Orchard Run Circuit Race,eric odem
8,Cherry Blossom Cycling Classic: Orchard Run Circuit Race,Max COLEMAN
30,Cherry Blossom Cycling Classic: Orchard Run Circuit Race,Ted Chauvin
40,Cherry Blossom Cycling Classic: Orchard Run Circuit Race,Chris Eagon
DNF,Cherry Blossom Cycling Classic: Orchard Run Circuit Race,Michael Gordon
5,Cherry Blossom Cycling Classic: Orchard Run Circuit Race,Ian McKissick
17,Cherry Blossom Cycling Classic: Orchard Run Circuit Race,patrick stanko
24,Cherry Blossom Cycling Classic: Orchard Run Circuit Race,Shawn Ongers
44,Cherry Blossom Cycling Classic: Orchard Run Circuit Race,Jordan Campbell
DNF,Cherry Blossom Cycling Classic: Orchard Run Circuit Race,Mike Hone
37,Cherry Blossom Cycling Classic: Cherry City Criterium,Ted Chauvin
36,Cherry Blossom Cycling Classic: Cherry City Criterium,Max COLEMAN
3,Cherry Blossom Cycling Classic: Dufur TT,Max COLEMAN
19,Cherry Blossom Cycling Classic: Dufur TT,Ted Chauvin
24,Cherry Blossom Cycling Classic: Dufur TT,Michael Gordon
54,Cherry Blossom Cycling Classic: Dufur TT,Chris Eagon
2,Cherry Blossom Cycling Classic: Dufur TT,eric odem
10,Cherry Blossom Cycling Classic: Dufur TT,Kelly Spady
1,Cherry Blossom Cycling Classic: Dufur TT,Ian McKissick
32,Cherry Blossom Cycling Classic: Dufur TT: Combined,Max COLEMAN
91,Cherry Blossom Cycling Classic: Dufur TT: Combined,Ted Chauvin
121,Cherry Blossom Cycling Classic: Dufur TT: Combined,Michael Gordon
325,Cherry Blossom Cycling Classic: Dufur TT: Combined,Chris Eagon
67,Cherry Blossom Cycling Classic: Dufur TT: Combined,eric odem
118,Cherry Blossom Cycling Classic: Dufur TT: Combined,Kelly Spady
1,Cherry Blossom Cycling Classic: Dufur TT: Combined,Ian McKissick
10,Cherry Blossom Cycling Classic: Dufur TT: Combined,patrick stanko
18,Cherry Blossom Cycling Classic: Dufur TT: Combined,Mike Hone
112,Cherry Blossom Cycling Classic: Dufur TT: Combined,Shawn Ongers
177,Cherry Blossom Cycling Classic: Dufur TT: Combined,Jordan Campbell
75,Cherry Blossom Cycling Classic: Cherry City Criterium,Mike Hone
72,Cherry Blossom Cycling Classic: Cherry City Criterium,Shawn Ongers
62,Cherry Blossom Cycling Classic: Cherry City Criterium,Jordan Campbell
24,Cherry Blossom Cycling Classic: Cherry City Criterium,Ian McKissick
13,Cherry Blossom Cycling Classic: Cherry City Criterium,patrick stanko
33,Cherry Blossom Cycling Classic: Cherry City Criterium,Kelly Spady
18,Cherry Blossom Cycling Classic: Cherry City Criterium,eric odem
7,Cherry Blossom Cycling Classic: Dufur TT,patrick stanko
10,Cherry Blossom Cycling Classic: Dufur TT,Mike Hone
22,Cherry Blossom Cycling Classic: Cherry City Criterium,Michael Gordon
7,Cherry Blossom Cycling Classic: Cherry City Criterium,Chris Eagon
64,Cherry Blossom Cycling Classic: Dufur TT,Jordan Campbell
47,Cherry Blossom Cycling Classic: Dufur TT,Shawn Ongers
31,Cherry Blossom Cycling Classic,patrick stanko
57,Cherry Blossom Cycling Classic,Jordan Campbell
6,Cherry Blossom Cycling Classic,eric odem
7,Cherry Blossom Cycling Classic,Kelly Spady
1,Cherry Blossom Cycling Classic,Max COLEMAN
26,Cherry Blossom Cycling Classic,Ted Chauvin
45,Cherry Blossom Cycling Classic,Chris Eagon
1,Cherry Blossom Cycling Classic,Ian McKissick
23,Cherry Blossom Cycling Classic,Shawn Ongers
80,Cherry Blossom Cycling Classic: Columbia Hills Race,Jordan Campbell
68,Cherry Blossom Cycling Classic: Columbia Hills Race,patrick stanko
26,Cherry Blossom Cycling Classic: Columbia Hills Race,Ted Chauvin
46,Cherry Blossom Cycling Classic: Columbia Hills Race,Ian McKissick
2,Cherry Blossom Cycling Classic: Columbia Hills Race,Shawn Ongers
18,Cherry Blossom Cycling Classic: Columbia Hills Race,Kelly Spady
8,Cherry Blossom Cycling Classic: Columbia Hills Race,eric odem
35,Cherry Blossom Cycling Classic: Columbia Hills Race,Michael Gordon
31,Cherry Blossom Cycling Classic: Columbia Hills Race,Max COLEMAN
29,Cherry Blossom Cycling Classic: Columbia Hills Race,Chris Eagon
67,Cherry Blossom Cycling Classic: Columbia Hills Race,Mike Hone
3,Echo Red to Red MTB XC,Michael Gordon
35,Cherry Pie Road Race,Brian SULLIVAN
6,Cherry Pie Road Race,Kelly Spady
