S.No.,Offence,Amount of Fine
1.0,"Neglect in safe storage of eatable, drinkable and other consumable items sold or supplied to the public.","Rs.1,000 and Rs.6,000 in case of large restaurants, hotels and shops."
2.0,"a. Fixing of wooden khokhas, and temporary shops or extension thereof on footpaths or beyond the street line. b. Plying of handcarts for the sale of goods without permission.","Rs.2,000 Rs.400"
3.0,Failure by the owner or occupier of any land to clear away and remove any vegetation declared by a local government to be injurious to health or offensive to neighbourhoods.,"Rs.1,000"
4.0,Slaughtering of animals for the sale of meat at a place other than the place set apart for the purpose.,"Rs.1,000"
5.0,"Without the permission of the local government, causing or knowingly or negligently allowing the contents of any sink, sewer or cesspool or any other offensive matter to flow, or drain or to be put upon any street, or public place, or into irrigation channel or any sewer or drain not set apart for the purpose.","Rs.4,000 in case of commercial concerns and Rs.1,000 for others."
6.0,Keeping or maintaining any cattle in any part of the prohibited zone or failure to remove the cattle from the prohibited zone within the specified time when an order to this effect has been made.,"Rs.1,000"
7.0,"Keeping ferocious dogs or other animals in residential areas or taking such animals to public places or the areas specified by the local government, without leash or chain and without being muzzled or to set at large any animal or dog infected with rabies or any other infectious disease.",Rs.400
8.0,"Obstructing or tampering with any road, street, drain or pavement.","Rs.2,000"
9.0,"Obstructing or tampering with any main pipe, meter or any apparatus or appliance for the supply of water or sewerage system.","Rs.2,000"
10.0,"Without the previous sanction of the local government: (i) laying out a drain or altering any drain in a street or road; (ii) connecting any house drain with a drain in a public street; and (iii) drawing off, diverting or taking any water except with the permission required under this Act.","Rs.2,000"
11.0,"Excavation of earth, stone or any other material within such distance of the residential area as specified by the local government.","Rs.2,000"
12.0,"Burying or burning a dead body at a place which is not a public or registered burial or burning place, except with the sanction of the local government.","Rs.2,000"
13.0,"Failure to furnish, on requisition, information in respect of any matter which a local government is authorized to call for under any of the provisions of this Act, rules or bye-laws or furnishing wrong information.",Rs.600
14.0,"Obstructing lawful seizure of animals liable to be impounded on the ground of violations of rules or by-laws governing the picketing, tethering, keeping, milching or slaughter of animals or their trespass of private or public property.","Rs.1,000"
