Date,Type,Opponent,G,A,PTS,PEN,PIM,Unnamed: 8,Details
11/15/14,NS,Trinity,0,1,1,2,4:00,,"Scoring 2: Leedy (Roper, Giordano) 6x4 18:15 (3rd) Penalties High-sticking 17:02 (1st), High-sticking 17:02 (1st)"
11/16/14,NS,Wesleyan,1,0,1,0,0:00,,Scoring 5: Roper (Patel) 5x6 19:52 (3rd)
11/21/14,NS,@Williams,0,0,0,0,0:00,,
11/22/14,NS,@Middlebury,0,1,1,0,0:00,,"Scoring 2: Birmingham (Brennan, Roper) 8:15 (3rd)"
11/29/14,NC,@Utica,0,0,0,0,0:00,,
12/05/14,NS,Bowdoin,0,0,0,0,0:00,,
12/06/14,NS,Colby,0,0,0,0,0:00,,
01/04/15,NC,@Massachusetts-Boston,0,1,1,0,0:00,,Scoring 4: Jones (Roper) 19:48 (3rd)
01/05/15,NC,vs. Lake Forest,0,0,0,2,4:00,,"Penalties Hooking 2:26, Interference 9:55 (1st)"
01/10/15,NC,Stonehill,0,0,0,1,2:00,,Penalties Hooking 5:53 (2nd)
01/13/15,NC,@St. Anselm,0,1,1,0,0:00,,"Scoring 1: Birmingham (Leedy, Roper) 6x5 15:18 (2nd)"
01/16/15,NS,@Amherst,0,1,1,1,2:00,,"Scoring 6: Liautaud (Roper, Cangelosi) 6x5 16:58 (3rd) Penalties Roughing 8:01 (3rd)"
01/17/15,NS,@Hamilton,0,0,0,0,0:00,,
01/23/15,NS,@Trinity,0,0,0,4,8:00,,"Penalties Interference 16:23 (3rd), Cross-checking 16:29 (1st), Interference 16:23 (3rd), Cross-checking 16:29 (1st)"
01/24/15,NS,@Wesleyan,1,0,1,0,0:00,,"Scoring 2: Roper (Giordano, Belisle) 0:37 (2nd)"
01/30/15,NS,Williams,0,1,1,0,0:00,,Scoring 3: Cangelosi (Roper) 15:47 (3rd)
01/31/15,NS,Middlebury,0,1,1,0,0:00,,"Scoring 3: Patel (Leedy, Roper) 11:54 (3rd)"
02/06/15,NS,@Tufts,0,0,0,0,0:00,,
02/07/15,NS,Tufts,1,1,2,0,0:00,,"Scoring 2: Roper (Birmingham, Leedy) 6x5 12:40 (1st) 3: DiPretoro (Leedy, Roper) 6x5 14:28 (3rd)"
02/13/15,NS,Amherst,0,0,0,1,2:00,,Penalties Hooking 8:14 (3rd)
02/14/15,NS,Hamilton,0,0,0,0,0:00,,
02/20/15,NS,@Bowdoin,1,0,1,1,2:00,,Scoring 3: Roper (Cangelosi) 5:23 (2nd) Penalties Interference 6:42 (3rd)
02/21/15,NS,@Colby,1,0,1,0,0:00,,"Scoring 1: Roper (DiPretoro, Birmingham) 6x5 5:23 (1st)"
02/28/15,NS,Hamilton,0,0,0,0,0:00,,
03/07/15,NS,vs. Williams,0,0,0,0,0:00,,
Totals,,,5,8,13,12,24:00,,
