Position,Fleet,Class,Country,Sail No,Name,U21,Place,Points
1,Green/Silver,Laser Radial Men,LTU,201009,"Pajarskas, Vejas",U21,1,1.0
2,Green/Silver,Laser Radial Men,IRL,183231,"Obeirne, Conor",U21,2,2.0
3,Green/Silver,Laser Radial Men,SLO,200231,"Vr�caj, Maks",U21,3,3.0
4,Green/Silver,Laser Radial Men,JPN,202619,"Onodera , Shoichiro",,4,4.0
5,Green/Silver,Laser Radial Men,LTU,198566,"Cerniauskas, Mantvydas",U21,5,5.0
6,Green/Silver,Laser Radial Men,IRL,195254,"McGrath, Thomas",U21,6,6.0
7,Green/Silver,Laser Radial Men,GBR,200872,"Aitken, Jack",U21,7,7.0
8,Green/Silver,Laser Radial Men,GBR,202176,"Wigmore, Daniel",U21,8,8.0
9,Green/Silver,Laser Radial Men,IRL,201828,"Murphy, Luke",U21,9,9.0
10,Green/Silver,Laser Radial Men,IRL,187545,"Devlin, Frank",U21,10,10.0
11,Green/Silver,Laser Radial Men,IRL,187591,"Harrington, Kevin",U21,11,11.0
12,Green/Silver,Laser Radial Men,IRL,198518,"Oshea, Dara",U21,12,12.0
13,Green/Silver,Laser Radial Men,USA,195889,"Shanahan, Patrick",,13,13.0
14,Green/Silver,Laser Radial Men,GRE,197382,"Sotiris, Meligdis",,14,14.0
15,Green/Silver,Laser Radial Men,IRL,197894,"Gillett, Nathaniel",U21,15,15.0
16,Green/Silver,Laser Radial Men,IRL,192861,"Levie, Andrew",U21,16,16.0
17,Green/Silver,Laser Radial Men,SRB,198821,"Tosic, Luka",U21,17,17.0
18,Green/Silver,Laser Radial Men,AUS,191645,"Howe, Nicholas",,18,18.0
19,Green/Silver,Laser Radial Men,IRL,194899,"Higgins, Jack",U21,19,19.0
20,Green/Silver,Laser Radial Men,SLO,192388,"Medved, Jure",U21,20,20.0
21,Green/Silver,Laser Radial Men,IRL,183948,"O Sullivan, Ross",U21,21,21.0
22,Green/Silver,Laser Radial Men,USA,193356,"Leclue, Josh",,22,22.0
23,Green/Silver,Laser Radial Men,IRL,175356,"Cahill, Patrick",U21,23,23.0
24,Green/Silver,Laser Radial Men,GBR,203984,"Clarke, Josh",U21,24,24.0
25,Green/Silver,Laser Radial Men,IRL,198780,"O Loingsigh, Tadhg",U21,25,25.0
26,Green/Silver,Laser Radial Men,GBR,202448,"Jardine, Alexander",U21,26,26.0
27,Green/Silver,Laser Radial Men,ESP,191201,"Basanez, Ignacio",,27,27.0
28,Green/Silver,Laser Radial Men,GBR,201666,"Chiddicks, Freddie",U21,28,28.0
29,Green/Silver,Laser Radial Men,FRA,167005,"Raphalen , Serge",,29,29.0
30,Green/Silver,Laser Radial Men,IND,195369,"Patrick, Rufus",,30,30.0
31,Green/Silver,Laser Radial Men,GRE,196393,"Nkos, Theodorakis",U21,31,31.0
32,Green/Silver,Laser Radial Men,IND,195325,"Prabhakar, Praveen",,32,32.0
33,Green/Silver,Laser Radial Men,IRL,198556,"Bolger, Mark",U21,33,33.0
34,Green/Silver,Laser Radial Men,JPN,196479,"Hiwa, Shota",,34,34.0
35,Green/Silver,Laser Radial Men,USA,195876,"Marshall, Jack",,35,35.0
36,Green/Silver,Laser Radial Men,JPN,196295,"Kawamura, Gaku",,36,36.0
37,Green/Silver,Laser Radial Men,JPN,170616,"Tsuji, Shota",,37,37.0
38,Green/Silver,Laser Radial Men,TUR,195563,"Arin, Okan",U21,38,38.0
39,Green/Silver,Laser Radial Men,GBR,193713,"Robinson, Robert",U21,39,39.0
40,Green/Silver,Laser Radial Men,IRL,190758,"Power, Dougie",U21,40,40.0
41,Green/Silver,Laser Radial Men,IRL,204759,"Foley, Conor",U21,41,41.0
