Citing Patent,Filing date,Publication date,Applicant,Title
US5636162 *,"Jun 12, 1996","Jun 3, 1997",Texas Instruments Incorporated,Erase procedure
US5712819 *,"May 22, 1996","Jan 27, 1998",Harari; Eliyahou,Flash EEPROM system with storage of sector characteristic information within the sector
US5715193 *,"May 23, 1996","Feb 3, 1998","Micron Quantum Devices, Inc.",Flash memory system and method for monitoring the disturb effect on memory cell blocks due to high voltage conditions of other memory cell blocks
US5726933 *,"May 15, 1997","Mar 10, 1998","Taiwan Semiconductor Manufacturing Company, Ltd.",Clipped sine shaped waveform to reduce the cycling-induced electron trapping in the tunneling oxide of flash EEPROM
US5764571 *,"Feb 27, 1995","Jun 9, 1998",Btg Usa Inc.,Electrically alterable non-volatile memory with N-bits per cell
US5822251 *,"Sep 29, 1997","Oct 13, 1998","Bit Microsystems, Inc.",Expandable flash-memory mass-storage using shared buddy lines and intermediate flash-bus between device-specific buffers and flash-intelligent DMA controllers
US5835415 *,"Dec 29, 1997","Nov 10, 1998",Harari; Eliyahou,Flash EEPROM memory systems and methods of using them
US5844841 *,"Apr 18, 1997","Dec 1, 1998",Kabushiki Kaisha Toshiba,Memory system
US5862081 *,"Jan 5, 1998","Jan 19, 1999",Harari; Eliyahou,Multi-state flash EEPROM system with defect management including an error correction scheme
US5909390 *,"Dec 16, 1997","Jun 1, 1999",Harari; Eliyahou,Techniques of programming and erasing an array of multi-state flash EEPROM cells including comparing the states of the cells to desired values
US5920501 *,"Feb 27, 1998","Jul 6, 1999","Micron Technology, Inc.",Flash memory system and method for monitoring the disturb effect on memory cell blocks due to high voltage conditions of other memory cell blocks
US5956743 *,"Sep 29, 1997","Sep 21, 1999","Bit Microsystems, Inc.",Transparent management at host interface of flash-memory overhead-bytes using flash-specific DMA having programmable processor-interrupt of high-level operations
US5963473 *,"Dec 12, 1997","Oct 5, 1999","Micron Technology, Inc.",Flash memory system and method for monitoring the disturb effect on memory cell blocks due to high voltage conditions of other memory cell blocks
US5963480 *,"Nov 12, 1998","Oct 5, 1999",Harari; Eliyahou,Highly compact EPROM and flash EEPROM devices
US6000006 *,"Aug 25, 1997","Dec 7, 1999","Bit Microsystems, Inc.",Unified re-map and cache-index table with dual write-counters for wear-leveling of non-volatile flash RAM mass storage
US6002614 *,"Nov 21, 1997","Dec 14, 1999",Btg International Inc.,"Memory apparatus including programmable non-volatile multi-bit memory cell, and apparatus and method for demarcating memory states of the cell"
US6016274 *,"Mar 20, 1998","Jan 18, 2000",Kabushiki Kaisha Toshiba,Semiconductor memory device
US6034897 *,"Apr 1, 1999","Mar 7, 2000","Lexar Media, Inc.",Space management for managing high capacity nonvolatile memory
US6064591 *,"Oct 9, 1998","May 16, 2000",Kabushiki Kaisha Toshiba,Memory system
US6104640 *,"Nov 18, 1998","Aug 15, 2000",Btg International Inc.,Electrically alterable non-violatile memory with N-bits per cell
US6122195 *,"Jun 11, 1999","Sep 19, 2000","Lexar Media, Inc.",Method and apparatus for decreasing block write operation times performed on nonvolatile memory
US6128695 *,"Sep 18, 1998","Oct 3, 2000","Lexar Media, Inc.",Identification and verification of a sector within a block of mass storage flash memory
US6134151 *,"Mar 6, 2000","Oct 17, 2000","Lexar Media, Inc.",Space management for managing high capacity nonvolatile memory
US6141249 *,"Sep 3, 1999","Oct 31, 2000","Lexar Media, Inc.",Organization of blocks within a nonvolatile memory unit to effectively decrease sector write operation time
US6223308,"Mar 7, 2000","Apr 24, 2001","Lexar Media, Inc.",Identification and verification of a sector within a block of mass STO rage flash memory
US6243321,"Jan 28, 2000","Jun 5, 2001",Btg Int Inc,Electrically alterable non-volatile memory with n-bits per cell
US6246613,"Oct 4, 1999","Jun 12, 2001",Btg International Inc.,"Memory apparatus including programmable non-volatile multi-bit memory cell, and apparatus and method for demarcating memory states of the cell"
