Paketti,Tilanne,Tiedosto,Kääntäjä,Ryhmä
glibc,100% (1457t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
avahi,100% (165t;0f;0u),po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
tasksel,100% (2t;0f;0u),po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
tasksel,100% (2t;0f;0u),tasks/po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
tasksel,100% (27t;0f;0u),tasks/po/INTER/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
pam,100% (122t;0f;0u),po/ru.po,Yulia,trans-ru at lists dot fedoraproject dot org
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-java-awt/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-guile/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-java-qtjambi/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-gawk/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-sh/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (4t;0f;0u),gettext-tools/examples/hello-c++-kde/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-csharp-forms/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-c/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-pascal/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-clisp/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-objc-gnustep/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-tcl-tk/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-java-swing/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-objc/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-c-gnome/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-librep/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-csharp/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-c++-wxwidgets/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-java/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-python/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-smalltalk/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-objc-gnome/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-c++/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (3t;0f;0u),gettext-tools/examples/hello-perl/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (14t;0f;0u),gettext-tools/examples/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-c++-qt/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-ycp/po/ru.po,Yuri Kozlov,gnu at mx dot ru
