Champion,Wins,Losses,Win %,Performance,Kills,Deaths,Assists,Creeps
Twisted Fate,5,0,100%,,5.6/game,4.2/game,11.8/game,99.6/game
Sona,13,4,76.5%,,0.8/game,5.5/game,14.9/game,15.6/game
Nasus,8,2,80%,,5.3/game,3.7/game,12.9/game,40.7/game
Vi,10,4,71.4%,,5.4/game,4.6/game,8.6/game,53.6/game
Irelia,25,14,64.1%,,6.2/game,5.2/game,8/game,176.2/game
Shen,8,3,72.7%,,2.8/game,2.9/game,10.3/game,87.5/game
Renekton,7,4,63.6%,,3.6/game,4.5/game,7.3/game,176.6/game
Nami,9,6,60%,,1/game,5.9/game,13/game,8.9/game
Elise,10,8,55.6%,,6.8/game,6.8/game,8.6/game,44.6/game
Jax,7,5,58.3%,,4/game,5.3/game,6.4/game,131.4/game
Zed,6,4,60%,,5.6/game,6.8/game,7.5/game,109/game
Vladimir,4,2,66.7%,,4/game,4.3/game,4.2/game,165.8/game
Akali,9,8,52.9%,,7.4/game,5.1/game,6.2/game,139.5/game
Volibear,3,1,75%,,4.8/game,5.3/game,6.8/game,43.5/game
Lux,6,5,54.5%,,2.4/game,6/game,14.7/game,26/game
Diana,2,0,100%,,5/game,7/game,9/game,134/game
Orianna,2,0,100%,,5/game,5/game,13.5/game,73/game
Fizz,2,0,100%,,6.5/game,4.5/game,12/game,114.5/game
Caitlyn,2,0,100%,,6/game,5.5/game,7.5/game,124/game
Corki,4,3,57.1%,,6/game,5/game,6.4/game,132.9/game
Jarvan IV,6,7,46.2%,,3.8/game,5.2/game,12.5/game,33.2/game
Malphite,6,7,46.2%,,2.5/game,3.4/game,8.5/game,52.6/game
Zac,4,4,50%,,3.1/game,3.3/game,8.1/game,20.1/game
Miss Fortune,2,1,66.7%,,8.7/game,7/game,8.7/game,194/game
Rumble,2,1,66.7%,,6/game,6/game,5/game,139.3/game
Kennen,4,6,40%,,2.7/game,6.3/game,4/game,125.3/game
Xin Zhao,6,10,37.5%,,3.1/game,5.6/game,8.7/game,31.1/game
Lee Sin,5,9,35.7%,,4.2/game,5.4/game,7.5/game,32.1/game
Fiddlesticks,2,2,50%,,1.3/game,6.8/game,7.5/game,18.5/game
Thresh,3,5,37.5%,,0.3/game,6.1/game,7.5/game,11.3/game
Zyra,3,5,37.5%,,2.8/game,8.1/game,13/game,27/game
Nocturne,4,8,33.3%,,5/game,4.8/game,7.3/game,47.5/game
Leona,2,3,40%,,1.2/game,6.8/game,9/game,17.6/game
Jayce,1,2,33.3%,,3.3/game,5.3/game,6/game,154/game
Taric,1,2,33.3%,,0.7/game,6.7/game,11/game,13.7/game
Darius,1,2,33.3%,,6.3/game,8.7/game,10/game,31.3/game
Hecarim,1,1,50%,,2/game,2.5/game,5.5/game,11/game
Annie,1,1,50%,,11/game,9/game,12.5/game,123/game
Vayne,1,1,50%,,9.5/game,8.5/game,9.5/game,173.5/game
Maokai,1,1,50%,,1.5/game,1.5/game,7.5/game,21/game
Aatrox,1,1,50%,,3/game,4.5/game,7.5/game,100/game
Kayle,1,1,50%,,4.5/game,4/game,8.5/game,65.5/game
Ezreal,1,1,50%,,5.5/game,7.5/game,6/game,145.5/game
Kha'Zix,1,3,25%,,5.8/game,5.8/game,3.8/game,160/game
Twitch,1,3,25%,,5.3/game,6.8/game,5.5/game,132.3/game
Rammus,1,0,100%,,0/game,3/game,6/game,9/game
Dr. Mundo,1,0,100%,,3/game,6/game,14/game,34/game
Nidalee,1,0,100%,,7/game,5/game,7/game,127/game
Riven,1,0,100%,,13/game,3/game,1/game,82/game
Amumu,1,0,100%,,1/game,2/game,9/game,20/game
Lissandra,1,0,100%,,8/game,8/game,5/game,151/game
Lulu,0,3,0%,,1.3/game,8.3/game,10.7/game,12.7/game
Blitzcrank,0,3,0%,,0.7/game,3.7/game,3.7/game,10.7/game
Karthus,0,2,0%,,1.5/game,8/game,7/game,112/game
Nautilus,0,2,0%,,4.5/game,6.5/game,12.5/game,59.5/game
Brand,0,2,0%,,0/game,7.5/game,3.5/game,11/game
Olaf,0,2,0%,,3/game,6.5/game,6.5/game,118.5/game
Ryze,0,1,0%,,6/game,4/game,2/game,95/game
Graves,0,1,0%,,5/game,7/game,4/game,124/game
Kassadin,0,1,0%,,9/game,7/game,8/game,83/game
Syndra,0,1,0%,,9/game,9/game,8/game,173/game
Draven,0,1,0%,,7/game,7/game,7/game,188/game
Ahri,0,1,0%,,5/game,6/game,12/game,104/game
Sejuani,0,1,0%,,4/game,8/game,12/game,29/game
Ashe,0,1,0%,,2/game,8/game,7/game,228/game
